STA_AWAL,STA_AKHIR,Panjang,Nm_Ruas,Kondisi,Tipe_Perke,Lebar_STA,No
0+000,0+100,174.83712768300,Jl. Sadewo,RB,lapen,5,463
0+100,0+200,204.27965605500,Jl. Gang Sadewo 1,RB,lapen,5,275
0+000,0+076,76.73030413160,Jl. Gang Sadewo 2,RB,lapen,5,278
0+000,0+091,91.30306689380,Jl. Pisang,RB,lapen,5,439
0+100,0+106,106.00000000000,GG. Anggrek III,RB,lapen,5,2
0+100,0+140,240.00000000000,Jalan Anggrek-Mayang Kembar IV,RB,lapen,5,4
0+000,0+100,450.00000000000,Jalan Anthorium,RB,lapen,5,6
0+100,0+200,450.00000000000,Jalan Anthorium,RB,lapen,5,7
0+200,0+300,450.00000000000,Jalan Anthorium,RB,tanah,5,8
0+400,0+450,450.00000000000,Jalan Anthorium,RB,tanah,5,9
0+000,0+100,416.00000000000,Jalan Cempaka,RB,tanah,5,11
0+100,0+200,416.00000000000,Jalan Cempaka,RB,tanah,5,12
0+200,0+300,416.00000000000,Jalan Cempaka,RB,tanah,5,13
0+400,0+416,416.00000000000,Jalan Cempaka,RB,tanah,5,14
0+100,0+194,194.00000000000,Jalan Joharmanik,RB,tanah,5,16
0+000,0+100,428.00000000000,Jalan Kantil,RB,beton,5,18
0+100,0+200,428.00000000000,Jalan Kantil,RB,beton,5,19
0+200,0+300,428.00000000000,Jalan Kantil,RB,beton,5,20
0+400,0+428,428.00000000000,Jalan Kantil,RB,beton,5,21
0+000,0+100,206.00000000000,Jalan Kantil  III,RB,beton,5,24
0+200,0+206,206.00000000000,Jalan Kantil  III,RB,beton,5,25
0+000,0+100,303.67359400400,Jalan Kantil  IV,RB,beton,5,27
0+100,0+200,303.67359400400,Jalan Kantil  IV,RB,beton,5,28
0+300,0+303,303.67359400400,Jalan Kantil  IV,RB,beton,5,29
0+100,0+153,153.49717392500,Jalan Kantil  VI,RB,aspal,5,31
0+100,0+143,143.90603246200,Jalan Kantil I,RB,aspal,5,33
0+000,0+100,509.88596253200,JALAN KASATRIAN,RB,aspal,5,36
0+100,0+200,509.88596253200,JALAN KASATRIAN,RB,aspal,5,37
0+200,0+300,509.88596253200,JALAN KASATRIAN,RB,aspal,5,38
0+300,0+400,509.88596253200,JALAN KASATRIAN,RB,aspal,5,39
0+500,0+509,509.88596253200,JALAN KASATRIAN,RB,aspal,5,40
0+000,0+100,1158.61756835000,Jalan Kenongo,RB,aspal,5,42
0+100,0+200,1158.61756835000,Jalan Kenongo,RB,aspal,5,43
0+200,0+300,1158.61756835000,Jalan Kenongo,RB,makadam,5,44
0+300,0+400,1158.61756835000,Jalan Kenongo,RB,makadam,5,45
0+400,0+500,1158.61756835000,Jalan Kenongo,RB,makadam,5,46
0+500,0+600,1158.61756835000,Jalan Kenongo,RB,makadam,5,47
0+600,0+700,1158.61756835000,Jalan Kenongo,RB,makadam,5,48
0+700,0+800,1158.61756835000,Jalan Kenongo,RB,makadam,5,49
0+800,0+900,1158.61756835000,Jalan Kenongo,RB,makadam,5,50
0+900,1+000,1158.61756835000,Jalan Kenongo,RB,lapen,5,51
1+100,1+156,1158.61756835000,Jalan Kenongo,RB,lapen,5,52
0+000,0+100,350.85962043300,Jalan Kenongo 2,RB,lapen,5,54
0+100,0+200,350.85962043300,Jalan Kenongo 2,RB,lapen,5,55
0+300,0+350,350.85962043300,Jalan Kenongo 2,RB,lapen,5,56
0+100,0+118,118.11785882400,Jalan Kenongo 3,RB,lapen,5,58
0+000,0+100,215.08135450300,Jalan M Sholeh,RB,lapen,5,60
0+200,0+215,215.08135450300,Jalan M Sholeh,RB,lapen,5,61
0+000,0+100,368.41040178600,Jalan Mawar,RB,tanah,5,63
0+100,0+200,368.41040178600,Jalan Mawar,RB,tanah,5,64
0+300,0+368,368.41040178600,Jalan Mawar,RB,tanah,5,65
0+100,0+140,140.51946476500,Jalan Mayang Kembar,RB,tanah,5,67
0+000,0+100,205.28154719200,Jalan Mayang Kembar I,RB,tanah,5,69
0+200,0+205,205.28154719200,Jalan Mayang Kembar I,RB,tanah,5,70
0+000,0+100,208.39409233900,Jalan Mayang Kembar II,RB,tanah,5,72
0+200,0+208,208.39409233900,Jalan Mayang Kembar II,RB,beton,5,73
0+000,0+100,210.84968965700,Jalan Mayang Kembar III,RB,beton,5,75
0+200,0+210,210.84968965700,Jalan Mayang Kembar III,RB,beton,5,76
0+000,0+100,202.25105169600,Jalan Mayang Kembar IV,RB,beton,5,78
0+200,0+202,202.25105169600,Jalan Mayang Kembar IV,RB,beton,5,79
0+000,0+100,343.93457693900,Jalan Melati,RB,beton,5,81
0+100,0+200,343.93457693900,Jalan Melati,RB,beton,5,82
0+300,0+343,343.93457693900,Jalan Melati,RB,beton,5,83
0+000,0+100,453.97758610300,Jalan Menur,RB,beton,5,85
0+100,0+200,453.97758610300,Jalan Menur,RB,aspal,5,86
0+200,0+300,453.97758610300,Jalan Menur,RB,aspal,5,87
0+400,0+453,453.97758610300,Jalan Menur,RB,aspal,5,88
0+000,0+100,262.48882759800,Jalan Menur Gg. 1,RB,aspal,5,90
0+200,0+262,262.48882759800,Jalan Menur Gg. 1,RB,aspal,5,91
0+100,0+136,136.06885037100,Jalan Menur Gg. 2,RB,aspal,5,93
0+000,0+100,706.55355581300,Jalan Mojopurno - Pilangrejo,RB,aspal,5,97
0+100,0+200,706.55355581300,Jalan Mojopurno - Pilangrejo,RB,aspal,5,98
0+200,0+300,706.55355581300,Jalan Mojopurno - Pilangrejo,RB,aspal,5,99
0+300,0+400,706.55355581300,Jalan Mojopurno - Pilangrejo,RB,makadam,5,100
