Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
BAJULAN,542,1466,0+900,1+000,542,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,543,1466,1+000,1+100,543,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,544,1466,1+100,1+200,544,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,545,1466,1+200,1+300,545,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,546,1466,1+300,1+400,546,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,547,1466,1+400,1+466,547,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BADER,168,800,0+000,0+100,168,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BADER,169,800,0+100,0+200,169,,,,,
BADER,170,800,0+200,0+300,170,,,,,
BADER,171,800,0+300,0+400,171,,,,,
BADER,172,800,0+400,0+500,172,,,,,
BADER,173,800,0+500,0+600,173,,,,,
BADER,174,800,0+600,0+630,174,,,,,
BALEREJO I,1214,444,0+000,0+100,1214,,,,,
BALEREJO I,1215,444,0+100,0+200,1215,,,,,
BALEREJO I,1216,444,0+200,0+300,1216,,,,,
BALEREJO I,1217,444,0+300,0+400,1217,,,,,
BALEREJO I,1218,444,0+400,0+444,1218,,,,,
BALEREJO II,1219,444,0+000,0+100,1219,,,,,
BALEREJO II,1220,444,0+100,0+200,1220,,,,,
BALEREJO II,1221,444,0+200,0+300,1221,,,,,
BALEREJO II,1222,444,0+300,0+400,1222,,,,,
BALEREJO II,1223,444,0+400,0+444,1223,,,,,
BANARAN,1143,1313,0+000,0+100,1143,,,,,
BANARAN,1144,1313,0+100,0+200,1144,,,,,
BANARAN,1145,1313,0+200,0+300,1145,,,,,
BANARAN,1146,1313,0+300,0+400,1146,,,,,
BANARAN,1147,1313,0+400,0+500,1147,,,,,
BANARAN,1148,1313,0+500,0+600,1148,,,,,
BANARAN,1149,1313,0+600,0+700,1149,,,,,
BANARAN,1150,1313,0+700,0+800,1150,,,,,
BANARAN,1151,1313,0+800,0+900,1151,,,,,
BANARAN,1152,1313,0+900,1+000,1152,,,,,
BANARAN,1153,1313,1+000,1+100,1153,,,,,
BANARAN,1154,1313,1+100,1+200,1154,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANARAN,1155,1313,1+200,1+300,1155,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANARAN,1156,1313,1+300,1+312,1156,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,956,1137,0+000,0+100,956,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,957,1137,0+100,0+200,957,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,958,1137,0+200,0+300,958,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,959,1137,0+300,0+400,959,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,960,1137,0+400,0+500,960,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,961,1137,0+500,0+600,961,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANCONG,962,1137,0+600,0+700,962,,,,,
BANCONG,963,1137,0+700,0+800,963,,,,,
BANCONG,964,1137,0+800,0+900,964,,,,,
BANCONG,965,1137,0+900,1+000,965,,,,,
BANCONG,966,1137,1+000,1+100,966,,,,,
BANCONG,967,1137,1+100,1+137,967,,,,,
BANDUNGAN,548,727,0+000,0+100,548,,,,,
BANDUNGAN,549,727,0+100,0+200,549,,,,,
BANDUNGAN,550,727,0+200,0+300,550,,,,,
BANDUNGAN,551,727,0+300,0+400,551,,,,,
BANDUNGAN,552,727,0+400,0+500,552,,,,,
BANDUNGAN,553,727,0+500,0+600,553,,,,,
BANDUNGAN,554,727,0+600,0+700,554,,,,,
BANDUNGAN,555,727,0+700,0+726,555,,,,,
BANJARSARI KULON,214,3026,0+000,0+100,214,,,,,
BANJARSARI KULON,215,3026,0+100,0+200,215,,,,,
BANJARSARI KULON,216,3026,0+200,0+300,216,,,,,
BANJARSARI KULON,217,3026,0+300,0+400,217,,,,,
BANJARSARI KULON,218,3026,0+400,0+500,218,,,,,
BANJARSARI KULON,219,3026,0+500,0+600,219,,,,,
BANJARSARI KULON,220,3026,0+600,0+700,220,,,,,
BANJARSARI KULON,221,3026,0+700,0+800,221,,,,,
BANJARSARI KULON,222,3026,0+800,0+900,222,,,,,
BANJARSARI KULON,223,3026,0+900,1+000,223,,,,,
BANJARSARI KULON,224,3026,1+000,1+100,224,,,,,
BANJARSARI KULON,225,3026,1+100,1+200,225,,,,,
BANJARSARI KULON,226,3026,1+200,1+300,226,,,,,
BANJARSARI KULON,227,3026,1+300,1+400,227,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,228,3026,1+400,1+500,228,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,229,3026,1+500,1+600,229,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,230,3026,1+600,1+700,230,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,231,3026,1+700,1+800,231,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,232,3026,1+800,1+900,232,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,233,3026,1+900,2+000,233,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,234,3026,2+000,2+100,234,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,235,3026,2+100,2+200,235,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BANJARSARI KULON,236,3026,2+200,2+300,236,,,,,
BANJARSARI KULON,237,3026,2+300,2+400,237,,,,,
BANJARSARI KULON,238,3026,2+400,2+500,238,,,,,
BANJARSARI KULON,239,3026,2+500,2+600,239,,,,,
BANJARSARI KULON,240,3026,2+600,2+700,240,,,,,
BANJARSARI KULON,241,3026,2+700,2+800,241,,,,,
BANJARSARI KULON,242,3026,2+800,2+900,242,,,,,
BANJARSARI KULON,243,3026,2+900,3+000,243,,,,,
BANJARSARI KULON,244,3026,3+000,3+026,244,,,,,
BANJARSARI WETAN,245,1055,0+000,0+100,245,,,,,
BANJARSARI WETAN,246,1055,0+100,0+200,246,,,,,
BANJARSARI WETAN,247,1055,0+200,0+300,247,,,,,
BANJARSARI WETAN,248,1055,0+300,0+400,248,,,,,
BANJARSARI WETAN,249,1055,0+400,0+500,249,,,,,
BANJARSARI WETAN,250,1055,0+500,0+600,250,,,,,
