Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
Jl. Gg Trobanyu,306,106.76,0+000,0+100,306,,,,,
Jl. Gg. Jambe,311,103.71,0+000,0+100,311,,,,,
Jl. GG. Duren,309,124.53,0+000,0+100,309,,,,,
Jl. GG. Jambu,313,96.65,0+000,0+096,313,,,,,
Jl. Gg. Apel,308,24.10,0+000,0+024,308,,,,,
Jl. Gg. Salak,322,86.77,0+000,0+086,322,,,,,
Jl. Bekas Rel,211,439.16,0+300,0+400,211,,,,,
Jl. Kanal Kembar (RT.11 RW.5),332,333.29,0+200,0+300,332,,,,,
Jl. Sukodono (RT.11 RW.5),480,213.46,0+100,0+200,480,,,,,
Jl.Antarejo,520,1500.53,1+400,1+500,520,,,,,
Jl. Gatot Kaca,293,1138.85,1+000,1+100,293,,,,,
Jl. Abimanyu,175,806.85,0+700,0+800,175,,,,,
Jl.Sentiaki,554,1085.94,0+900,1+000,554,,,,,
Jl. Werkudoro,512,138.72,0+000,0+100,512,,,,,
Jl. Krisna,365,506.54,0+400,0+500,365,,,,,
Jl. Gang Bayusuto 1,251,98.96,0+000,0+098,251,,,,,
Jl. Gang Bayusuto 2,252,130.87,0+000,0+100,252,,,,,
Jl. Gang Bayusuto 3,254,135.53,0+000,0+100,254,,,,,
Jl. Gang Bayusuto 4,256,143.90,0+000,0+100,256,,,,,
Jl.Gang Asem 1,540,206.80,0+100,0+200,540,,,,,
Jl. Gang Asem 2,250,98.81,0+000,0+098,250,,,,,
Jl. Selo Barong,469,148.35,0+000,0+100,469,,,,,
Jl. Puntodewo,440,567.71,0+400,0+500,440,,,,,
Jl. Srikandi,475,432.02,0+300,0+400,475,,,,,
Jl. Bendungan Segaran,216,328.18,0+200,0+300,216,,,,,
Jl. Bendungan Segaran Barat,220,123.46,0+000,0+100,220,,,,,
Jl. Mawar,383,831.38,0+700,0+800,383,,,,,
Jl. Kamboja,330,118.53,0+000,0+100,330,,,,,
Jl. Ki Ageng Bandar Alim,343,389.54,0+200,0+300,343,,,,,
Jl. Melati,398,502.42,0+400,0+500,398,,,,,
Jl. Gang Kantil 2,265,108.41,0+000,0+100,265,,,,,
Jl. Gang Kantil 3,267,51.34,0+000,0+051,267,,,,,
Jl. Kantil,336,425.14,0+300,0+400,336,,,,,
Jl. Gang Kasepuhan,268,64.34,0+000,0+064,268,,,,,
Jl.Gang Gatot Kaca 1,543,198.01,0+000,0+100,543,,,,,
Jl.Gang Gatot Kaca 2,545,117.69,0+000,0+100,545,,,,,
Jl.Gang Gatot Kaca 3,547,102.35,0+000,0+100,547,,,,,
Jl. Gang Cemer 1,262,126.59,0+000,0+100,262,,,,,
Jl. Gang Cemer 2,264,61.22,0+000,0+061,264,,,,,
Jl. Gang Abimanyu,246,198.58,0+000,0+100,246,,,,,
Jl. Petruk,435,133.65,0+000,0+100,435,,,,,
Jl. Semar,471,107.69,0+000,0+100,471,,,,,
Jl. Gareng,288,34.27,0+000,0+034,288,,,,,
Jl. Gang Sentiaki 2,283,195.13,0+000,0+100,283,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Gang Sentiaki 1,279,399.89,0+200,0+300,279,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Dungus Termulus,230,1350.31,1+200,1+300,230,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Tomat,510,159.94,0+000,0+100,510,2022,1 juli 2022,pengaspalan,baik,aspal
Jl.Chery,536,329.92,0+200,0+300,536,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Manggis,374,165.95,0+000,0+100,374,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Gang Mangga,269,103.36,0+000,0+100,269,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Rambutan,454,97.03,0+000,0+097,454,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Jambu,327,98.68,0+000,0+098,327,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Nangka,404,194.24,0+000,0+100,404,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Durian,244,106.36,0+000,0+100,244,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Kiwi,359,50.60,0+000,0+050,359,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Gang Masjid,271,186.75,0+000,0+100,271,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Arimbi 1,187,165.92,0+000,0+100,187,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Arimbi 2,189,56.95,0+000,0+056,189,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Sadewo,463,174.84,0+000,0+100,463,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Gang Sadewo 1,275,204.28,0+100,0+200,275,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Gang Sadewo 2,278,76.73,0+000,0+076,278,2022,1 juli 2022,pengaspalan,baik,aspal
Jl. Pisang,439,91.30,0+000,0+091,439,2022,1 juli 2022,pengaspalan,baik,aspal
GG. Anggrek III,2,106.00,0+100,0+106,2,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Anggrek-Mayang Kembar IV,4,240.00,0+100,0+140,4,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Anthorium,6,450.00,0+000,0+100,6,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Anthorium,7,450.00,0+100,0+200,7,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Anthorium,8,450.00,0+200,0+300,8,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Anthorium,9,450.00,0+400,0+450,9,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Cempaka,11,416.00,0+000,0+100,11,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Cempaka,12,416.00,0+100,0+200,12,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Cempaka,13,416.00,0+200,0+300,13,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Cempaka,14,416.00,0+400,0+416,14,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Joharmanik,16,194.00,0+100,0+194,16,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil,18,428.00,0+000,0+100,18,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil,19,428.00,0+100,0+200,19,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil,20,428.00,0+200,0+300,20,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil,21,428.00,0+400,0+428,21,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  III,24,206.00,0+000,0+100,24,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  III,25,206.00,0+200,0+206,25,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  IV,27,303.67,0+000,0+100,27,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  IV,28,303.67,0+100,0+200,28,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  IV,29,303.67,0+300,0+303,29,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil  VI,31,153.50,0+100,0+153,31,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kantil I,33,143.91,0+100,0+143,33,2022,1 juli 2022,pengaspalan,baik,aspal
JALAN KASATRIAN,36,509.89,0+000,0+100,36,2022,1 juli 2022,pengaspalan,baik,aspal
JALAN KASATRIAN,37,509.89,0+100,0+200,37,2022,1 juli 2022,pengaspalan,baik,aspal
JALAN KASATRIAN,38,509.89,0+200,0+300,38,2022,1 juli 2022,pengaspalan,baik,aspal
JALAN KASATRIAN,39,509.89,0+300,0+400,39,2022,1 juli 2022,pengaspalan,baik,aspal
JALAN KASATRIAN,40,509.89,0+500,0+509,40,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,42,1158.62,0+000,0+100,42,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,43,1158.62,0+100,0+200,43,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,44,1158.62,0+200,0+300,44,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,45,1158.62,0+300,0+400,45,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,46,1158.62,0+400,0+500,46,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,47,1158.62,0+500,0+600,47,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,48,1158.62,0+600,0+700,48,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,49,1158.62,0+700,0+800,49,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,50,1158.62,0+800,0+900,50,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,51,1158.62,0+900,1+000,51,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo,52,1158.62,1+100,1+156,52,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo 2,54,350.86,0+000,0+100,54,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo 2,55,350.86,0+100,0+200,55,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo 2,56,350.86,0+300,0+350,56,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Kenongo 3,58,118.12,0+100,0+118,58,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan M Sholeh,60,215.08,0+000,0+100,60,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan M Sholeh,61,215.08,0+200,0+215,61,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mawar,63,368.41,0+000,0+100,63,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mawar,64,368.41,0+100,0+200,64,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mawar,65,368.41,0+300,0+368,65,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar,67,140.52,0+100,0+140,67,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar I,69,205.28,0+000,0+100,69,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar I,70,205.28,0+200,0+205,70,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar II,72,208.39,0+000,0+100,72,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar II,73,208.39,0+200,0+208,73,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar III,75,210.85,0+000,0+100,75,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar III,76,210.85,0+200,0+210,76,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar IV,78,202.25,0+000,0+100,78,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mayang Kembar IV,79,202.25,0+200,0+202,79,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Melati,81,343.93,0+000,0+100,81,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Melati,82,343.93,0+100,0+200,82,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Melati,83,343.93,0+300,0+343,83,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur,85,453.98,0+000,0+100,85,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur,86,453.98,0+100,0+200,86,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur,87,453.98,0+200,0+300,87,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur,88,453.98,0+400,0+453,88,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur Gg. 1,90,262.49,0+000,0+100,90,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur Gg. 1,91,262.49,0+200,0+262,91,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Menur Gg. 2,93,136.07,0+100,0+136,93,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,97,706.55,0+000,0+100,97,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,98,706.55,0+100,0+200,98,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,99,706.55,0+200,0+300,99,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,100,706.55,0+300,0+400,100,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,101,706.55,0+400,0+500,101,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,102,706.55,0+500,0+600,102,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Mojopurno - Pilangrejo,103,706.55,0+700,0+706,103,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Munggut Asri,105,249.71,0+000,0+100,105,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Munggut Asri,106,249.71,0+200,0+249,106,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Nusa Indah,108,587.06,0+000,0+100,108,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Nusa Indah,109,587.06,0+100,0+200,109,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Nusa Indah,110,587.06,0+200,0+300,110,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Nusa Indah,111,587.06,0+300,0+400,111,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Nusa Indah,112,587.06,0+500,0+587,112,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,114,2755.36,0+000,0+100,114,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,115,2755.36,0+100,0+200,115,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,116,2755.36,0+200,0+300,116,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,117,2755.36,0+300,0+400,117,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,118,2755.36,0+400,0+500,118,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,119,2755.36,0+500,0+600,119,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,120,2755.36,0+600,0+700,120,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,121,2755.36,0+700,0+800,121,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,122,2755.36,0+800,0+900,122,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,123,2755.36,0+900,1+000,123,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,124,2755.36,1+000,1+100,124,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,125,2755.36,1+100,1+200,125,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,126,2755.36,1+200,1+300,126,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,127,2755.36,1+300,1+400,127,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,128,2755.36,1+400,1+500,128,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,129,2755.36,1+500,1+600,129,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,130,2755.36,1+600,1+700,130,2022,1 juli 2022,pengaspalan,baik,aspal
Jalan Pacing,131,2755.36,1+700,1+800,131,,,,,
Jalan Pacing,132,2755.36,1+800,1+900,132,,,,,
Jalan Pacing,133,2755.36,1+900,2+000,133,,,,,
Jalan Pacing,134,2755.36,2+000,2+100,134,,,,,
Jalan Pacing,135,2755.36,2+100,2+200,135,,,,,
Jalan Pacing,136,2755.36,2+200,2+300,136,,,,,
Jalan Pacing,137,2755.36,2+300,2+400,137,,,,,
Jalan Pacing,138,2755.36,2+400,2+500,138,,,,,
Jalan Pacing,139,2755.36,2+500,2+600,139,,,,,
Jalan Pacing,140,2755.36,2+700,2+755,140,,,,,
Jalan Sedap Malam,142,104.65,0+100,0+104,142,,,,,
Jalan Seroja,144,744.55,0+000,0+100,144,,,,,
Jalan Seroja,145,744.55,0+100,0+200,145,,,,,
Jalan Seroja,146,744.55,0+200,0+300,146,,,,,
Jalan Seroja,147,744.55,0+300,0+400,147,,,,,
Jalan Seroja,148,744.55,0+400,0+500,148,,,,,
Jalan Seroja,149,744.55,0+500,0+600,149,,,,,
Jalan Seroja,150,744.55,0+700,0+744,150,,,,,
Jalan Sri Rejeki,152,364.51,0+000,0+100,152,,,,,
Jalan Sri Rejeki,153,364.51,0+100,0+200,153,,,,,
Jalan Sri Rejeki,154,364.51,0+300,0+364,154,,,,,
Jalan Sruni,157,190.68,0+100,0+190,157,,,,,
Jalan Sruni 1,159,117.53,0+100,0+117,159,,,,,
Jalan Telasih,161,102.49,0+100,0+102,161,,,,,
Jalan Teratai,163,417.67,0+000,0+100,163,,,,,
Jalan Teratai,164,417.67,0+100,0+200,164,,,,,
Jalan Teratai,165,417.67,0+200,0+300,165,,,,,
Jalan Teratai,166,417.67,0+400,0+417,166,,,,,
Jalan Wijaya Kusuma,168,261.75,0+000,0+100,168,,,,,
Jalan Wijaya Kusuma,169,261.75,0+200,0+261,169,,,,,
Jalan Wijaya Kusuma I,171,267.32,0+000,0+100,171,,,,,
Jalan Wijaya Kusuma I,172,267.32,0+200,0+267,172,,,,,
Jalan Wijaya Kusuma II,174,180.06,0+100,0+180,174,,,,,
Jl. Abimanyu,176,806.85,0+000,0+100,176,,,,,
Jl. Abimanyu,177,806.85,0+100,0+200,177,,,,,
Jl. Abimanyu,178,806.85,0+200,0+300,178,,,,,
Jl. Abimanyu,179,806.85,0+300,0+400,179,,,,,
Jl. Abimanyu,180,806.85,0+400,0+500,180,,,,,
Jl. Abimanyu,181,806.85,0+500,0+600,181,,,,,
Jl. Abimanyu,182,806.85,0+600,0+700,182,,,,,
Jl. Abimanyu,183,806.85,0+800,0+806,183,,,,,
Jl. Abiyoso,185,238.54,0+000,0+100,185,,,,,
Jl. Abiyoso,186,238.54,0+200,0+238,186,,,,,
Jl. Arimbi 1,188,165.92,0+100,0+165,188,,,,,
Jl. Arjuno,191,118.93,0+100,0+118,191,,,,,
Jl. Bali,194,343.94,0+000,0+100,194,,,,,
Jl. Bali,195,343.94,0+100,0+200,195,,,,,
Jl. Bali,196,343.94,0+300,0+343,196,,,,,
Jl. Baru,198,188.60,0+100,0+188,198,,,,,
Jl. Baru Mberan,200,286.45,0+000,0+100,200,,,,,
Jl. Baru Mberan,201,286.45,0+200,0+286,201,,,,,
Jl. Baudayang,203,801.09,0+000,0+100,203,,,,,
Jl. Baudayang,204,801.09,0+100,0+200,204,,,,,
Jl. Baudayang,205,801.09,0+200,0+300,205,,,,,
Jl. Baudayang,206,801.09,0+300,0+400,206,,,,,
Jl. Baudayang,207,801.09,0+400,0+500,207,,,,,
Jl. Baudayang,208,801.09,0+500,0+600,208,,,,,
Jl. Baudayang,209,801.09,0+600,0+700,209,,,,,
Jl. Baudayang,210,801.09,0+800,0+801,210,,,,,
Jl. Bekas Rel,212,439.16,0+000,0+100,212,,,,,
Jl. Bekas Rel,213,439.16,0+100,0+200,213,,,,,
Jl. Bekas Rel,214,439.16,0+200,0+300,214,,,,,
Jl. Bekas Rel,215,439.16,0+400,0+439,215,,,,,
Jl. Bendungan Segaran,217,328.18,0+000,0+100,217,,,,,
Jl. Bendungan Segaran,218,328.18,0+100,0+200,218,,,,,
Jl. Bendungan Segaran,219,328.18,0+300,0+328,219,,,,,
Jl. Bendungan Segaran Barat,221,123.46,0+100,0+123,221,,,,,
Jl. Cempaka Gg 4,223,154.12,0+100,0+154,223,,,,,
Jl. Diponegoro 2,225,560.27,0+000,0+100,225,,,,,
Jl. Diponegoro 2,226,560.27,0+100,0+200,226,,,,,
Jl. Diponegoro 2,227,560.27,0+200,0+300,227,,,,,
