Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
Jl. Munggut-Batas Kota,044,1.540,1+400,1+500,2615,,,,,
Jl. Bantengan-Karangrejo,138,5.200,5+100,"5+200
",6254,,,,,
Jl. Mojopurno-Dimong,017,9.230,9+000,9+100,1128,,,,,
Jl. Bantengan-Batas Kota,081,0.700,0+600,0+700,4075,,,,,
Jl. Bantengan-Tempursari,139,0.960,0+800,0+900,6307,,,,,
Jl. Mojorayung-Batas Kota,080,2.270,2+200,2+300,4051,,,,,
Jl. Nglanduk-Batas Kota,083,2.460,2+400,2+500,4110,,,,,
Jl. Dempelan-Batas Kota,082,2.550,2+500,2+600,4083,,,,,
Jl. Dimong-Sirapan,132,1.010,0+900,1+000,6067,,,,,
Jl. Dimong-Batas Kota,014,3.800,3+700,3+800,915,,,,,
Jl. Balerejo-Dimong,038,4.510,4+300,4+400,2264,,,,,
Jl. Dagangan-Sareng,088,3.920,3+800,3+900,4388,,,,,
Jl. Slambur-Segulung,041,9.500,9+300,9+400,2336,,,,,
Jl. Ketandan-Mendak,089,7.050,6+900,7+000,4428,,,,,
Jl. Sareng-Ketandan,092,2.640,2+500,2+600,4768,,,,,
Jl. Batil-Candimulyo,074,4.720,4+600,4+700,3780,,,,,
Jl. Dolopo-Tileng,043,9.310,9+200,9+300,2521,,,,,
Jl. Candimulyo-Blimbing,165,3.830,3+700,3+800,7556,,,,,
Jl. Dolopo-Suluk,045,5.710,5+600,5+700,2631,,,,,
Jl. Dolopo-Batas Ponorogo,022,8.670,8+800,8+900,1425,,,,,
Jl. Mlilir-Suluk,078,9.470,9+200,9+300,3915,,,,,
Jl. Mlilir-Batas Ponorogo,079,4.280,4+000,4+100,4009,,,,,
Jl. Mlilir-Tambakmas,026,8.510,8+500,8+600,1704,,,,,
Jl. Ngeprih-Lembah,077,2.170,2+000,2+100,3893,,,,,
Jl. Ngrawan-Sukorejo,076,2.490,2+300,"2+400
",3868,,,,,
Jl. Doho-Banaran,163,3.290,3+100,3+200,7477,,,,,
Jl. Krandegan-Lembah,164,4.580,4+400,4+500,7510,,,,,
Jl. Singgahan-Krandegan,158,3.370,3+200,3+300,7341,,,,,
Jl. Dolopo-Mojorejo,007,7.800,7+700,7+800,449,,,,,
Jl. Pagotan-Klorogan,157,4.010,3+800,3+900,7301,,,,,
Jl. Pagotan-Nglandung,012,2.470,2+300,2+400,846,,,,,
Jl. Uteran-Batas Magetan,006,7.110,"6+700
",6+800,380,,,,,
Jl. Sidorejo-Tanjungrejo,161,2.780,2+600,2+700,7444,,,,,
Jl. Ngujur-Batas Ponorogo,021,9.300,9+100,9+200,1332,,,,,
Jl. Rejosari-Sidorejo,160,2.640,2+400,2+500,7418,,,,,
Jl. Balerejo-Gantrung,159,4.260,4+100,4+200,7375,,,,,
Jl. Kebonsari-Nglandung,025,2.910,2+800,2+900,1674,,,,,
Jl. Kaibon-Nglandung,013,4.380,4+200,4+300,871,,,,,
Jl. Sangen-Putat,069,3.860,3+700,3+800,3607,,,,,
Jl. Nglandung-Sambirejo,156,1.710,1+600,1+700,7283,,,,,
Jl. Jiwan-Sambirejo,033,5.450,5+300,"5+400
",2054,,,,,
Jl. Metesih-Batas Magetan,095,1.090,1+200,1+300,4859,,,,,
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+400,1+500,1515,,,,,
Jl. Kincang-Batas Magetan,047,2.010,1+900,2+000,2726,,,,,
Jl. Nglames-Batas Kota,039,0.480,0+300,"0+400
",2309,,,,,
Jl. Gunungsari-Banjarsari,065,2.030,1+900,2+000,3423,,,,,
Jl. Garon-Tanjungrejo,063,2.750,2+600,2+700,3358,,,,,
Jl. Balerejo-Tanjungrejo,062,2.250,2+100,2+200,3335,,,,,
Jl. Kertosari-Sukosari,068,3.360,2+800,2+900,3577,,,,,
Jl. Kaibon-Ngujur,067,11.430,11+300,11+400,3462,,,,,
Jl. Ngrobyong-Sumberejo,072,1.200,1+100,1+200,3736,,,,,
Jl. Slambur-Singgahan,073,3.040,2+900,3+000,3749,,,,,
Jl. Glonggong-Bader,075,4.000,3+800,3+900,3828,,,,,
Jl. Jetis-Dungus,086,6.640,6+700,6+800,4203,,,,,
Jl. Golan-Cabean,097,2.870,2+700,2+800,4919,,,,,
Jl. Sidomulyo-Kanung,102,1.600,1+500,1+600,5029,,,,,
Jl. Sumbergandu-Bulu,112,1.710,1+600,1+700,5421,,,,,
Jl. Palur-Batas Magetan,162,0.700,0+400,0+400,7472,,,,,
Jl. Dolopo-Tambakmas,042,8.920,8+800,8+900,2431,,,,,
Jl. Lemahbang-Klino,048,11.980,12+600,12+700,2747,,,,,
Jl. Kare-Randualas,150,3.430,3+300,3+400,6871,,,,,
Jl. Dungus-Batas Kota,009,8.700,8+600,8+700,650,,,,,
Jl. Brumbun-Kresek,142,1.970,1+800,1+900,6383,,,,,
Jl. Dungus-Bodag,143,7.230,7+000,7+100,6403,,,,,
Jl. Katregan-Kepel,147,7.840,7+700,7+800,6662,,,,,
Jl. Dungus-Kare,016,9.740,9+600,9+700,1030,,,,,
Jl. Kare-Plosorejo,148,4.710,4+600,4+700,6741,,,,,
Jl. Plosorejo-Batas Ponorogo,149,8.380,8+000,8+100,6789,,,,,
Jl. Bodag-Kepel,145,6.690,6+500,6+600,6541,,,,,
Jl. Kepel-Kare,146,3.140,5+100,5+200,6609,,,,,
Jl. Kresek-Bodag,144,6.590,6+400,6+500,6475,,,,,
Jl. Segulung-Mruwak,091,12.240,11+700,11+800,4649,,,,,
Jl. Klitik-Dimong,001,8.100,0+000,0+100,2,,,,,
Jl. Klitik-Dimong,001,8.100,0+100,0+200,3,,,,,
Jl. Klitik-Dimong,001,8.100,0+200,0+300,4,,,,,
Jl. Klitik-Dimong,001,8.100,0+300,0+400,5,,,,,
Jl. Klitik-Dimong,001,8.100,0+400,0+500,6,,,,,
Jl. Klitik-Dimong,001,8.100,0+500,0+600,7,,,,,
Jl. Klitik-Dimong,001,8.100,0+600,0+700,8,,,,,
Jl. Klitik-Dimong,001,8.100,0+700,0+800,9,,,,,
Jl. Klitik-Dimong,001,8.100,0+800,0+900,10,,,,,
Jl. Klitik-Dimong,001,8.100,0+900,1+000,11,,,,,
Jl. Klitik-Dimong,001,8.100,1+000,1+100,12,,,,,
Jl. Klitik-Dimong,001,8.100,1+100,1+200,13,,,,,
Jl. Klitik-Dimong,001,8.100,1+200,1+300,14,,,,,
Jl. Klitik-Dimong,001,8.100,1+300,1+400,15,,,,,
Jl. Klitik-Dimong,001,8.100,1+400,1+500,16,,,,,
Jl. Klitik-Dimong,001,8.100,1+500,1+600,17,,,,,
Jl. Klitik-Dimong,001,8.100,1+600,1+700,18,,,,,
Jl. Klitik-Dimong,001,8.100,1+700,1+800,19,,,,,
Jl. Klitik-Dimong,001,8.100,1+800,1+900,20,,,,,
Jl. Klitik-Dimong,001,8.100,1+900,2+000,21,,,,,
Jl. Klitik-Dimong,001,8.100,2+000,2+100,22,,,,,
Jl. Klitik-Dimong,001,8.100,2+100,2+200,23,,,,,
Jl. Klitik-Dimong,001,8.100,2+200,2+300,24,,,,,
Jl. Klitik-Dimong,001,8.100,2+300,2+400,25,,,,,
Jl. Klitik-Dimong,001,8.100,2+400,2+500,26,,,,,
Jl. Klitik-Dimong,001,8.100,2+500,2+600,27,,,,,
Jl. Klitik-Dimong,001,8.100,2+600,2+700,28,,,,,
Jl. Klitik-Dimong,001,8.100,2+700,2+800,29,,,,,
Jl. Klitik-Dimong,001,8.100,2+800,2+900,30,,,,,
Jl. Klitik-Dimong,001,8.100,2+900,3+000,31,,,,,
Jl. Klitik-Dimong,001,8.100,3+000,3+100,32,,,,,
Jl. Klitik-Dimong,001,8.100,3+100,3+200,33,,,,,
Jl. Klitik-Dimong,001,8.100,3+200,3+300,34,,,,,
Jl. Klitik-Dimong,001,8.100,3+300,3+400,35,,,,,
Jl. Klitik-Dimong,001,8.100,3+400,3+500,36,,,,,
Jl. Klitik-Dimong,001,8.100,3+500,3+600,37,,,,,
Jl. Klitik-Dimong,001,8.100,3+600,3+700,38,,,,,
Jl. Klitik-Dimong,001,8.100,3+700,3+800,39,,,,,
Jl. Klitik-Dimong,001,8.100,3+800,3+900,40,,,,,
Jl. Klitik-Dimong,001,8.100,3+900,4+000,41,,,,,
Jl. Klitik-Dimong,001,8.100,4+000,4+100,42,,,,,
Jl. Klitik-Dimong,001,8.100,4+100,4+200,43,,,,,
Jl. Klitik-Dimong,001,8.100,4+200,4+300,44,,,,,
Jl. Klitik-Dimong,001,8.100,4+300,4+400,45,,,,,
Jl. Klitik-Dimong,001,8.100,4+400,4+500,46,,,,,
Jl. Klitik-Dimong,001,8.100,4+500,4+600,47,,,,,
Jl. Klitik-Dimong,001,8.100,4+600,4+700,48,,,,,
Jl. Klitik-Dimong,001,8.100,4+700,4+800,49,,,,,
Jl. Klitik-Dimong,001,8.100,4+800,4+900,50,,,,,
Jl. Klitik-Dimong,001,8.100,4+900,5+000,51,,,,,
Jl. Klitik-Dimong,001,8.100,5+000,5+100,52,,,,,
Jl. Klitik-Dimong,001,8.100,5+100,5+200,53,,,,,
Jl. Klitik-Dimong,001,8.100,5+200,5+300,54,,,,,
Jl. Klitik-Dimong,001,8.100,5+300,5+400,55,,,,,
Jl. Klitik-Dimong,001,8.100,5+400,5+500,56,,,,,
Jl. Klitik-Dimong,001,8.100,5+500,5+600,57,,,,,
Jl. Klitik-Dimong,001,8.100,5+600,5+700,58,,,,,
Jl. Klitik-Dimong,001,8.100,5+700,5+800,59,,,,,
Jl. Klitik-Dimong,001,8.100,5+800,5+900,60,,,,,
Jl. Klitik-Dimong,001,8.100,5+900,6+000,61,,,,,
Jl. Klitik-Dimong,001,8.100,6+000,6+100,62,,,,,
Jl. Klitik-Dimong,001,8.100,6+100,6+200,63,,,,,
Jl. Klitik-Dimong,001,8.100,6+200,6+300,64,,,,,
Jl. Klitik-Dimong,001,8.100,6+300,6+400,65,,,,,
Jl. Klitik-Dimong,001,8.100,6+400,6+500,66,,,,,
Jl. Klitik-Dimong,001,8.100,6+500,6+600,67,,,,,
Jl. Klitik-Dimong,001,8.100,6+600,6+700,68,,,,,
Jl. Klitik-Dimong,001,8.100,6+700,6+800,69,,,,,
Jl. Klitik-Dimong,001,8.100,6+800,6+900,70,,,,,
Jl. Klitik-Dimong,001,8.100,6+900,7+000,71,,,,,
Jl. Klitik-Dimong,001,8.100,7+000,7+100,72,,,,,
Jl. Klitik-Dimong,001,8.100,7+100,7+200,73,,,,,
Jl. Klitik-Dimong,001,8.100,7+200,7+300,74,,,,,
Jl. Klitik-Dimong,001,8.100,7+300,7+400,75,,,,,
Jl. Klitik-Dimong,001,8.100,7+400,7+500,76,,,,,
Jl. Klitik-Dimong,001,8.100,7+500,7+600,77,,,,,
Jl. Klitik-Dimong,001,8.100,7+600,7+700,78,,,,,
Jl. Klitik-Dimong,001,8.100,7+700,7+800,79,,,,,
Jl. Klitik-Dimong,001,8.100,7+800,7+900,80,,,,,
Jl. Klitik-Dimong,001,8.100,7+900,8+000,81,,,,,
Jl. Klitik-Dimong,001,8.100,8+100,8+127,82,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+000,0+100,84,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+100,0+200,85,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+200,0+300,86,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+300,0+400,87,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+400,0+500,88,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+500,0+600,89,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+600,0+700,90,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+700,0+800,91,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+800,0+900,92,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,0+900,1+000,93,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+000,1+100,94,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+100,1+200,95,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+200,1+300,96,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+300,1+400,97,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+400,1+500,98,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+500,1+600,99,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+600,1+700,100,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+700,1+800,101,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+800,1+900,102,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,1+900,2+000,103,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+000,2+100,104,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+100,2+200,105,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+200,2+300,106,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+300,2+400,107,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+400,2+500,108,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+500,2+600,109,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+600,2+700,110,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+700,2+800,111,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+800,2+900,112,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,2+900,3+000,113,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+000,3+100,114,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+100,3+200,115,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+200,3+300,116,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+300,3+400,117,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+400,3+500,118,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+500,3+600,119,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+600,3+700,120,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+700,3+800,121,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+800,3+900,122,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,3+900,4+000,123,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+000,4+100,124,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+100,4+200,125,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+200,4+300,126,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+300,4+400,127,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+400,4+500,128,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+500,4+600,129,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+600,4+700,130,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+700,4+800,131,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+800,4+900,132,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,4+900,5+000,133,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,5+000,5+100,134,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,5+100,5+200,135,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,5+300,5+346,136,,,,,
Jl. Caruban-Morang,003,14.510,0+000,0+100,138,,,,,
Jl. Caruban-Morang,003,14.510,0+100,0+200,139,,,,,
Jl. Caruban-Morang,003,14.510,0+200,0+300,140,,,,,
Jl. Caruban-Morang,003,14.510,0+300,0+400,141,,,,,
Jl. Caruban-Morang,003,14.510,0+400,0+500,142,,,,,
Jl. Caruban-Morang,003,14.510,0+500,0+600,143,,,,,
Jl. Caruban-Morang,003,14.510,0+600,0+700,144,,,,,
Jl. Caruban-Morang,003,14.510,0+700,0+800,145,,,,,
Jl. Caruban-Morang,003,14.510,0+800,0+900,146,,,,,
Jl. Caruban-Morang,003,14.510,0+900,1+000,147,,,,,
Jl. Caruban-Morang,003,14.510,1+000,1+100,148,,,,,
Jl. Caruban-Morang,003,14.510,1+100,1+200,149,,,,,
Jl. Caruban-Morang,003,14.510,1+200,1+300,150,,,,,
Jl. Caruban-Morang,003,14.510,1+300,1+400,151,,,,,
Jl. Caruban-Morang,003,14.510,1+400,1+500,152,,,,,
Jl. Caruban-Morang,003,14.510,1+500,1+600,153,,,,,
Jl. Caruban-Morang,003,14.510,1+600,1+700,154,,,,,
Jl. Caruban-Morang,003,14.510,1+700,1+800,155,,,,,
Jl. Caruban-Morang,003,14.510,1+800,1+900,156,,,,,
Jl. Caruban-Morang,003,14.510,1+900,2+000,157,,,,,
Jl. Caruban-Morang,003,14.510,2+000,2+100,158,,,,,
Jl. Caruban-Morang,003,14.510,2+100,2+200,159,,,,,
Jl. Caruban-Morang,003,14.510,2+200,2+300,160,,,,,
Jl. Caruban-Morang,003,14.510,2+300,2+400,161,,,,,
Jl. Caruban-Morang,003,14.510,2+400,2+500,162,,,,,
Jl. Caruban-Morang,003,14.510,2+500,2+600,163,,,,,
Jl. Caruban-Morang,003,14.510,2+600,2+700,164,,,,,
Jl. Caruban-Morang,003,14.510,2+700,2+800,165,,,,,
Jl. Caruban-Morang,003,14.510,2+800,2+900,166,,,,,
Jl. Caruban-Morang,003,14.510,2+900,3+000,167,,,,,
Jl. Caruban-Morang,003,14.510,3+000,3+100,168,,,,,
Jl. Caruban-Morang,003,14.510,3+100,3+200,169,,,,,
Jl. Caruban-Morang,003,14.510,3+200,3+300,170,,,,,
Jl. Caruban-Morang,003,14.510,3+300,3+400,171,,,,,
Jl. Caruban-Morang,003,14.510,3+400,3+500,172,,,,,
Jl. Caruban-Morang,003,14.510,3+500,3+600,173,,,,,
Jl. Caruban-Morang,003,14.510,3+600,3+700,174,,,,,
Jl. Caruban-Morang,003,14.510,3+700,3+800,175,,,,,
Jl. Caruban-Morang,003,14.510,3+800,3+900,176,,,,,
Jl. Caruban-Morang,003,14.510,3+900,4+000,177,,,,,
Jl. Caruban-Morang,003,14.510,4+000,4+100,178,,,,,
Jl. Caruban-Morang,003,14.510,4+100,4+200,179,,,,,
Jl. Caruban-Morang,003,14.510,4+200,4+300,180,,,,,
Jl. Caruban-Morang,003,14.510,4+300,4+400,181,,,,,
Jl. Caruban-Morang,003,14.510,4+400,4+500,182,,,,,
Jl. Caruban-Morang,003,14.510,4+500,4+600,183,,,,,
Jl. Caruban-Morang,003,14.510,4+600,4+700,184,,,,,
Jl. Caruban-Morang,003,14.510,4+700,4+800,185,,,,,
Jl. Caruban-Morang,003,14.510,4+800,4+900,186,,,,,
Jl. Caruban-Morang,003,14.510,4+900,5+000,187,,,,,
Jl. Caruban-Morang,003,14.510,5+000,5+100,188,,,,,
Jl. Caruban-Morang,003,14.510,5+100,5+200,189,,,,,
Jl. Caruban-Morang,003,14.510,5+200,5+300,190,,,,,
Jl. Caruban-Morang,003,14.510,5+300,5+400,191,,,,,
Jl. Caruban-Morang,003,14.510,5+400,5+500,192,,,,,
Jl. Caruban-Morang,003,14.510,5+500,5+600,193,,,,,
Jl. Caruban-Morang,003,14.510,5+600,5+700,194,,,,,
Jl. Caruban-Morang,003,14.510,5+700,5+800,195,,,,,
Jl. Caruban-Morang,003,14.510,5+800,5+900,196,,,,,
Jl. Caruban-Morang,003,14.510,5+900,6+000,197,,,,,
Jl. Caruban-Morang,003,14.510,6+000,6+100,198,,,,,
Jl. Caruban-Morang,003,14.510,6+100,6+200,199,,,,,
Jl. Caruban-Morang,003,14.510,6+200,6+300,200,,,,,
Jl. Caruban-Morang,003,14.510,6+300,6+400,201,,,,,
Jl. Caruban-Morang,003,14.510,6+400,6+500,202,,,,,
Jl. Caruban-Morang,003,14.510,6+500,6+600,203,,,,,
Jl. Caruban-Morang,003,14.510,6+600,6+700,204,,,,,
Jl. Caruban-Morang,003,14.510,6+700,6+800,205,,,,,
Jl. Caruban-Morang,003,14.510,6+800,6+900,206,,,,,
Jl. Caruban-Morang,003,14.510,6+900,7+000,207,,,,,
Jl. Caruban-Morang,003,14.510,7+000,7+100,208,,,,,
Jl. Caruban-Morang,003,14.510,7+100,7+200,209,,,,,
Jl. Caruban-Morang,003,14.510,7+200,7+300,210,,,,,
Jl. Caruban-Morang,003,14.510,7+300,7+400,211,,,,,
Jl. Caruban-Morang,003,14.510,7+400,7+500,212,,,,,
Jl. Caruban-Morang,003,14.510,7+500,7+600,213,,,,,
