No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
1145,BANARAN,,1313,0+200,0+300,,sedang,makadam,4,,2022,,,,
1146,BANARAN,,1313,0+300,0+400,,sedang,makadam,4,,2022,,,,
1147,BANARAN,,1313,0+400,0+500,,sedang,lapen,4,,2022,,,,
1148,BANARAN,,1313,0+500,0+600,,sedang,lapen,4,,2022,,,,
1149,BANARAN,,1313,0+600,0+700,,RR,lapen,4,,2022,,,,
1150,BANARAN,,1313,0+700,0+800,,RR,lapen,4,,2022,,,,
1151,BANARAN,,1313,0+800,0+900,,RR,lapen,4,,2022,,,,
1152,BANARAN,,1313,0+900,1+000,,RR,lapen,4,,2022,,,,
1153,BANARAN,,1313,1+000,1+100,,RR,lapen,4,,2022,,,,
1154,BANARAN,,1313,1+100,1+200,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
1155,BANARAN,,1313,1+200,1+300,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
1156,BANARAN,,1313,1+300,1+312,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
956,BANCONG,,1137,0+000,0+100,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
957,BANCONG,,1137,0+100,0+200,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
958,BANCONG,,1137,0+200,0+300,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
959,BANCONG,,1137,0+300,0+400,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
960,BANCONG,,1137,0+400,0+500,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
961,BANCONG,,1137,0+500,0+600,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
962,BANCONG,,1137,0+600,0+700,,baik,beton,4,,2022,,,,
963,BANCONG,,1137,0+700,0+800,,baik,beton,4,,2022,,,,
964,BANCONG,,1137,0+800,0+900,,baik,beton,4,,2022,,,,
965,BANCONG,,1137,0+900,1+000,,baik,beton,4,,2022,,,,
966,BANCONG,,1137,1+000,1+100,,baik,beton,4,,2022,,,,
967,BANCONG,,1137,1+100,1+137,,baik,beton,4,,2022,,,,
548,BANDUNGAN,,727,0+000,0+100,,baik,beton,4,,2022,,,,
549,BANDUNGAN,,727,0+100,0+200,,baik,beton,4,,2022,,,,
550,BANDUNGAN,,727,0+200,0+300,,baik,beton,4,,2022,,,,
551,BANDUNGAN,,727,0+300,0+400,,baik,beton,4,,2022,,,,
552,BANDUNGAN,,727,0+400,0+500,,baik,beton,4,,2022,,,,
553,BANDUNGAN,,727,0+500,0+600,,baik,beton,4,,2022,,,,
554,BANDUNGAN,,727,0+600,0+700,,baik,aspal,4,,2022,,,,
555,BANDUNGAN,,727,0+700,0+726,,sedang,aspal,4,,2022,,,,
214,BANJARSARI KULON,,3026,0+000,0+100,,sedang,aspal,4,,2022,,,,
215,BANJARSARI KULON,,3026,0+100,0+200,,sedang,aspal,4,,2022,,,,
216,BANJARSARI KULON,,3026,0+200,0+300,,sedang,aspal,4,,2022,,,,
217,BANJARSARI KULON,,3026,0+300,0+400,,sedang,aspal,4,,2022,,,,
218,BANJARSARI KULON,,3026,0+400,0+500,,sedang,aspal,4,,2022,,,,
