Name;STA_AWAL;STA_AKHIR;NO;Panjang;Kondisi;Tipe_Perke;Lebar_STA
Jl. GG. Duren;0+000;0+100;309;124,53164984400;sedang;aspal;6
Jl. GG. Jambu;0+000;0+096;313;96,64691923470;RR;aspal;6
Jl. Gg. Apel;0+000;0+024;308;24,09779999730;RB;aspal;6
Jl. Gg. Salak;0+000;0+086;322;86,76780498570;BAIK;aspal;6
Jl. Bekas Rel;0+300;0+400;211;439,15696261400;sedang;aspal;6
Jl. Kanal Kembar (RT.11 RW.5);0+200;0+300;332;333,29069857300;RR;aspal;6
Jl. Sukodono (RT.11 RW.5);0+100;0+200;480;213,46466528600;RB;aspal;6
Jl.Antarejo;1+400;1+500;520;1500,52775078000;BAIK;aspal;6
Jl. Gatot Kaca;1+000;1+100;293;1138,85027180000;sedang;aspal;6
Jl. Abimanyu;0+700;0+800;175;806,84988536900;RR;aspal;6
Jl.Sentiaki;0+900;1+000;554;1085,94315009000;RB;aspal;6
Jl. Werkudoro;0+000;0+100;512;138,72230442400;BAIK;aspal;6
Jl. Krisna;0+400;0+500;365;506,54240706400;sedang;aspal;6
Jl. Gang Bayusuto 1;0+000;0+098;251;98,95963803950;RR;aspal;6
Jl. Gang Bayusuto 2;0+000;0+100;252;130,87169661800;RB;aspal;6
Jl. Gang Bayusuto 3;0+000;0+100;254;135,52926666300;BAIK;aspal;6
Jl. Gang Bayusuto 4;0+000;0+100;256;143,90000708900;sedang;aspal;6
Jl.Gang Asem 1;0+100;0+200;540;206,79818336300;RR;aspal;6
Jl. Gang Asem 2;0+000;0+098;250;98,81405512740;RB;aspal;6
Jl. Selo Barong;0+000;0+100;469;148,35298987000;BAIK;aspal;6
Jl. Puntodewo;0+400;0+500;440;567,71375178000;sedang;aspal;6
Jl. Srikandi;0+300;0+400;475;432,01950779800;RR;aspal;6
Jl. Bendungan Segaran;0+200;0+300;216;328,17731869900;RB;aspal;6
Jl. Bendungan Segaran Barat;0+000;0+100;220;123,46328740300;BAIK;aspal;6
Jl. Mawar;0+700;0+800;383;831,38163716300;sedang;aspal;6
Jl. Kamboja;0+000;0+100;330;118,53146244200;RR;aspal;6
Jl. Ki Ageng Bandar Alim;0+200;0+300;343;389,54491273700;RB;aspal;6
Jl. Melati;0+400;0+500;398;502,42341231700;BAIK;aspal;6
Jl. Gang Kantil 2;0+000;0+100;265;108,40731715800;sedang;aspal;6
Jl. Gang Kantil 3;0+000;0+051;267;51,34249030920;RR;aspal;6
Jl. Kantil;0+300;0+400;336;425,14209296500;RB;aspal;6
Jl. Gang Kasepuhan;0+000;0+064;268;64,33732617110;BAIK;aspal;6
Jl.Gang Gatot Kaca 1;0+000;0+100;543;198,01287640800;sedang;aspal;6
Jl.Gang Gatot Kaca 2;0+000;0+100;545;117,68787286100;RR;aspal;6
Jl.Gang Gatot Kaca 3;0+000;0+100;547;102,35326719900;RB;aspal;6
Jl. Gang Cemer 1;0+000;0+100;262;126,59416612100;BAIK;aspal;6
Jl. Gang Cemer 2;0+000;0+061;264;61,21934649020;sedang;aspal;6
Jl. Gang Abimanyu;0+000;0+100;246;198,57722979100;RR;aspal;6
Jl. Petruk;0+000;0+100;435;133,65194156400;RB;aspal;6
Jl. Semar;0+000;0+100;471;107,69046695100;BAIK;aspal;6
Jl. Gareng;0+000;0+034;288;34,27336270670;sedang;aspal;6
Jl. Gang Sentiaki 2;0+000;0+100;283;195,13213763500;RR;aspal;6
Jl. Gang Sentiaki 1;0+200;0+300;279;399,89229234000;RB;aspal;6
Jl. Dungus Termulus;1+200;1+300;230;1350,30544222000;BAIK;aspal;6
Jl. Tomat;0+000;0+100;510;159,93522934400;sedang;aspal;6
Jl.Chery;0+200;0+300;536;329,91722255700;RR;aspal;6
Jl. Manggis;0+000;0+100;374;165,95358359100;RB;aspal;6
Jl. Gang Mangga;0+000;0+100;269;103,35599802900;BAIK;aspal;6
Jl. Rambutan;0+000;0+097;454;97,02924411100;sedang;aspal;6
Jl. Jambu;0+000;0+098;327;98,67663945790;RR;aspal;6
Jl. Nangka;0+000;0+100;404;194,23642249000;RB;aspal;6
Jl. Durian;0+000;0+100;244;106,36471350200;BAIK;aspal;6
Jl. Kiwi;0+000;0+050;359;50,59782491660;sedang;aspal;6
