Name;STA_AWAL;STA_AKHIR;NO;Panjang;Kondisi;Tipe_Perke;Lebar_STA
Jl. Dungus Termulus;0+600;0+700;237;1350,30544222000;sedang;beton;6
Jl. Dungus Termulus;0+700;0+800;238;1350,30544222000;RR;beton;6
Jl. Dungus Termulus;0+800;0+900;239;1350,30544222000;RB;beton;6
Jl. Dungus Termulus;0+900;1+000;240;1350,30544222000;BAIK;beton;6
Jl. Dungus Termulus;1+000;1+100;241;1350,30544222000;sedang;beton;6
Jl. Dungus Termulus;1+100;1+200;242;1350,30544222000;RR;beton;6
Jl. Dungus Termulus;1+300;1+350;243;1350,30544222000;RB;beton;6
Jl. Durian;0+100;0+106;245;106,36471350200;BAIK;beton;6
Jl. Gang Abimanyu;0+100;0+198;247;198,57722979100;sedang;beton;6
Jl. Gang Anggrek V;0+100;0+119;249;119,96597349300;RR;beton;6
Jl. Gang Bayusuto 2;0+100;0+130;253;130,87169661800;RB;beton;6
Jl. Gang Bayusuto 3;0+100;0+135;255;135,52926666300;BAIK;beton;6
Jl. Gang Bayusuto 4;0+100;0+143;257;143,90000708900;sedang;beton;6
Jl. Gang Buntu;0+000;0+100;259;224,73984898300;RR;beton;6
Jl. Gang Buntu;0+200;0+224;260;224,73984898300;RB;beton;6
Jl. Gang Cemer 1;0+100;0+126;263;126,59416612100;BAIK;beton;6
Jl. Gang Kantil 2;0+100;0+108;266;108,40731715800;sedang;beton;6
Jl. Gang Mangga;0+100;0+103;270;103,35599802900;RR;beton;6
Jl. Gang Masjid;0+100;0+186;272;186,74829802700;RB;beton;6
Jl. Gang Rukun;0+100;0+112;274;112,03293487600;BAIK;beton;6
Jl. Gang Sadewo 1;0+000;0+100;276;204,27965605500;sedang;beton;6
Jl. Gang Sadewo 1;0+200;0+204;277;204,27965605500;RR;beton;6
Jl. Gang Sentiaki 1;0+000;0+100;280;399,89229234000;RB;beton;6
Jl. Gang Sentiaki 1;0+100;0+200;281;399,89229234000;BAIK;beton;6
Jl. Gang Sentiaki 1;0+300;0+399;282;399,89229234000;sedang;beton;6
Jl. Gang Sentiaki 2;0+100;0+195;284;195,13213763500;RR;beton;6
Jl. Gang Tangah;0+000;0+100;286;260,32911066300;RB;beton;6
Jl. Gang Tangah;0+200;0+260;287;260,32911066300;BAIK;beton;6
Jl. Gatot Kaca;0+000;0+100;290;347,25600437600;sedang;beton;6
Jl. Gatot Kaca;0+100;0+200;291;347,25600437600;RR;beton;6
Jl. Gatot Kaca;0+300;0+347;292;347,25600437600;RB;beton;6
Jl. Gatot Kaca;0+000;0+100;294;1138,85027180000;BAIK;beton;6
Jl. Gatot Kaca;0+100;0+200;295;1138,85027180000;sedang;beton;6
Jl. Gatot Kaca;0+200;0+300;296;1138,85027180000;RR;beton;6
Jl. Gatot Kaca;0+300;0+400;297;1138,85027180000;RB;beton;6
Jl. Gatot Kaca;0+400;0+500;298;1138,85027180000;BAIK;beton;6
Jl. Gatot Kaca;0+500;0+600;299;1138,85027180000;sedang;beton;6
Jl. Gatot Kaca;0+600;0+700;300;1138,85027180000;RR;beton;6
Jl. Gatot Kaca;0+700;0+800;301;1138,85027180000;RB;beton;6
Jl. Gatot Kaca;0+800;0+900;302;1138,85027180000;BAIK;beton;6
Jl. Gatot Kaca;0+900;1+000;303;1138,85027180000;sedang;beton;6
Jl. Gatot Kaca;1+100;1+138;304;1138,85027180000;RR;beton;6
Jl. Gg Trobanyu;0+100;0+106;307;106,75507100000;RB;beton;6
Jl. GG. Duren;0+100;0+124;310;124,53164984400;BAIK;beton;6
Jl. Gg. Jambe;0+100;0+103;312;103,71499825800;sedang;beton;6
Jl. Gg. Jeruk;0+100;0+110;315;110,11086061300;RR;beton;6
Jl. Gg. Kelapa;0+100;0+128;317;128,68915564200;RB;beton;6
Jl. Gg. Kelurahan;0+100;0+131;319;131,77265048400;BAIK;beton;6
Jl. H.Seto;0+100;0+173;324;173,30814607000;sedang;beton;6
Jl. Iromito;0+100;0+197;326;197,00801466500;RR;beton;6
Jl. K.A.Moch Basari;0+100;0+109;329;109,13151624800;RB;beton;6
Jl. Kamboja;0+100;0+118;331;118,53146244200;BAIK;beton;6
Jl. Kanal Kembar (RT.11 RW.5);0+000;0+100;333;333,29069857300;sedang;beton;6
Jl. Kanal Kembar (RT.11 RW.5);0+100;0+200;334;333,29069857300;RR;beton;6
Jl. Kanal Kembar (RT.11 RW.5);0+300;0+333;335;333,29069857300;RB;beton;6
Jl. Kantil;0+000;0+100;337;425,14209296500;BAIK;beton;6
Jl. Kantil;0+100;0+200;338;425,14209296500;sedang;beton;6
Jl. Kantil;0+200;0+300;339;425,14209296500;RR;beton;6
Jl. Kantil;0+400;0+425;340;425,14209296500;RB;beton;6
Jl. Kebon Pisang;0+100;0+191;342;191,59929040600;BAIK;beton;6
Jl. Ki Ageng Bandar Alim;0+000;0+100;344;389,54491273700;sedang;beton;6
Jl. Ki Ageng Bandar Alim;0+100;0+200;345;389,54491273700;RR;beton;6
Jl. Ki Ageng Bandar Alim;0+300;0+389;346;389,54491273700;RB;beton;6
Jl. Ki. Ageng Basyariyah;0+000;0+100;348;607,41213701200;BAIK;beton;6
Jl. Ki. Ageng Basyariyah;0+100;0+200;349;607,41213701200;sedang;beton;6
Jl. Ki. Ageng Basyariyah;0+200;0+300;350;607,41213701200;RR;beton;6
Jl. Ki. Ageng Basyariyah;0+300;0+400;351;607,41213701200;RB;beton;6
Jl. Ki. Ageng Basyariyah;0+400;0+500;352;607,41213701200;BAIK;beton;6
Jl. Ki. Ageng Basyariyah;0+600;0+607;353;607,41213701200;sedang;beton;6
Jl. Kontak Tani;0+000;0+100;361;259,44289831100;RR;beton;6
Jl. Kontak Tani;0+200;0+259;362;259,44289831100;RB;beton;6
Jl. Kresno;0+100;0+117;364;117,02696500500;BAIK;beton;6
Jl. Krisna;0+000;0+100;366;506,54240706400;sedang;beton;6
Jl. Krisna;0+100;0+200;367;506,54240706400;RR;beton;6
Jl. Krisna;0+200;0+300;368;506,54240706400;RB;beton;6
Jl. Krisna;0+300;0+400;369;506,54240706400;BAIK;beton;6
Jl. Krisna;0+500;0+506;370;506,54240706400;sedang;beton;6
Jl. Lapangan;0+000;0+100;372;231,27761602000;RR;beton;6
Jl. Lapangan;0+200;0+231;373;231,27761602000;RB;beton;6
Jl. Manggis;0+100;0+165;375;165,95358359100;BAIK;beton;6
Jl. Masjid;0+000;0+100;377;687,89343412500;sedang;beton;6
Jl. Masjid;0+100;0+200;378;687,89343412500;RR;beton;6
Jl. Masjid;0+200;0+300;379;687,89343412500;RB;beton;6
Jl. Masjid;0+300;0+400;380;687,89343412500;BAIK;beton;6
Jl. Masjid;0+400;0+500;381;687,89343412500;sedang;beton;6
Jl. Masjid;0+600;0+687;382;687,89343412500;RR;beton;6
Jl. Mawar;0+000;0+100;384;831,38163716300;RB;beton;6
Jl. Mawar;0+100;0+200;385;831,38163716300;BAIK;beton;6
Jl. Mawar;0+200;0+300;386;831,38163716300;sedang;beton;6
Jl. Mawar;0+300;0+400;387;831,38163716300;RR;beton;6
Jl. Mawar;0+400;0+500;388;831,38163716300;RB;beton;6
Jl. Mawar;0+500;0+600;389;831,38163716300;BAIK;beton;6
Jl. Mawar;0+600;0+700;390;831,38163716300;sedang;beton;6
Jl. Mawar;0+800;0+831;391;831,38163716300;RR;beton;6
Jl. Mawar 1;0+100;0+140;393;140,91921476300;RB;beton;6
Jl. Mawar 2;0+000;0+100;395;301,03466681600;BAIK;beton;6
Jl. Mawar 2;0+100;0+200;396;301,03466681600;sedang;beton;6
Jl. Mawar 2;0+300;0+301;397;301,03466681600;RR;beton;6
Jl. Melati;0+000;0+100;399;502,42341231700;RB;beton;6
Jl. Melati;0+100;0+200;400;502,42341231700;BAIK;beton;6
Jl. Melati;0+200;0+300;401;502,42341231700;sedang;beton;6
Jl. Melati;0+300;0+400;402;502,42341231700;RR;beton;6
Jl. Melati;0+500;0+502;403;502,42341231700;RB;beton;6
Jl. Nangka;0+100;0+194;405;194,23642249000;BAIK;beton;6
Jl. Panji 1;0+100;0+125;407;125,11623571900;sedang;beton;6
Jl. Panji 2;0+100;0+115;409;115,64590177500;RR;beton;6
Jl. Panji 3;0+100;0+170;411;170,99832613800;RB;beton;6
Jl. Patimura;0+000;0+100;413;230,62570930300;BAIK;beton;6
Jl. Patimura;0+200;0+230;414;230,62570930300;sedang;beton;6
Jl. Pemuda;0+000;0+100;416;398,53131854900;RR;beton;6
Jl. Pemuda;0+100;0+200;417;398,53131854900;RB;beton;6
Jl. Pemuda;0+300;0+398;418;398,53131854900;BAIK;beton;6
Jl. Pemuda Gang I;0+100;0+102;420;102,48531581500;sedang;beton;6
Jl. Pemuda Gang II;0+100;0+102;422;102,23715400500;RR;beton;6
Jl. Pemuda Gang III;0+100;0+103;424;103,05491504300;RB;beton;6
Jl. Pemuda Gang IV;0+100;0+102;426;102,56190011100;BAIK;beton;6
Jl. Pemuda Gang VI;0+100;0+102;429;102,59598028500;sedang;beton;6
Jl. Pemuda Gang VII;0+100;0+146;431;146,98523460100;RR;beton;6
Jl. Pepaya;0+100;0+171;434;171,99455906400;RB;beton;6
Jl. Petruk;0+100;0+133;436;133,65194156400;BAIK;beton;6
Jl. Pisang;0+100;0+170;438;170,07529703700;sedang;beton;6
Jl. Puntodewo;0+000;0+100;441;567,71375178000;RR;beton;6
Jl. Puntodewo;0+100;0+200;442;567,71375178000;RB;beton;6
Jl. Puntodewo;0+200;0+300;443;567,71375178000;BAIK;beton;6
Jl. Puntodewo;0+300;0+400;444;567,71375178000;sedang;beton;6
Jl. Puntodewo;0+500;0+567;445;567,71375178000;RR;beton;6
Jl. Rajawali;0+000;0+100;449;311,56354139100;RB;beton;6
Jl. Rajawali;0+100;0+200;450;311,56354139100;BAIK;beton;6
Jl. Rajawali;0+300;0+311;451;311,56354139100;sedang;beton;6
Jl. Rajawali Gg.1;0+100;0+136;453;136,21529604600;RR;beton;6
Jl. Remaja;0+000;0+100;456;220,46953534900;RB;beton;6
Jl. Remaja;0+200;0+220;457;220,46953534900;BAIK;beton;6
Jl. Rukun;0+100;0+142;462;142,13503935400;sedang;beton;6
Jl. Sadewo;0+100;0+174;464;174,83712768300;RR;beton;6
Jl. Sawung Galing;0+000;0+100;466;392,04071632200;RB;beton;6
Jl. Sawung Galing;0+100;0+200;467;392,04071632200;BAIK;beton;6
Jl. Sawung Galing;0+300;0+392;468;392,04071632200;sedang;beton;6
Jl. Selo Barong;0+100;0+148;470;148,35298987000;RR;beton;6
Jl. Semar;0+100;0+107;472;107,69046695100;RB;beton;6
Jl. Sri Dewi;0+100;0+106;474;106,43465180600;BAIK;beton;6
Jl. Srikandi;0+000;0+100;476;432,01950779800;sedang;beton;6
Jl. Srikandi;0+100;0+200;477;432,01950779800;RR;beton;6
Jl. Srikandi;0+200;0+300;478;432,01950779800;RB;beton;6
Jl. Srikandi;0+400;0+432;479;432,01950779800;BAIK;beton;6
Jl. Sukodono (RT.11 RW.5);0+000;0+100;481;213,46466528600;sedang;beton;6
Jl. Sukodono (RT.11 RW.5);0+200;0+213;482;213,46466528600;RR;beton;6
Jl. Sultan Agung;0+000;0+100;484;322,08050603000;RB;beton;6
Jl. Sultan Agung;0+100;0+200;485;322,08050603000;BAIK;beton;6
Jl. Sultan Agung;0+300;0+322;486;322,08050603000;sedang;beton;6
Jl. Tani Jaya;0+000;0+100;488;400,34698249800;RR;beton;6
Jl. Tani Jaya;0+100;0+200;489;400,34698249800;RB;beton;6
Jl. Tani Jaya;0+200;0+300;490;400,34698249800;BAIK;beton;6
Jl. Tani Jaya;0+400;0+400;491;400,34698249800;sedang;beton;6
Jl. Tani Maju;0+000;0+100;493;348,56307107900;RR;beton;6
Jl. Tani Maju;0+100;0+200;494;348,56307107900;RB;beton;6
Jl. Tani Maju;0+300;0+348;495;348,56307107900;BAIK;beton;6
Jl. Tani Murni;0+000;0+100;497;578,92875549800;sedang;beton;6
Jl. Tani Murni;0+100;0+200;498;578,92875549800;RR;beton;6
Jl. Tani Murni;0+200;0+300;499;578,92875549800;RB;beton;6
Jl. Tani Murni;0+300;0+400;500;578,92875549800;BAIK;beton;6
Jl. Tani Murni;0+500;0+578;501;578,92875549800;sedang;beton;6
Jl. Tani Unggul;0+000;0+100;503;763,47946531900;RR;beton;6
Jl. Tani Unggul;0+100;0+200;504;763,47946531900;RB;beton;6
Jl. Tani Unggul;0+200;0+300;505;763,47946531900;BAIK;beton;6
Jl. Tani Unggul;0+300;0+400;506;763,47946531900;sedang;beton;6
Jl. Tani Unggul;0+400;0+500;507;763,47946531900;RR;beton;6
Jl. Tani Unggul;0+500;0+600;508;763,47946531900;RB;beton;6
Jl. Tani Unggul;0+700;0+763;509;763,47946531900;BAIK;beton;6
Jl. Tomat;0+100;0+159;511;159,93522934400;sedang;beton;6
Jl. Werkudoro;0+100;0+138;513;138,72230442400;RR;beton;6
Jl. Wijaya;0+000;0+100;515;341,84641018800;RB;beton;6
Jl. Wijaya;0+100;0+200;516;341,84641018800;BAIK;beton;6
Jl. Wijaya;0+300;0+341;517;341,84641018800;sedang;beton;6
Jl.Antarejo;0+000;0+100;521;1500,52775078000;RR;beton;6
Jl.Antarejo;0+100;0+200;522;1500,52775078000;RB;beton;6
Jl.Antarejo;0+200;0+300;523;1500,52775078000;BAIK;beton;6
Jl.Antarejo;0+300;0+400;524;1500,52775078000;sedang;beton;6
Jl.Antarejo;0+400;0+500;525;1500,52775078000;RR;beton;6
Jl.Antarejo;0+500;0+600;526;1500,52775078000;RB;beton;6
Jl.Antarejo;0+600;0+700;527;1500,52775078000;BAIK;beton;6
Jl.Antarejo;0+700;0+800;528;1500,52775078000;sedang;beton;6
Jl.Antarejo;0+800;0+900;529;1500,52775078000;RR;beton;6
Jl.Antarejo;0+900;1+000;530;1500,52775078000;RB;beton;6
Jl.Antarejo;1+000;1+100;531;1500,52775078000;BAIK;beton;6
Jl.Antarejo;1+100;1+200;532;1500,52775078000;sedang;beton;6
Jl.Antarejo;1+200;1+300;533;1500,52775078000;RR;beton;6
Jl.Antarejo;1+300;1+400;534;1500,52775078000;RB;beton;6
Jl.Antarejo;1+500;1+500;535;1500,52775078000;BAIK;beton;6
Jl.Chery;0+000;0+100;537;329,91722255700;sedang;beton;6
Jl.Chery;0+100;0+200;538;329,91722255700;RR;beton;6
Jl.Chery;0+300;0+329;539;329,91722255700;RB;beton;6
Jl.Gang Asem 1;0+000;0+100;541;206,79818336300;BAIK;beton;6
Jl.Gang Asem 1;0+200;0+206;542;206,79818336300;sedang;beton;6
Jl.Gang Gatot Kaca 1;0+100;0+198;544;198,01287640800;RR;beton;6
Jl.Gang Gatot Kaca 2;0+100;0+117;546;117,68787286100;RB;beton;6
Jl.Gang Gatot Kaca 3;0+100;0+102;548;102,35326719900;BAIK;beton;6
Jl.Gg pisang (RT.3,4 RW.1);0+100;0+128;550;128,72291513100;sedang;beton;6
Jl.Gg. Kertorejan;0+100;0+127;552;127,55305972100;RR;beton;6
Jl.Sentiaki;0+000;0+100;555;1085,94315009000;RB;beton;6
Jl.Sentiaki;0+100;0+200;556;1085,94315009000;BAIK;beton;6
Jl.Sentiaki;0+200;0+300;557;1085,94315009000;sedang;beton;6
Jl.Sentiaki;0+300;0+400;558;1085,94315009000;RR;beton;6
Jl.Sentiaki;0+400;0+500;559;1085,94315009000;RB;beton;6
Jl.Sentiaki;0+500;0+600;560;1085,94315009000;BAIK;beton;6
Jl.Sentiaki;0+600;0+700;561;1085,94315009000;sedang;beton;6
Jl.Sentiaki;0+700;0+800;562;1085,94315009000;RR;beton;6
Jl.Sentiaki;0+800;0+900;563;1085,94315009000;RB;beton;6
Jl.Sentiaki;1+000;1+085;564;1085,94315009000;BAIK;beton;6
