No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
7477,"Jl. Doho-Banaran",163,3,3+100,3+200,,sedang,lapen,6,,2022,,,,
7510,"Jl. Krandegan-Lembah",164,5,4+400,4+500,,sedang,lapen,6,,2022,,,,
7341,"Jl. Singgahan-Krandegan",158,3,3+200,3+300,,sedang,lapen,6,,2022,,,,
449,"Jl. Dolopo-Mojorejo",007,8,7+700,7+800,,sedang,lapen,6,,2022,,,,
7301,"Jl. Pagotan-Klorogan",157,4,3+800,3+900,,sedang,lapen,6,,2022,,,,
846,"Jl. Pagotan-Nglandung",012,2,2+300,2+400,,sedang,lapen,6,,2022,,,,
380,"Jl. Uteran-Batas Magetan",006,7,6+700,6+800,,sedang,lapen,6,,2022,,,,
7444,"Jl. Sidorejo-Tanjungrejo",161,3,2+600,2+700,,sedang,lapen,6,,2022,,,,
1332,"Jl. Ngujur-Batas Ponorogo",021,9,9+100,9+200,,sedang,lapen,6,,2022,,,,
7418,"Jl. Rejosari-Sidorejo",160,3,2+400,2+500,,sedang,lapen,6,,2022,,,,
7375,"Jl. Balerejo-Gantrung",159,4,4+100,4+200,,sedang,lapen,6,,2022,,,,
1674,"Jl. Kebonsari-Nglandung",025,3,2+800,2+900,,sedang,lapen,6,,2022,,,,
871,"Jl. Kaibon-Nglandung",013,4,4+200,4+300,,sedang,lapen,6,,2022,,,,
3607,"Jl. Sangen-Putat",069,4,3+700,3+800,,sedang,lapen,6,,2022,,,,
7283,"Jl. Nglandung-Sambirejo",156,2,1+600,1+700,,sedang,lapen,6,,2022,,,,
2054,"Jl. Jiwan-Sambirejo",033,5,5+300,5+400,,sedang,lapen,6,,2022,,,,
4859,"Jl. Metesih-Batas Magetan",095,1,1+200,1+300,,sedang,lapen,6,,2022,,,,
1515,"Jl. Batas Kota-Jembatan Gandong",023,2,1+400,1+500,,sedang,lapen,6,,2022,,,,
2726,"Jl. Kincang-Batas Magetan",047,2,1+900,2+000,,sedang,lapen,6,,2022,,,,
2309,"Jl. Nglames-Batas Kota",039,0,0+300,0+400,,sedang,lapen,6,,2022,,,,
3423,"Jl. Gunungsari-Banjarsari",065,2,1+900,2+000,,sedang,lapen,6,,2022,,,,
3358,"Jl. Garon-Tanjungrejo",063,3,2+600,2+700,,sedang,lapen,6,,2022,,,,
3335,"Jl. Balerejo-Tanjungrejo",062,2,2+100,2+200,,sedang,lapen,6,,2022,,,,
3577,"Jl. Kertosari-Sukosari",068,3,2+800,2+900,,sedang,lapen,6,,2022,,,,
3462,"Jl. Kaibon-Ngujur",067,11,11+300,11+400,,sedang,lapen,6,,2022,,,,
3736,"Jl. Ngrobyong-Sumberejo",072,1,1+100,1+200,,sedang,lapen,6,,2022,,,,
3749,"Jl. Slambur-Singgahan",073,3,2+900,3+000,,sedang,lapen,6,,2022,,,,
3828,"Jl. Glonggong-Bader",075,4,3+800,3+900,,sedang,lapen,6,,2022,,,,
4203,"Jl. Jetis-Dungus",086,7,6+700,6+800,,sedang,lapen,6,,2022,,,,
4919,"Jl. Golan-Cabean",097,3,2+700,2+800,,sedang,lapen,6,,2022,,,,
5029,"Jl. Sidomulyo-Kanung",102,2,1+500,1+600,,sedang,lapen,6,,2022,,,,
5421,"Jl. Sumbergandu-Bulu",112,2,1+600,1+700,,sedang,lapen,6,,2022,,,,
7472,"Jl. Palur-Batas Magetan",162,1,0+400,0+400,,sedang,lapen,6,,2022,,,,
2431,"Jl. Dolopo-Tambakmas",042,9,8+800,8+900,,sedang,lapen,6,,2022,,,,
2747,"Jl. Lemahbang-Klino",048,12,12+600,12+700,,sedang,lapen,6,,2022,,,,
6871,"Jl. Kare-Randualas",150,3,3+300,3+400,,sedang,lapen,6,,2022,,,,
650,"Jl. Dungus-Batas Kota",009,9,8+600,8+700,,sedang,lapen,6,,2022,,,,
6383,"Jl. Brumbun-Kresek",142,2,1+800,1+900,,sedang,lapen,6,,2022,,,,
6403,"Jl. Dungus-Bodag",143,7,7+000,7+100,,sedang,lapen,6,,2022,,,,
6662,"Jl. Katregan-Kepel",147,8,7+700,7+800,,sedang,lapen,6,,2022,,,,
1030,"Jl. Dungus-Kare",016,10,9+600,9+700,,sedang,lapen,6,,2022,,,,
6741,"Jl. Kare-Plosorejo",148,5,4+600,4+700,,sedang,lapen,6,,2022,,,,
6789,"Jl. Plosorejo-Batas Ponorogo",149,8,8+000,8+100,,sedang,lapen,6,,2022,,,,
6541,"Jl. Bodag-Kepel",145,7,6+500,6+600,,sedang,lapen,6,,2022,,,,
6609,"Jl. Kepel-Kare",146,3,5+100,5+200,,sedang,lapen,6,,2022,,,,
6475,"Jl. Kresek-Bodag",144,7,6+400,6+500,,sedang,lapen,6,,2022,,,,
4649,"Jl. Segulung-Mruwak",091,12,11+700,11+800,,sedang,lapen,6,,2022,,,,
2,"Jl. Klitik-Dimong",001,8,0+000,0+100,,sedang,lapen,6,,2022,,,,
3,"Jl. Klitik-Dimong",001,8,0+100,0+200,,sedang,lapen,6,,2022,,,,
4,"Jl. Klitik-Dimong",001,8,0+200,0+300,,sedang,lapen,6,,2022,,,,
5,"Jl. Klitik-Dimong",001,8,0+300,0+400,,sedang,lapen,6,,2022,,,,
6,"Jl. Klitik-Dimong",001,8,0+400,0+500,,sedang,lapen,6,,2022,,,,
