No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
65,Jalan Mawar,,368,0+300,0+368,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
67,Jalan Mayang Kembar,,141,0+100,0+140,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
69,Jalan Mayang Kembar I,,205,0+000,0+100,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
70,Jalan Mayang Kembar I,,205,0+200,0+205,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
72,Jalan Mayang Kembar II,,208,0+000,0+100,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
73,Jalan Mayang Kembar II,,208,0+200,0+208,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
75,Jalan Mayang Kembar III,,211,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
76,Jalan Mayang Kembar III,,211,0+200,0+210,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
78,Jalan Mayang Kembar IV,,202,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
79,Jalan Mayang Kembar IV,,202,0+200,0+202,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
81,Jalan Melati,,344,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
82,Jalan Melati,,344,0+100,0+200,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
83,Jalan Melati,,344,0+300,0+343,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
85,Jalan Menur,,454,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
86,Jalan Menur,,454,0+100,0+200,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
87,Jalan Menur,,454,0+200,0+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
88,Jalan Menur,,454,0+400,0+453,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
90,Jalan Menur Gg. 1,,262,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
91,Jalan Menur Gg. 1,,262,0+200,0+262,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
93,Jalan Menur Gg. 2,,136,0+100,0+136,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
97,Jalan Mojopurno - Pilangrejo,,707,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
98,Jalan Mojopurno - Pilangrejo,,707,0+100,0+200,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
99,Jalan Mojopurno - Pilangrejo,,707,0+200,0+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
100,Jalan Mojopurno - Pilangrejo,,707,0+300,0+400,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
101,Jalan Mojopurno - Pilangrejo,,707,0+400,0+500,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
102,Jalan Mojopurno - Pilangrejo,,707,0+500,0+600,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
103,Jalan Mojopurno - Pilangrejo,,707,0+700,0+706,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
105,Jalan Munggut Asri,,250,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
106,Jalan Munggut Asri,,250,0+200,0+249,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
108,Jalan Nusa Indah,,587,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
109,Jalan Nusa Indah,,587,0+100,0+200,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
110,Jalan Nusa Indah,,587,0+200,0+300,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
111,Jalan Nusa Indah,,587,0+300,0+400,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
112,Jalan Nusa Indah,,587,0+500,0+587,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
114,Jalan Pacing,,2755,0+000,0+100,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
115,Jalan Pacing,,2755,0+100,0+200,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
116,Jalan Pacing,,2755,0+200,0+300,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
117,Jalan Pacing,,2755,0+300,0+400,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
118,Jalan Pacing,,2755,0+400,0+500,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
119,Jalan Pacing,,2755,0+500,0+600,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
120,Jalan Pacing,,2755,0+600,0+700,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
121,Jalan Pacing,,2755,0+700,0+800,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
