STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
0+100;0+200;RR;3.5;BALEREJO I;444;beton;1215
0+200;0+300;RR;3.5;BALEREJO I;444;beton;1216
0+300;0+400;RB;3.5;BALEREJO I;444;beton;1217
0+400;0+444;RB;3.5;BALEREJO I;444;beton;1218
0+000;0+100;sedang;3.5;BALEREJO II;444;beton;1219
0+100;0+200;sedang;3.5;BALEREJO II;444;beton;1220
0+200;0+300;sedang;3.5;BALEREJO II;444;beton;1221
0+300;0+400;sedang;3.5;BALEREJO II;444;beton;1222
0+400;0+444;sedang;3.5;BALEREJO II;444;beton;1223
0+000;0+100;sedang;3;BANARAN;1313;beton;1143
0+100;0+200;sedang;3;BANARAN;1313;beton;1144
0+200;0+300;sedang;3;BANARAN;1313;beton;1145
0+300;0+400;sedang;3;BANARAN;1313;beton;1146
0+400;0+500;sedang;3;BANARAN;1313;beton;1147
0+500;0+600;sedang;3;BANARAN;1313;beton;1148
0+600;0+700;sedang;3;BANARAN;1313;beton;1149
0+700;0+800;sedang;3;BANARAN;1313;beton;1150
0+800;0+900;RB;3;BANARAN;1313;makadam;1151
0+900;1+000;RB;3;BANARAN;1313;makadam;1152
1+000;1+100;RB;3;BANARAN;1313;makadam;1153
1+100;1+200;RB;3;BANARAN;1313;makadam;1154
1+200;1+300;RB;3;BANARAN;1313;makadam;1155
1+300;1+312;RB;3;BANARAN;1313;makadam;1156
0+000;0+100;RB;3;BANCONG;1137;aspal;956
0+100;0+200;RB;3;BANCONG;1137;aspal;957
0+200;0+300;RB;3;BANCONG;1137;aspal;958
0+300;0+400;RB;3;BANCONG;1137;makadam;959
0+400;0+500;RB;3;BANCONG;1137;aspal;960
0+500;0+600;RB;3;BANCONG;1137;makadam;961
0+600;0+700;RB;3;BANCONG;1137;makadam;962
0+700;0+800;RB;3;BANCONG;1137;aspal;963
0+800;0+900;RR;3;BANCONG;1137;aspal;964
0+900;1+000;RR;3;BANCONG;1137;aspal;965
1+000;1+100;RR;3;BANCONG;1137;aspal;966
1+100;1+137;RR;3;BANCONG;1137;aspal;967
0+000;0+100;RR;3;BANDUNGAN;727;aspal;548
0+100;0+200;RR;3;BANDUNGAN;727;aspal;549
0+200;0+300;RR;3;BANDUNGAN;727;aspal;550
0+300;0+400;RR;2.5;BANDUNGAN;727;aspal;551
0+400;0+500;RR;2.5;BANDUNGAN;727;aspal;552
0+500;0+600;RR;2.5;BANDUNGAN;727;aspal;553
0+600;0+700;RR;3;BANDUNGAN;727;aspal;554
0+700;0+726;RR;3;BANDUNGAN;727;aspal;555
0+000;0+100;RR;3;BANJARSARI KULON;3026;aspal;214
0+100;0+200;RR;3;BANJARSARI KULON;3026;aspal;215
0+200;0+300;RR;3;BANJARSARI KULON;3026;aspal;216
0+300;0+400;RR;3;BANJARSARI KULON;3026;aspal;217
0+400;0+500;RR;3;BANJARSARI KULON;3026;aspal;218
0+500;0+600;RR;3;BANJARSARI KULON;3026;aspal;219
0+600;0+700;RR;3;BANJARSARI KULON;3026;aspal;220
0+700;0+800;RR;3;BANJARSARI KULON;3026;aspal;221
0+800;0+900;RR;3;BANJARSARI KULON;3026;aspal;222
0+900;1+000;RR;3;BANJARSARI KULON;3026;aspal;223
1+000;1+100;RR;3;BANJARSARI KULON;3026;aspal;224
1+100;1+200;RR;3;BANJARSARI KULON;3026;aspal;225
1+200;1+300;RR;3;BANJARSARI KULON;3026;aspal;226
1+300;1+400;RR;3;BANJARSARI KULON;3026;aspal;227
1+400;1+500;RR;3;BANJARSARI KULON;3026;aspal;228
1+500;1+600;RR;3;BANJARSARI KULON;3026;aspal;229
