STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
0+700;0+800;RR;4;KALIABU;1165;beton;866
0+800;0+900;RR;4;KALIABU;1165;beton;867
0+900;1+000;RB;4;KALIABU;1165;tanah;868
1+000;1+100;RB;4;KALIABU;1165;tanah;869
1+100;1+165;RB;4;KALIABU;1165;tanah;870
0+000;0+100;baik;3.5;KALIGUNTING;2057;aspal;871
0+100;0+200;sedang;3.5;KALIGUNTING;2057;aspal;872
0+200;0+300;RR;3.5;KALIGUNTING;2057;aspal;873
0+300;0+400;RR;3.5;KALIGUNTING;2057;aspal;874
0+400;0+500;RR;3.5;KALIGUNTING;2057;aspal;875
0+500;0+600;RR;3.5;KALIGUNTING;2057;aspal;876
0+600;0+700;RR;3.5;KALIGUNTING;2057;aspal;877
0+700;0+800;RR;3;KALIGUNTING;2057;aspal;878
0+800;0+900;RR;3;KALIGUNTING;2057;aspal;879
0+900;1+000;RR;3;KALIGUNTING;2057;aspal;880
1+000;1+100;RR;3;KALIGUNTING;2057;aspal;881
1+100;1+200;RR;3;KALIGUNTING;2057;aspal;882
1+200;1+300;RR;3;KALIGUNTING;2057;aspal;883
1+300;1+400;RR;3;KALIGUNTING;2057;aspal;884
1+400;1+500;RR;3;KALIGUNTING;2057;aspal;885
1+500;1+600;RR;3;KALIGUNTING;2057;aspal;886
1+600;1+700;RR;3;KALIGUNTING;2057;aspal;887
1+700;1+800;RR;3;KALIGUNTING;2057;aspal;888
1+800;1+900;RR;3;KALIGUNTING;2057;aspal;889
1+900;2+000;RR;3;KALIGUNTING;2057;aspal;891
2+000;2+056;RR;3;KALIGUNTING;2057;aspal;890
0+000;0+100;RR;2.8;KARANGREJO;672;beton;410
0+100;0+200;RR;2.8;KARANGREJO;672;beton;411
0+200;0+300;RR;2.8;KARANGREJO;672;beton;412
0+300;0+400;RR;2.8;KARANGREJO;672;beton;413
0+400;0+500;RR;2.8;KARANGREJO;672;beton;414
0+500;0+600;RR;2.8;KARANGREJO;672;beton;415
0+600;0+671;RR;2.8;KARANGREJO;672;beton;416
0+000;0+100;sedang;2.6;KEBONAGUNG;844;beton;892
0+000;0+100;sedang;2.6;KEBONAGUNG;1174;beton;1224
0+100;0+200;sedang;2.6;KEBONAGUNG;844;beton;893
0+100;0+200;sedang;2.6;KEBONAGUNG;1174;beton;1225
0+200;0+300;sedang;2.6;KEBONAGUNG;844;beton;894
0+200;0+300;RR;2.5;KEBONAGUNG;1174;aspal;1226
0+300;0+400;sedang;2.5;KEBONAGUNG;844;aspal;895
0+300;0+400;sedang;2.5;KEBONAGUNG;1174;aspal;1227
0+400;0+500;sedang;2.5;KEBONAGUNG;844;aspal;896
0+400;0+500;sedang;2.6;KEBONAGUNG;1174;beton;1228
0+500;0+600;RR;2.5;KEBONAGUNG;844;aspal;897
0+500;0+600;sedang;2.5;KEBONAGUNG;1174;aspal;1229
0+600;0+700;sedang;2.5;KEBONAGUNG;844;aspal;898
0+600;0+700;sedang;2.5;KEBONAGUNG;1174;aspal;1230
0+700;0+800;sedang;2.5;KEBONAGUNG;844;aspal;899
0+700;0+800;sedang;2.5;KEBONAGUNG;1174;aspal;1231
0+800;0+844;sedang;2.5;KEBONAGUNG;844;aspal;900
0+800;0+900;sedang;2.5;KEBONAGUNG;1174;aspal;1232
0+900;1+000;sedang;2.5;KEBONAGUNG;1174;aspal;1233
1+000;1+100;sedang;2.5;KEBONAGUNG;1174;aspal;1234
1+100;1+173;sedang;2.5;KEBONAGUNG;1174;aspal;1235
0+000;0+100;baik;4;KEDONDONG;1514;aspal;843
0+100;0+200;baik;4;KEDONDONG;1514;aspal;844
0+200;0+300;baik;4;KEDONDONG;1514;aspal;845
0+300;0+400;RR;4;KEDONDONG;1514;aspal;846
0+400;0+500;RR;4;KEDONDONG;1514;aspal;847
0+500;0+600;RR;4;KEDONDONG;1514;aspal;848
0+600;0+700;RR;4;KEDONDONG;1514;aspal;849
0+700;0+800;RR;4;KEDONDONG;1514;aspal;850
0+800;0+900;RR;4;KEDONDONG;1514;aspal;851
0+900;1+000;RR;4;KEDONDONG;1514;aspal;852
1+000;1+100;RR;4;KEDONDONG;1514;beton;853
1+100;1+200;baik;4;KEDONDONG;1514;beton;854
1+200;1+300;baik;3;KEDONDONG;1514;beton;855
1+300;1+400;RR;3;KEDONDONG;1514;beton;856
1+400;1+500;baik;3;KEDONDONG;1514;aspal;857
1+500;1+513;baik;3;KEDONDONG;1514;aspal;858
0+000;0+100;RB;2.8;KEDUNGJATI;2194;beton;1097
0+100;0+200;RB;2.8;KEDUNGJATI;2194;beton;1098
0+200;0+300;RB;2.8;KEDUNGJATI;2194;beton;1099
0+300;0+400;RB;2.8;KEDUNGJATI;2194;makadam;1100
0+400;0+500;RB;2.8;KEDUNGJATI;2194;makadam;1101
0+500;0+600;sedang;2.8;KEDUNGJATI;2194;beton;1102
0+600;0+700;sedang;3;KEDUNGJATI;2194;beton;1103
0+700;0+800;sedang;3;KEDUNGJATI;2194;beton;1104
0+800;0+900;sedang;3;KEDUNGJATI;2194;beton;1105
0+900;1+000;RB;3;KEDUNGJATI;2194;makadam;1106
1+000;1+100;RB;3;KEDUNGJATI;2194;makadam;1107
1+100;1+200;RB;3;KEDUNGJATI;2194;makadam;1108
1+200;1+300;RB;3;KEDUNGJATI;2194;makadam;1109
1+300;1+400;RB;3;KEDUNGJATI;2194;makadam;1110
1+400;1+500;RB;3;KEDUNGJATI;2194;makadam;1111
1+500;1+600;RB;3;KEDUNGJATI;2194;makadam;1112
1+600;1+700;RB;3;KEDUNGJATI;2194;makadam;1113
1+700;1+800;RB;3;KEDUNGJATI;2194;makadam;1114
1+800;1+900;RB;3;KEDUNGJATI;2194;makadam;1115
1+900;2+000;RB;3;KEDUNGJATI;2194;makadam;1116
2+000;2+100;RB;3;KEDUNGJATI;2194;makadam;1117
2+100;2+193;RB;3;KEDUNGJATI;2194;makadam;1118
0+000;0+100;RR;3;KEPET;1355;aspal;322
0+100;0+200;RR;3;KEPET;1355;aspal;323
0+200;0+300;RR;3;KEPET;1355;aspal;324
0+300;0+400;RR;3;KEPET;1355;aspal;325
0+400;0+500;RR;3;KEPET;1355;aspal;326
0+500;0+600;RR;3;KEPET;1355;aspal;327
0+600;0+700;RR;3;KEPET;1355;aspal;328
0+700;0+800;RR;3;KEPET;1355;aspal;329
0+800;0+900;RR;3;KEPET;1355;aspal;330
0+900;1+000;RR;3;KEPET;1355;aspal;331
1+000;1+100;RR;3;KEPET;1355;aspal;332
1+100;1+200;RB;3;KEPET;1355;beton;333
1+200;1+300;RB;3;KEPET;1355;beton;334
1+300;1+355;RB;3;KEPET;1355;beton;335
0+000;0+100;RB;2.5;KERTOSARI;600;beton;107
0+100;0+200;RB;2.5;KERTOSARI;600;beton;108
0+200;0+300;RB;2.5;KERTOSARI;600;beton;109
0+300;0+400;RB;2.5;KERTOSARI;600;beton;110
0+400;0+500;RB;2.5;KERTOSARI;600;beton;111
0+500;0+599;RB;2.5;KERTOSARI;600;beton;112
0+000;0+100;sedang;3.3;KETANDAN;3123;aspal;256
0+100;0+200;sedang;3.3;KETANDAN;3123;aspal;257
0+200;0+300;sedang;3.3;KETANDAN;3123;aspal;258
0+300;0+400;sedang;3.3;KETANDAN;3123;aspal;259
0+400;0+500;sedang;3.3;KETANDAN;3123;aspal;260
0+500;0+600;sedang;3.3;KETANDAN;3123;aspal;261
0+600;0+700;sedang;3.3;KETANDAN;3123;aspal;262
0+700;0+800;sedang;3.3;KETANDAN;3123;aspal;263
0+800;0+900;sedang;3.3;KETANDAN;3123;aspal;264
0+900;1+000;sedang;3.3;KETANDAN;3123;aspal;265
1+000;1+100;sedang;3.3;KETANDAN;3123;aspal;266
1+100;1+200;sedang;3.3;KETANDAN;3123;aspal;267
1+200;1+300;sedang;3.3;KETANDAN;3123;aspal;268
1+300;1+400;sedang;3.3;KETANDAN;3123;aspal;269
1+400;1+500;sedang;3.3;KETANDAN;3123;aspal;270
1+500;1+600;sedang;3.3;KETANDAN;3123;aspal;271
1+600;1+700;sedang;3.3;KETANDAN;3123;aspal;272
1+700;1+800;sedang;3.3;KETANDAN;3123;aspal;273
1+800;1+900;sedang;3.3;KETANDAN;3123;aspal;274
1+900;2+000;sedang;3.3;KETANDAN;3123;aspal;275
2+000;2+100;sedang;3.3;KETANDAN;3123;aspal;276
2+100;2+200;sedang;3.3;KETANDAN;3123;aspal;277
2+200;2+300;sedang;3.3;KETANDAN;3123;aspal;278
2+300;2+400;sedang;3.3;KETANDAN;3123;aspal;279
2+400;2+500;sedang;3.3;KETANDAN;3123;aspal;280
2+500;2+600;sedang;3.3;KETANDAN;3123;aspal;281
2+600;2+700;RR;3.3;KETANDAN;3123;aspal;282
2+700;2+800;RR;3.3;KETANDAN;3123;aspal;283
2+800;2+900;RR;3.3;KETANDAN;3123;beton;284
2+900;3+000;RR;3.3;KETANDAN;3123;beton;285
3+000;3+100;RR;3.3;KETANDAN;3123;beton;286
3+100;3+122;RR;3.3;KETANDAN;3123;beton;287
0+000;0+100;baik;4;KINCANG WETAN;1500;aspal;30
0+100;0+200;sedang;4;KINCANG WETAN;1500;aspal;31
0+200;0+300;sedang;4;KINCANG WETAN;1500;aspal;32
0+300;0+400;baik;4;KINCANG WETAN;1500;aspal;33
0+400;0+500;baik;4;KINCANG WETAN;1500;aspal;34
0+500;0+600;baik;4;KINCANG WETAN;1500;aspal;35
0+600;0+700;baik;4;KINCANG WETAN;1500;aspal;36
0+700;0+800;baik;4;KINCANG WETAN;1500;aspal;37
0+800;0+900;sedang;4;KINCANG WETAN;1500;aspal;38
0+900;1+000;sedang;4;KINCANG WETAN;1500;aspal;39
1+000;1+100;baik;3.8;KINCANG WETAN;1500;aspal;40
1+100;1+200;baik;3.8;KINCANG WETAN;1500;aspal;41
1+200;1+300;baik;3.8;KINCANG WETAN;1500;aspal;42
1+300;1+400;baik;3.8;KINCANG WETAN;1500;aspal;43
1+400;1+499;baik;3.8;KINCANG WETAN;1500;aspal;44
0+000;0+100;RB;2;KLANGON;1705;tanah;592
0+100;0+200;RB;2;KLANGON;1705;tanah;593
0+200;0+300;RB;2;KLANGON;1705;tanah;594
0+300;0+400;RB;2;KLANGON;1705;tanah;595
0+400;0+500;RB;2;KLANGON;1705;tanah;596
0+500;0+600;RB;2;KLANGON;1705;tanah;597
0+600;0+700;RB;2;KLANGON;1705;tanah;598
0+700;0+800;RB;2;KLANGON;1705;tanah;599
0+800;0+900;RB;3;KLANGON;1705;beton;600
0+900;1+000;RR;4;KLANGON;1705;beton;601
1+000;1+100;RR;4;KLANGON;1705;beton;602
1+100;1+200;RR;4;KLANGON;1705;beton;603
1+200;1+300;RR;4;KLANGON;1705;beton;604
1+300;1+400;RR;4;KLANGON;1705;beton;605
1+400;1+500;RR;4;KLANGON;1705;beton;606
1+500;1+600;RR;4;KLANGON;1705;beton;607
1+600;1+700;RR;4;KLANGON;1705;beton;608
1+700;1+705;RR;4;KLANGON;1705;beton;609
0+000;0+100;baik;2.5;KLOROGAN;440;aspal;13
0+100;0+200;baik;2.5;KLOROGAN;440;aspal;14
0+200;0+300;baik;3;KLOROGAN;440;aspal;15
0+300;0+400;baik;3;KLOROGAN;440;aspal;12
0+400;0+440;baik;3;KLOROGAN;440;aspal;16
0+000;0+100;baik;3.5;KLUMPIT;506;aspal;1444
0+100;0+200;RR;3.5;KLUMPIT;506;aspal;1445
0+200;0+300;sedang;3.5;KLUMPIT;506;aspal;1446
0+300;0+400;baik;3.5;KLUMPIT;506;aspal;1447
0+400;0+500;sedang;3.5;KLUMPIT;506;aspal;1448
0+500;0+505;baik;3.5;KLUMPIT;506;beton;1449
0+000;0+100;baik;3;KLUMUTAN;5340;aspal;610
0+100;0+200;baik;3;KLUMUTAN;5340;aspal;611
0+200;0+300;baik;3;KLUMUTAN;5340;aspal;612
0+300;0+400;RB;3;KLUMUTAN;5340;tanah;613
0+400;0+500;RB;3;KLUMUTAN;5340;tanah;614
0+500;0+600;RB;3;KLUMUTAN;5340;tanah;615
0+600;0+700;RB;3;KLUMUTAN;5340;tanah;616
0+700;0+800;RB;3;KLUMUTAN;5340;tanah;617
0+800;0+900;RB;3;KLUMUTAN;5340;tanah;618
0+900;1+000;RB;3;KLUMUTAN;5340;tanah;619
1+000;1+100;RB;3;KLUMUTAN;5340;tanah;620
1+100;1+200;RB;3;KLUMUTAN;5340;aspal;621
1+200;1+300;RR;3;KLUMUTAN;5340;aspal;622
1+300;1+400;RR;3;KLUMUTAN;5340;aspal;623
1+400;1+500;RR;3;KLUMUTAN;5340;aspal;624
1+500;1+600;RR;3;KLUMUTAN;5340;aspal;625
1+600;1+700;RR;3;KLUMUTAN;5340;aspal;626
1+700;1+800;RR;3;KLUMUTAN;5340;aspal;627
1+800;1+900;RR;3;KLUMUTAN;5340;aspal;628
1+900;2+000;RR;3;KLUMUTAN;5340;aspal;629
2+000;2+100;RR;3;KLUMUTAN;5340;aspal;630
2+100;2+200;RR;3;KLUMUTAN;5340;aspal;631
2+200;2+300;RR;3;KLUMUTAN;5340;aspal;632
2+300;2+400;RR;3;KLUMUTAN;5340;aspal;633
2+400;2+500;RR;3;KLUMUTAN;5340;beton;634
2+500;2+600;RR;3;KLUMUTAN;5340;beton;635
2+600;2+700;RR;3;KLUMUTAN;5340;aspal;636
2+700;2+800;RR;3;KLUMUTAN;5340;aspal;637
2+800;2+900;RB;3;KLUMUTAN;5340;aspal;638
2+900;3+000;RB;3;KLUMUTAN;5340;makadam;639
3+000;3+100;RB;3;KLUMUTAN;5340;makadam;640
3+100;3+200;RB;3;KLUMUTAN;5340;makadam;641
3+200;3+300;RB;3;KLUMUTAN;5340;makadam;642
3+300;3+400;RB;3;KLUMUTAN;5340;makadam;643
3+400;3+500;RB;3;KLUMUTAN;5340;makadam;644
3+500;3+600;RR;3;KLUMUTAN;5340;beton;645
3+600;3+700;RR;3;KLUMUTAN;5340;beton;646
3+700;3+800;RR;3;KLUMUTAN;5340;beton;647
3+800;3+900;RR;3;KLUMUTAN;5340;beton;648
3+900;4+000;RB;3;KLUMUTAN;5340;makadam;649
4+000;4+100;RB;3;KLUMUTAN;5340;makadam;650
4+100;4+200;RB;3;KLUMUTAN;5340;makadam;651
4+200;4+300;RB;3;KLUMUTAN;5340;makadam;652
4+300;4+400;RB;3;KLUMUTAN;5340;makadam;653
4+400;4+500;RB;3;KLUMUTAN;5340;makadam;654
4+500;4+600;RB;3;KLUMUTAN;5340;makadam;655
4+600;4+700;RB;3;KLUMUTAN;5340;makadam;656
4+700;4+800;RB;3;KLUMUTAN;5340;makadam;657
4+800;4+900;RB;3;KLUMUTAN;5340;makadam;658
4+900;5+000;RB;3;KLUMUTAN;5340;makadam;659
5+000;5+100;RB;3;KLUMUTAN;5340;makadam;660
5+100;5+200;RB;3;KLUMUTAN;5340;makadam;661
5+200;5+300;RB;3;KLUMUTAN;5340;makadam;662
5+300;5+340;RB;3;KLUMUTAN;5340;makadam;663
0+000;0+100;sedang;3;KRADINAN;536;aspal;137
0+100;0+200;sedang;3;KRADINAN;536;aspal;138
0+200;0+300;sedang;2.9;KRADINAN;536;aspal;139
0+300;0+400;sedang;2.9;KRADINAN;536;aspal;140
0+400;0+500;sedang;2.9;KRADINAN;536;aspal;141
0+500;0+535;sedang;2.9;KRADINAN;536;aspal;142
0+000;0+100;sedang;4;KRANGGAN;1375;aspal;113
0+100;0+200;sedang;4;KRANGGAN;1375;aspal;114
0+200;0+300;sedang;4;KRANGGAN;1375;aspal;115
0+300;0+400;sedang;4;KRANGGAN;1375;aspal;116
0+400;0+500;sedang;4;KRANGGAN;1375;aspal;117
0+500;0+600;sedang;4;KRANGGAN;1375;aspal;118
0+600;0+700;sedang;4;KRANGGAN;1375;aspal;119
0+700;0+800;sedang;4;KRANGGAN;1375;aspal;120
0+800;0+900;RR;4;KRANGGAN;1375;beton;121
0+900;1+000;RR;4;KRANGGAN;1375;beton;122
1+000;1+100;RR;4;KRANGGAN;1375;beton;123
1+100;1+200;RR;4;KRANGGAN;1375;beton;124
1+200;1+300;RR;4;KRANGGAN;1375;aspal;125
1+300;1+375;RR;4;KRANGGAN;1375;aspal;126
0+000;0+100;RB;3.5;KUWU I;1486;makadam;1236
0+100;0+200;RB;3.5;KUWU I;1486;makadam;1237
0+200;0+300;RB;3.5;KUWU I;1486;makadam;1238
0+300;0+400;RB;3.5;KUWU I;1486;makadam;1239
0+400;0+500;RB;3.5;KUWU I;1486;makadam;1240
0+500;0+600;RB;3.5;KUWU I;1486;makadam;1241
0+600;0+700;RB;3.5;KUWU I;1486;makadam;1242
0+700;0+800;RB;3.5;KUWU I;1486;makadam;1243
0+800;0+900;RB;3.5;KUWU I;1486;makadam;1244
0+900;1+000;RB;3.5;KUWU I;1486;makadam;1245
1+000;1+100;RB;3.5;KUWU I;1486;makadam;1246
1+100;1+200;RB;3.5;KUWU I;1486;makadam;1247
1+200;1+300;RB;3.5;KUWU I;1486;makadam;1248
1+300;1+400;RB;3.5;KUWU I;1486;makadam;1249
1+400;1+486;RB;3.5;KUWU I;1486;makadam;1250
0+000;0+100;RB;3;KUWU II;1195;beton;1251
0+100;0+200;RB;3;KUWU II;1195;beton;1252
0+200;0+300;RB;3;KUWU II;1195;beton;1253
0+300;0+400;RB;3;KUWU II;1195;beton;1254
0+400;0+500;RB;3;KUWU II;1195;beton;1255
0+500;0+600;RB;3;KUWU II;1195;beton;1256
0+600;0+700;RB;3;KUWU II;1195;beton;1257
0+700;0+800;RB;3;KUWU II;1195;beton;1258
0+800;0+900;RB;3;KUWU II;1195;makadam;1259
0+900;1+000;RB;3;KUWU II;1195;makadam;1260
1+000;1+100;RB;3;KUWU II;1195;makadam;1261
1+100;1+195;RB;3;KUWU II;1195;makadam;1262
0+000;0+100;baik;3;KWANGSEN;1178;aspal;45
0+100;0+200;sedang;3;KWANGSEN;1178;aspal;46
0+200;0+300;sedang;3;KWANGSEN;1178;aspal;47
0+300;0+400;sedang;3;KWANGSEN;1178;aspal;48
0+400;0+500;baik;3;KWANGSEN;1178;aspal;49
0+500;0+600;baik;3;KWANGSEN;1178;aspal;50
0+600;0+700;sedang;3;KWANGSEN;1178;aspal;51
0+700;0+800;sedang;3;KWANGSEN;1178;aspal;52
0+800;0+900;baik;3;KWANGSEN;1178;aspal;53
0+900;1+000;baik;3;KWANGSEN;1178;aspal;54
1+000;1+100;baik;3;KWANGSEN;1178;aspal;55
1+100;1+178;baik;3;KWANGSEN;1178;aspal;56
0+000;0+100;sedang;3.3;LEMBAH;951;aspal;127
0+100;0+200;sedang;3.3;LEMBAH;951;aspal;128
0+200;0+300;sedang;3;LEMBAH;951;aspal;129
0+300;0+400;sedang;3;LEMBAH;951;aspal;130
0+400;0+500;baik;3;LEMBAH;951;aspal;131
0+500;0+600;baik;3;LEMBAH;951;aspal;132
0+600;0+700;baik;3.1;LEMBAH;951;aspal;133
0+700;0+800;baik;3;LEMBAH;951;aspal;134
0+800;0+900;baik;3;LEMBAH;951;aspal;135
0+900;0+951;baik;3.1;LEMBAH;951;aspal;136
0+000;0+100;RB;4;LUWORO;1755;tanah;756
0+100;0+200;RB;4;LUWORO;1755;tanah;757
0+200;0+300;baik;4;LUWORO;1755;beton;758
0+300;0+400;baik;4;LUWORO;1755;beton;759
0+400;0+500;RB;4;LUWORO;1755;beton;760
0+500;0+600;RB;4;LUWORO;1755;aspal;761
0+600;0+700;RR;4;LUWORO;1755;aspal;762
0+700;0+800;RR;3.7;LUWORO;1755;aspal;763
0+800;0+900;RR;3.7;LUWORO;1755;aspal;764
0+900;1+000;RR;3.7;LUWORO;1755;aspal;765
1+000;1+100;RB;3.7;LUWORO;1755;aspal;766
1+100;1+200;RR;3.7;LUWORO;1755;aspal;767
1+200;1+300;RB;3.7;LUWORO;1755;aspal;768
1+300;1+400;RB;3.7;LUWORO;1755;aspal;769
1+400;1+500;RB;3.7;LUWORO;1755;aspal;770
1+500;1+600;RB;3.7;LUWORO;1755;aspal;771
1+600;1+700;RB;3.7;LUWORO;1755;aspal;772
1+700;1+755;RB;3.7;LUWORO;1755;aspal;773
0+000;0+100;RB;2.8;MEJAYAN;1666;makadam;901
0+100;0+200;RB;2.8;MEJAYAN;1666;makadam;902
0+200;0+300;RB;2.8;MEJAYAN;1666;makadam;903
0+300;0+400;RB;2.8;MEJAYAN;1666;makadam;904
0+400;0+500;RB;2.8;MEJAYAN;1666;makadam;905
0+500;0+600;RB;2.8;MEJAYAN;1666;tanah;906
0+600;0+700;RB;2.8;MEJAYAN;1666;tanah;907
0+700;0+800;RB;2.8;MEJAYAN;1666;tanah;908
0+800;0+900;RB;2.8;MEJAYAN;1666;tanah;909
0+900;1+000;RB;2.8;MEJAYAN;1666;tanah;910
1+000;1+100;RB;2.8;MEJAYAN;1666;tanah;911
1+100;1+200;RB;2.8;MEJAYAN;1666;tanah;912
1+200;1+300;RB;2.8;MEJAYAN;1666;tanah;913
1+300;1+400;RB;2.8;MEJAYAN;1666;tanah;914
1+400;1+500;RB;2.8;MEJAYAN;1666;tanah;915
1+500;1+600;RB;2.8;MEJAYAN;1666;tanah;916
1+600;1+666;RB;2.8;MEJAYAN;1666;tanah;917
0+000;0+100;baik;2.9;MENDAK;1652;aspal;363
0+100;0+200;baik;2.9;MENDAK;1652;aspal;364
0+200;0+300;sedang;2.9;MENDAK;1652;aspal;365
0+300;0+400;baik;2.9;MENDAK;1652;aspal;366
0+400;0+500;baik;2.9;MENDAK;1652;aspal;367
0+500;0+600;baik;2.9;MENDAK;1652;aspal;368
0+600;0+700;baik;2.9;MENDAK;1652;aspal;369
0+700;0+800;baik;2.9;MENDAK;1652;aspal;370
0+800;0+900;baik;2.9;MENDAK;1652;aspal;371
0+900;1+000;baik;2.9;MENDAK;1652;aspal;372
1+000;1+100;baik;2.9;MENDAK;1652;aspal;373
1+100;1+200;baik;2.9;MENDAK;1652;aspal;374
1+200;1+300;baik;2.9;MENDAK;1652;aspal;375
1+300;1+400;baik;2.9;MENDAK;1652;aspal;376
1+400;1+500;baik;2.9;MENDAK;1652;aspal;377
1+500;1+600;baik;2.9;MENDAK;1652;aspal;378
1+600;1+652;baik;2.9;MENDAK;1652;aspal;379
0+000;0+100;baik;3;MOJOPURNO;967;aspal;450
0+100;0+200;baik;3;MOJOPURNO;967;aspal;451
0+200;0+300;baik;3;MOJOPURNO;967;aspal;452
0+300;0+400;baik;3;MOJOPURNO;967;aspal;453
0+400;0+500;baik;3;MOJOPURNO;967;aspal;454
0+500;0+600;baik;3;MOJOPURNO;967;aspal;455
0+600;0+700;baik;3;MOJOPURNO;967;aspal;456
0+700;0+800;baik;3;MOJOPURNO;967;aspal;457
0+800;0+900;baik;3;MOJOPURNO;967;aspal;458
0+900;0+967;baik;3;MOJOPURNO;967;aspal;459
0+000;0+100;baik;2;MOJOREJO;823;aspal;466
0+100;0+200;RR;2;MOJOREJO;823;aspal;467
0+200;0+300;baik;2;MOJOREJO;823;aspal;468
0+300;0+400;baik;2;MOJOREJO;823;aspal;469
0+400;0+500;baik;2;MOJOREJO;823;aspal;470
0+500;0+600;baik;2;MOJOREJO;823;aspal;471
0+600;0+700;baik;2;MOJOREJO;823;aspal;472
0+700;0+800;baik;2;MOJOREJO;823;aspal;473
0+800;0+822;baik;2;MOJOREJO;823;aspal;474
0+000;0+100;baik;3;NGADIREJO;1352;aspal;1037
0+000;0+100;baik;3;NGADIREJO;1244;aspal;1051
0+100;0+200;baik;3;NGADIREJO;1352;aspal;1038
0+100;0+200;baik;3;NGADIREJO;1244;aspal;1052
0+200;0+300;baik;3;NGADIREJO;1352;aspal;1039
0+200;0+300;baik;3;NGADIREJO;1244;aspal;1053
0+300;0+400;baik;3;NGADIREJO;1352;aspal;1040
0+300;0+400;RB;3;NGADIREJO;1244;aspal;1054
0+400;0+500;RB;3;NGADIREJO;1352;beton;1041
0+400;0+500;RB;3;NGADIREJO;1244;beton;1055
0+500;0+600;RB;3;NGADIREJO;1352;beton;1042
0+500;0+600;RB;3;NGADIREJO;1244;beton;1056
0+600;0+700;RB;3;NGADIREJO;1352;beton;1043
0+600;0+700;RB;3;NGADIREJO;1244;beton;1057
0+700;0+800;sedang;3;NGADIREJO;1352;beton;1044
0+700;0+800;sedang;3;NGADIREJO;1244;beton;1058
0+800;0+900;RR;3;NGADIREJO;1352;beton;1045
0+800;0+900;RR;3;NGADIREJO;1244;beton;1059
0+900;1+000;sedang;3;NGADIREJO;1352;beton;1046
0+900;1+000;sedang;3;NGADIREJO;1244;beton;1060
1+000;1+100;sedang;3;NGADIREJO;1352;beton;1047
1+000;1+100;sedang;3;NGADIREJO;1244;beton;1061
1+100;1+200;sedang;3;NGADIREJO;1352;beton;1048
1+100;1+200;sedang;3;NGADIREJO;1244;beton;1062
1+200;1+300;sedang;3;NGADIREJO;1352;beton;1049
1+200;1+243;sedang;3;NGADIREJO;1244;beton;1063
1+300;1+351;sedang;3;NGADIREJO;1352;beton;1050
0+000;0+100;RR;3;NGLAMBANGAN I;609;aspal;417
0+100;0+200;RR;3;NGLAMBANGAN I;609;aspal;418
0+200;0+300;RR;3;NGLAMBANGAN I;609;aspal;419
0+300;0+400;RR;3;NGLAMBANGAN I;609;aspal;420
0+400;0+500;RR;3;NGLAMBANGAN I;609;aspal;421
0+500;0+600;RR;3;NGLAMBANGAN I;609;aspal;422
0+600;0+608;RR;3;NGLAMBANGAN I;609;aspal;423
0+000;0+100;sedang;3;NGLAMBANGAN II;986;aspal;424
0+100;0+200;sedang;3;NGLAMBANGAN II;986;aspal;425
0+200;0+300;RR;3;NGLAMBANGAN II;986;aspal;426
0+300;0+400;RR;3;NGLAMBANGAN II;986;aspal;427
0+400;0+500;RR;3;NGLAMBANGAN II;986;beton;428
0+500;0+600;RR;3;NGLAMBANGAN II;986;beton;429
0+600;0+700;RR;3;NGLAMBANGAN II;986;aspal;430
0+700;0+800;RR;3;NGLAMBANGAN II;986;aspal;431
0+800;0+900;RR;3;NGLAMBANGAN II;986;aspal;432
0+900;0+985;RR;3;NGLAMBANGAN II;986;aspal;433
0+000;0+100;RR;2.9;NGLAMBANGAN III;1543;beton;434
0+100;0+200;RR;2.9;NGLAMBANGAN III;1543;beton;435
0+200;0+300;RR;2.9;NGLAMBANGAN III;1543;beton;436
0+300;0+400;RR;2.9;NGLAMBANGAN III;1543;beton;437
0+400;0+500;RR;2.9;NGLAMBANGAN III;1543;aspal;438
0+500;0+600;RR;2.9;NGLAMBANGAN III;1543;aspal;439
0+600;0+700;RR;2.9;NGLAMBANGAN III;1543;aspal;440
0+700;0+800;RR;2.9;NGLAMBANGAN III;1543;aspal;441
0+800;0+900;RR;3;NGLAMBANGAN III;1543;aspal;442
0+900;1+000;RR;3;NGLAMBANGAN III;1543;aspal;443
1+000;1+100;RR;3;NGLAMBANGAN III;1543;aspal;444
1+100;1+200;RR;3;NGLAMBANGAN III;1543;aspal;445
1+200;1+300;RR;3;NGLAMBANGAN III;1543;beton;446
1+300;1+400;RR;3;NGLAMBANGAN III;1543;beton;447
1+400;1+500;RR;3;NGLAMBANGAN III;1543;beton;448
1+500;1+542;RB;3;NGLAMBANGAN III;1543;beton;449
0+000;0+100;RR;3;NGLANDUK;578;aspal;460
0+100;0+200;RR;3;NGLANDUK;578;aspal;461
0+200;0+300;sedang;3;NGLANDUK;578;beton;462
0+300;0+400;sedang;3;NGLANDUK;578;aspal;463
0+400;0+500;sedang;3;NGLANDUK;578;aspal;464
0+500;0+500;sedang;3;NGLANDUK;578;aspal;465
0+000;0+100;RB;3.5;PACINAN;1558;makadam;1263
0+100;0+200;RB;3.5;PACINAN;1558;makadam;1264
0+200;0+300;RB;3.5;PACINAN;1558;beton;1265
