FID,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR
273,Jl. Bajulan-Kenongorejo,2,5.35,2+700,2+800
274,Jl. Bajulan-Kenongorejo,2,5.35,2+800,2+900
275,Jl. Bajulan-Kenongorejo,2,5.35,2+900,3+000
276,Jl. Bajulan-Kenongorejo,2,5.35,3+000,3+100
277,Jl. Bajulan-Kenongorejo,2,5.35,3+100,3+200
278,Jl. Bajulan-Kenongorejo,2,5.35,3+200,3+300
279,Jl. Bajulan-Kenongorejo,2,5.35,3+300,3+400
280,Jl. Bajulan-Kenongorejo,2,5.35,3+400,3+500
281,Jl. Bajulan-Kenongorejo,2,5.35,3+500,3+600
282,Jl. Bajulan-Kenongorejo,2,5.35,3+600,3+700
283,Jl. Bajulan-Kenongorejo,2,5.35,3+700,3+800
284,Jl. Bajulan-Kenongorejo,2,5.35,3+800,3+900
285,Jl. Bajulan-Kenongorejo,2,5.35,3+900,4+000
286,Jl. Bajulan-Kenongorejo,2,5.35,4+000,4+100
287,Jl. Bajulan-Kenongorejo,2,5.35,4+100,4+200
288,Jl. Bajulan-Kenongorejo,2,5.35,4+200,4+300
289,Jl. Bajulan-Kenongorejo,2,5.35,4+300,4+400
290,Jl. Bajulan-Kenongorejo,2,5.35,4+400,4+500
291,Jl. Bajulan-Kenongorejo,2,5.35,4+500,4+600
292,Jl. Bajulan-Kenongorejo,2,5.35,4+600,4+700
293,Jl. Bajulan-Kenongorejo,2,5.35,4+700,4+800
294,Jl. Bajulan-Kenongorejo,2,5.35,4+800,4+900
295,Jl. Bajulan-Kenongorejo,2,5.35,4+900,5+000
296,Jl. Bajulan-Kenongorejo,2,5.35,5+000,5+100
297,Jl. Bajulan-Kenongorejo,2,5.35,5+100,5+200
298,Jl. Bajulan-Kenongorejo,2,5.35,5+300,5+346
66,Jl. Caruban-Morang,3,14.51,14+300,14+400
299,Jl. Caruban-Morang,3,14.51,0+000,0+100
300,Jl. Caruban-Morang,3,14.51,0+100,0+200
301,Jl. Caruban-Morang,3,14.51,0+200,0+300
302,Jl. Caruban-Morang,3,14.51,0+300,0+400
303,Jl. Caruban-Morang,3,14.51,0+400,0+500
304,Jl. Caruban-Morang,3,14.51,0+500,0+600
305,Jl. Caruban-Morang,3,14.51,0+600,0+700
306,Jl. Caruban-Morang,3,14.51,0+700,0+800
307,Jl. Caruban-Morang,3,14.51,0+800,0+900
308,Jl. Caruban-Morang,3,14.51,0+900,1+000
309,Jl. Caruban-Morang,3,14.51,1+000,1+100
310,Jl. Caruban-Morang,3,14.51,1+100,1+200
311,Jl. Caruban-Morang,3,14.51,1+200,1+300
312,Jl. Caruban-Morang,3,14.51,1+300,1+400
313,Jl. Caruban-Morang,3,14.51,1+400,1+500
314,Jl. Caruban-Morang,3,14.51,1+500,1+600
315,Jl. Caruban-Morang,3,14.51,1+600,1+700
316,Jl. Caruban-Morang,3,14.51,1+700,1+800
317,Jl. Caruban-Morang,3,14.51,1+800,1+900
318,Jl. Caruban-Morang,3,14.51,1+900,2+000
319,Jl. Caruban-Morang,3,14.51,2+000,2+100
320,Jl. Caruban-Morang,3,14.51,2+100,2+200
321,Jl. Caruban-Morang,3,14.51,2+200,2+300
322,Jl. Caruban-Morang,3,14.51,2+300,2+400
323,Jl. Caruban-Morang,3,14.51,2+400,2+500
324,Jl. Caruban-Morang,3,14.51,2+500,2+600
325,Jl. Caruban-Morang,3,14.51,2+600,2+700
326,Jl. Caruban-Morang,3,14.51,2+700,2+800
327,Jl. Caruban-Morang,3,14.51,2+800,2+900
328,Jl. Caruban-Morang,3,14.51,2+900,3+000
329,Jl. Caruban-Morang,3,14.51,3+000,3+100
330,Jl. Caruban-Morang,3,14.51,3+100,3+200
331,Jl. Caruban-Morang,3,14.51,3+200,3+300
332,Jl. Caruban-Morang,3,14.51,3+300,3+400
333,Jl. Caruban-Morang,3,14.51,3+400,3+500
334,Jl. Caruban-Morang,3,14.51,3+500,3+600
335,Jl. Caruban-Morang,3,14.51,3+600,3+700
336,Jl. Caruban-Morang,3,14.51,3+700,3+800
337,Jl. Caruban-Morang,3,14.51,3+800,3+900
338,Jl. Caruban-Morang,3,14.51,3+900,4+000
339,Jl. Caruban-Morang,3,14.51,4+000,4+100
340,Jl. Caruban-Morang,3,14.51,4+100,4+200
341,Jl. Caruban-Morang,3,14.51,4+200,4+300
342,Jl. Caruban-Morang,3,14.51,4+300,4+400
343,Jl. Caruban-Morang,3,14.51,4+400,4+500
344,Jl. Caruban-Morang,3,14.51,4+500,4+600
345,Jl. Caruban-Morang,3,14.51,4+600,4+700
346,Jl. Caruban-Morang,3,14.51,4+700,4+800
347,Jl. Caruban-Morang,3,14.51,4+800,4+900
348,Jl. Caruban-Morang,3,14.51,4+900,5+000
349,Jl. Caruban-Morang,3,14.51,5+000,5+100
350,Jl. Caruban-Morang,3,14.51,5+100,5+200
351,Jl. Caruban-Morang,3,14.51,5+200,5+300
352,Jl. Caruban-Morang,3,14.51,5+300,5+400
353,Jl. Caruban-Morang,3,14.51,5+400,5+500
354,Jl. Caruban-Morang,3,14.51,5+500,5+600
355,Jl. Caruban-Morang,3,14.51,5+600,5+700
356,Jl. Caruban-Morang,3,14.51,5+700,5+800
357,Jl. Caruban-Morang,3,14.51,5+800,5+900
358,Jl. Caruban-Morang,3,14.51,5+900,6+000
359,Jl. Caruban-Morang,3,14.51,6+000,6+100
360,Jl. Caruban-Morang,3,14.51,6+100,6+200
361,Jl. Caruban-Morang,3,14.51,6+200,6+300
362,Jl. Caruban-Morang,3,14.51,6+300,6+400
363,Jl. Caruban-Morang,3,14.51,6+400,6+500
364,Jl. Caruban-Morang,3,14.51,6+500,6+600
365,Jl. Caruban-Morang,3,14.51,6+600,6+700
366,Jl. Caruban-Morang,3,14.51,6+700,6+800
367,Jl. Caruban-Morang,3,14.51,6+800,6+900
368,Jl. Caruban-Morang,3,14.51,6+900,7+000
369,Jl. Caruban-Morang,3,14.51,7+000,7+100
370,Jl. Caruban-Morang,3,14.51,7+100,7+200
371,Jl. Caruban-Morang,3,14.51,7+200,7+300
372,Jl. Caruban-Morang,3,14.51,7+300,7+400
373,Jl. Caruban-Morang,3,14.51,7+400,7+500
374,Jl. Caruban-Morang,3,14.51,7+500,7+600
375,Jl. Caruban-Morang,3,14.51,7+600,7+700
376,Jl. Caruban-Morang,3,14.51,7+700,7+800
377,Jl. Caruban-Morang,3,14.51,7+800,7+900
378,Jl. Caruban-Morang,3,14.51,7+900,8+000
379,Jl. Caruban-Morang,3,14.51,8+000,8+100
380,Jl. Caruban-Morang,3,14.51,8+100,8+200
381,Jl. Caruban-Morang,3,14.51,8+200,8+300
382,Jl. Caruban-Morang,3,14.51,8+300,8+400
383,Jl. Caruban-Morang,3,14.51,8+400,8+500
384,Jl. Caruban-Morang,3,14.51,8+500,8+600
385,Jl. Caruban-Morang,3,14.51,8+600,8+700
386,Jl. Caruban-Morang,3,14.51,8+700,8+800
387,Jl. Caruban-Morang,3,14.51,8+800,8+900
388,Jl. Caruban-Morang,3,14.51,8+900,9+000
389,Jl. Caruban-Morang,3,14.51,9+000,9+100
390,Jl. Caruban-Morang,3,14.51,9+100,9+200
391,Jl. Caruban-Morang,3,14.51,9+200,9+300
392,Jl. Caruban-Morang,3,14.51,9+300,9+400
393,Jl. Caruban-Morang,3,14.51,9+400,9+500
394,Jl. Caruban-Morang,3,14.51,9+500,9+600
395,Jl. Caruban-Morang,3,14.51,9+600,9+700
396,Jl. Caruban-Morang,3,14.51,9+700,9+800
397,Jl. Caruban-Morang,3,14.51,9+800,9+900
398,Jl. Caruban-Morang,3,14.51,9+900,10+000
399,Jl. Caruban-Morang,3,14.51,10+000,10+100
400,Jl. Caruban-Morang,3,14.51,10+100,10+200
401,Jl. Caruban-Morang,3,14.51,10+200,10+300
402,Jl. Caruban-Morang,3,14.51,10+300,10+400
403,Jl. Caruban-Morang,3,14.51,10+400,10+500
404,Jl. Caruban-Morang,3,14.51,10+500,10+600
405,Jl. Caruban-Morang,3,14.51,10+600,10+700
406,Jl. Caruban-Morang,3,14.51,10+700,10+800
407,Jl. Caruban-Morang,3,14.51,10+800,10+900
408,Jl. Caruban-Morang,3,14.51,10+900,11+000
409,Jl. Caruban-Morang,3,14.51,11+000,11+100
410,Jl. Caruban-Morang,3,14.51,11+100,11+200
411,Jl. Caruban-Morang,3,14.51,11+200,11+300
412,Jl. Caruban-Morang,3,14.51,11+300,11+400
413,Jl. Caruban-Morang,3,14.51,11+400,11+500
414,Jl. Caruban-Morang,3,14.51,11+500,11+600
415,Jl. Caruban-Morang,3,14.51,11+600,11+700
416,Jl. Caruban-Morang,3,14.51,11+700,11+800
417,Jl. Caruban-Morang,3,14.51,11+800,11+900
418,Jl. Caruban-Morang,3,14.51,11+900,12+000
419,Jl. Caruban-Morang,3,14.51,12+000,12+100
420,Jl. Caruban-Morang,3,14.51,12+100,12+200
421,Jl. Caruban-Morang,3,14.51,12+200,12+300
422,Jl. Caruban-Morang,3,14.51,12+300,12+400
423,Jl. Caruban-Morang,3,14.51,12+400,12+500
424,Jl. Caruban-Morang,3,14.51,12+500,12+600
425,Jl. Caruban-Morang,3,14.51,12+600,12+700
426,Jl. Caruban-Morang,3,14.51,12+700,12+800
427,Jl. Caruban-Morang,3,14.51,12+800,12+900
428,Jl. Caruban-Morang,3,14.51,12+900,13+000
429,Jl. Caruban-Morang,3,14.51,13+000,13+100
430,Jl. Caruban-Morang,3,14.51,13+100,13+200
431,Jl. Caruban-Morang,3,14.51,13+200,13+300
432,Jl. Caruban-Morang,3,14.51,13+300,13+400
433,Jl. Caruban-Morang,3,14.51,13+400,13+500
434,Jl. Caruban-Morang,3,14.51,13+500,13+600
435,Jl. Caruban-Morang,3,14.51,13+600,13+700
436,Jl. Caruban-Morang,3,14.51,13+700,13+800
437,Jl. Caruban-Morang,3,14.51,13+800,13+900
438,Jl. Caruban-Morang,3,14.51,13+900,14+000
439,Jl. Caruban-Morang,3,14.51,14+000,14+100
440,Jl. Caruban-Morang,3,14.51,14+100,14+200
441,Jl. Caruban-Morang,3,14.51,14+200,14+300
442,Jl. Caruban-Morang,3,14.51,14+400,14+498
31,Jl. Balerejo-Muneng,4,7.8,7+700,7+800
443,Jl. Balerejo-Muneng,4,7.8,0+000,0+100
444,Jl. Balerejo-Muneng,4,7.8,0+100,0+200
445,Jl. Balerejo-Muneng,4,7.8,0+200,0+300
446,Jl. Balerejo-Muneng,4,7.8,0+300,0+400
447,Jl. Balerejo-Muneng,4,7.8,0+400,0+500
448,Jl. Balerejo-Muneng,4,7.8,0+500,0+600
449,Jl. Balerejo-Muneng,4,7.8,0+600,0+700
450,Jl. Balerejo-Muneng,4,7.8,0+700,0+800
451,Jl. Balerejo-Muneng,4,7.8,0+800,0+900
452,Jl. Balerejo-Muneng,4,7.8,0+900,1+000
453,Jl. Balerejo-Muneng,4,7.8,1+000,1+100
454,Jl. Balerejo-Muneng,4,7.8,1+100,1+200
455,Jl. Balerejo-Muneng,4,7.8,1+200,1+300
456,Jl. Balerejo-Muneng,4,7.8,1+300,1+400
457,Jl. Balerejo-Muneng,4,7.8,1+400,1+500
458,Jl. Balerejo-Muneng,4,7.8,1+500,1+600
459,Jl. Balerejo-Muneng,4,7.8,1+600,1+700
460,Jl. Balerejo-Muneng,4,7.8,1+700,1+800
461,Jl. Balerejo-Muneng,4,7.8,1+800,1+900
462,Jl. Balerejo-Muneng,4,7.8,1+900,2+000
463,Jl. Balerejo-Muneng,4,7.8,2+000,2+100
464,Jl. Balerejo-Muneng,4,7.8,2+100,2+200
465,Jl. Balerejo-Muneng,4,7.8,2+200,2+300
466,Jl. Balerejo-Muneng,4,7.8,2+300,2+400
467,Jl. Balerejo-Muneng,4,7.8,2+400,2+500
468,Jl. Balerejo-Muneng,4,7.8,2+500,2+600
469,Jl. Balerejo-Muneng,4,7.8,2+600,2+700
470,Jl. Balerejo-Muneng,4,7.8,2+700,2+800
471,Jl. Balerejo-Muneng,4,7.8,2+800,2+900
472,Jl. Balerejo-Muneng,4,7.8,2+900,3+000
473,Jl. Balerejo-Muneng,4,7.8,3+000,3+100
474,Jl. Balerejo-Muneng,4,7.8,3+100,3+200
475,Jl. Balerejo-Muneng,4,7.8,3+200,3+300
476,Jl. Balerejo-Muneng,4,7.8,3+300,3+400
477,Jl. Balerejo-Muneng,4,7.8,3+400,3+500
478,Jl. Balerejo-Muneng,4,7.8,3+500,3+600
479,Jl. Balerejo-Muneng,4,7.8,3+600,3+700
480,Jl. Balerejo-Muneng,4,7.8,3+700,3+800
481,Jl. Balerejo-Muneng,4,7.8,3+800,3+900
482,Jl. Balerejo-Muneng,4,7.8,3+900,4+000
483,Jl. Balerejo-Muneng,4,7.8,4+000,4+100
484,Jl. Balerejo-Muneng,4,7.8,4+100,4+200
485,Jl. Balerejo-Muneng,4,7.8,4+200,4+300
486,Jl. Balerejo-Muneng,4,7.8,4+300,4+400
487,Jl. Balerejo-Muneng,4,7.8,4+400,4+500
488,Jl. Balerejo-Muneng,4,7.8,4+500,4+600
489,Jl. Balerejo-Muneng,4,7.8,4+600,4+700
490,Jl. Balerejo-Muneng,4,7.8,4+700,4+800
491,Jl. Balerejo-Muneng,4,7.8,4+800,4+900
492,Jl. Balerejo-Muneng,4,7.8,4+900,5+000
493,Jl. Balerejo-Muneng,4,7.8,5+000,5+100
494,Jl. Balerejo-Muneng,4,7.8,5+100,5+200
495,Jl. Balerejo-Muneng,4,7.8,5+200,5+300
496,Jl. Balerejo-Muneng,4,7.8,5+300,5+400
497,Jl. Balerejo-Muneng,4,7.8,5+400,5+500
498,Jl. Balerejo-Muneng,4,7.8,5+500,5+600
499,Jl. Balerejo-Muneng,4,7.8,5+600,5+700
500,Jl. Balerejo-Muneng,4,7.8,5+700,5+800
501,Jl. Balerejo-Muneng,4,7.8,5+800,5+900
502,Jl. Balerejo-Muneng,4,7.8,5+900,6+000
503,Jl. Balerejo-Muneng,4,7.8,6+000,6+100
504,Jl. Balerejo-Muneng,4,7.8,6+100,6+200
505,Jl. Balerejo-Muneng,4,7.8,6+200,6+300
506,Jl. Balerejo-Muneng,4,7.8,6+300,6+400
507,Jl. Balerejo-Muneng,4,7.8,6+400,6+500
508,Jl. Balerejo-Muneng,4,7.8,6+500,6+600
509,Jl. Balerejo-Muneng,4,7.8,6+600,6+700
510,Jl. Balerejo-Muneng,4,7.8,6+700,6+800
511,Jl. Balerejo-Muneng,4,7.8,6+800,6+900
512,Jl. Balerejo-Muneng,4,7.8,6+900,7+000
513,Jl. Balerejo-Muneng,4,7.8,7+000,7+100
514,Jl. Balerejo-Muneng,4,7.8,7+100,7+200
515,Jl. Balerejo-Muneng,4,7.8,7+200,7+300
516,Jl. Balerejo-Muneng,4,7.8,7+300,7+400
517,Jl. Balerejo-Muneng,4,7.8,7+400,7+500
518,Jl. Balerejo-Muneng,4,7.8,7+500,7+600
519,Jl. Balerejo-Muneng,4,7.8,7+600,7+700
520,Jl. Balerejo-Muneng,4,7.8,"7+800
",7+836
84,Jl. Pagotan-Dagangan,5,1.84,1+700,1+800
521,Jl. Pagotan-Dagangan,5,1.84,0+000,0+100
522,Jl. Pagotan-Dagangan,5,1.84,0+100,0+200
523,Jl. Pagotan-Dagangan,5,1.84,0+200,0+300
524,Jl. Pagotan-Dagangan,5,1.84,0+300,0+400
525,Jl. Pagotan-Dagangan,5,1.84,0+400,0+500
526,Jl. Pagotan-Dagangan,5,1.84,0+500,0+600
527,Jl. Pagotan-Dagangan,5,1.84,0+600,0+700
528,Jl. Pagotan-Dagangan,5,1.84,0+700,0+800
529,Jl. Pagotan-Dagangan,5,1.84,0+800,0+900
530,Jl. Pagotan-Dagangan,5,1.84,0+900,1+000
531,Jl. Pagotan-Dagangan,5,1.84,1+000,1+100
532,Jl. Pagotan-Dagangan,5,1.84,1+100,1+200
533,Jl. Pagotan-Dagangan,5,1.84,1+200,1+300
534,Jl. Pagotan-Dagangan,5,1.84,1+300,1+400
535,Jl. Pagotan-Dagangan,5,1.84,1+400,1+500
536,Jl. Pagotan-Dagangan,5,1.84,1+500,1+600
537,Jl. Pagotan-Dagangan,5,1.84,1+600,1+700
538,Jl. Pagotan-Dagangan,5,1.84,1+800,1+847
124,Jl. Uteran-Batas Magetan,6,7.11,"6+700
",6+800
539,Jl. Uteran-Batas Magetan,6,7.11,0+000,0+100
540,Jl. Uteran-Batas Magetan,6,7.11,0+100,0+200
541,Jl. Uteran-Batas Magetan,6,7.11,0+200,0+300
542,Jl. Uteran-Batas Magetan,6,7.11,0+300,0+400
543,Jl. Uteran-Batas Magetan,6,7.11,0+400,0+500
544,Jl. Uteran-Batas Magetan,6,7.11,0+500,0+600
545,Jl. Uteran-Batas Magetan,6,7.11,0+600,0+700
546,Jl. Uteran-Batas Magetan,6,7.11,0+700,0+800
547,Jl. Uteran-Batas Magetan,6,7.11,0+800,0+900
548,Jl. Uteran-Batas Magetan,6,7.11,0+900,1+000
549,Jl. Uteran-Batas Magetan,6,7.11,1+000,1+100
550,Jl. Uteran-Batas Magetan,6,7.11,1+100,1+200
551,Jl. Uteran-Batas Magetan,6,7.11,1+200,1+300
552,Jl. Uteran-Batas Magetan,6,7.11,1+300,1+400
553,Jl. Uteran-Batas Magetan,6,7.11,1+400,1+500
554,Jl. Uteran-Batas Magetan,6,7.11,1+500,1+600
555,Jl. Uteran-Batas Magetan,6,7.11,1+600,1+700
556,Jl. Uteran-Batas Magetan,6,7.11,1+700,1+800
557,Jl. Uteran-Batas Magetan,6,7.11,1+800,1+900
558,Jl. Uteran-Batas Magetan,6,7.11,1+900,2+000
559,Jl. Uteran-Batas Magetan,6,7.11,2+000,2+100
560,Jl. Uteran-Batas Magetan,6,7.11,2+100,2+200
561,Jl. Uteran-Batas Magetan,6,7.11,2+200,2+300
562,Jl. Uteran-Batas Magetan,6,7.11,2+300,2+400
563,Jl. Uteran-Batas Magetan,6,7.11,2+400,2+500
564,Jl. Uteran-Batas Magetan,6,7.11,2+500,2+600
565,Jl. Uteran-Batas Magetan,6,7.11,2+600,2+700
566,Jl. Uteran-Batas Magetan,6,7.11,2+700,2+800
567,Jl. Uteran-Batas Magetan,6,7.11,2+800,2+900
568,Jl. Uteran-Batas Magetan,6,7.11,2+900,3+000
569,Jl. Uteran-Batas Magetan,6,7.11,3+000,3+100
570,Jl. Uteran-Batas Magetan,6,7.11,3+100,3+200
571,Jl. Uteran-Batas Magetan,6,7.11,3+200,3+300
572,Jl. Uteran-Batas Magetan,6,7.11,3+300,3+400
573,Jl. Uteran-Batas Magetan,6,7.11,3+400,3+500
574,Jl. Uteran-Batas Magetan,6,7.11,3+500,3+600
575,Jl. Uteran-Batas Magetan,6,7.11,3+600,3+700
576,Jl. Uteran-Batas Magetan,6,7.11,3+700,3+800
577,Jl. Uteran-Batas Magetan,6,7.11,3+800,3+900
578,Jl. Uteran-Batas Magetan,6,7.11,3+900,4+000
579,Jl. Uteran-Batas Magetan,6,7.11,4+000,4+100
580,Jl. Uteran-Batas Magetan,6,7.11,4+100,4+200
581,Jl. Uteran-Batas Magetan,6,7.11,4+200,4+300
582,Jl. Uteran-Batas Magetan,6,7.11,4+300,4+400
583,Jl. Uteran-Batas Magetan,6,7.11,4+400,4+500
584,Jl. Uteran-Batas Magetan,6,7.11,4+500,4+600
585,Jl. Uteran-Batas Magetan,6,7.11,4+600,4+700
586,Jl. Uteran-Batas Magetan,6,7.11,4+700,4+800
587,Jl. Uteran-Batas Magetan,6,7.11,4+800,4+900
588,Jl. Uteran-Batas Magetan,6,7.11,4+900,5+000
589,Jl. Uteran-Batas Magetan,6,7.11,5+000,5+100
590,Jl. Uteran-Batas Magetan,6,7.11,5+100,5+200
591,Jl. Uteran-Batas Magetan,6,7.11,5+200,5+300
592,Jl. Uteran-Batas Magetan,6,7.11,5+300,5+400
593,Jl. Uteran-Batas Magetan,6,7.11,5+400,5+500
594,Jl. Uteran-Batas Magetan,6,7.11,5+500,5+600
595,Jl. Uteran-Batas Magetan,6,7.11,5+600,5+700
596,Jl. Uteran-Batas Magetan,6,7.11,5+700,5+800
597,Jl. Uteran-Batas Magetan,6,7.11,5+800,5+900
598,Jl. Uteran-Batas Magetan,6,7.11,5+900,6+000
599,Jl. Uteran-Batas Magetan,6,7.11,6+000,6+100
600,Jl. Uteran-Batas Magetan,6,7.11,6+100,6+200
601,Jl. Uteran-Batas Magetan,6,7.11,6+200,6+300
602,Jl. Uteran-Batas Magetan,6,7.11,6+300,6+400
603,Jl. Uteran-Batas Magetan,6,7.11,6+400,6+500
604,Jl. Uteran-Batas Magetan,6,7.11,6+500,6+600
605,Jl. Uteran-Batas Magetan,6,7.11,6+600,6+700
606,Jl. Uteran-Batas Magetan,6,7.11,6+800," 6+860
"
121,Jl. Dolopo-Mojorejo,7,7.8,7+700,7+800
607,Jl. Dolopo-Mojorejo,7,7.8,0+000,0+100
