Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
4046 - JL. MANGGA,255,228.71491476800,0+100,0+200,255,,,,,
4047 - JL. SAWO,258,187.55837507400,0+100,0+187,258,,,,,
4048 - JL. STASIUN TIMUR,260,240.62255904800,0+100,0+200,260,,,,,
4049 - JL. SEMANGKA,263,353.56320842100,0+200,0+300,263,,,,,
4050 - JL. KESEMEK,267,196.63278516800,0+100,0+196,267,,,,,
4051 - JL. ANGGUR,269,252.72524343500,0+100,0+200,269,,,,,
4052 - JL. MANGGIS,272,260.87935805000,0+100,0+200,272,,,,,
4053 - JL. MELON,275,145.74291885800,0+100,0+145,275,,,,,
4054 - JL. SIRSAK,277,145.68679615400,0+100,0+145,277,,,,,
4055 - JL. RAMBUTAN,279,281.67572800300,0+100,0+200,279,,,,,
4056 - JL. JAMBU,282,361.34822618700,0+200,0+300,282,,,,,
4057 - JL. BISMO,286,876.84216251800,0+700,0+800,286,,,,,
4058 - JL. PARIKESIT,295,782.61647842900,0+600,0+700,295,,,,,
4059 - JL. BOLODEWO,303,371.68072955100,0+200,0+300,303,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4060 - JL. KRESNA,307,457.14735601400,0+300,0+400,307,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4061 - JL. MARKISA RAJA,312,609.96038908600,0+500,0+600,312,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4062 - JL. APEL RAJA,319,212.59714887300,0+100,0+200,319,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4063 - JL. PEPAYA RAJA,322,211.57021953000,0+100,0+200,322,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4065 - JL. SAWO RAJA,336,176.87391026000,0+100,0+176,336,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4067 - JL. KAKAK TUA,344,980.38845641400,0+800,0+900,344,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4068 - JL. KARANGLO I,354,1278.61304597000,1+100,1+200,354,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4069 - JL. KARANGLO II,367,128.62837824100,0+100,0+128,367,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4071 - JL. SEMBADA,374,283.70035586800,0+100,0+200,374,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4072 - JL. KYAI SERANG,377,241.21844653400,0+100,0+200,377,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4073 - JL SUHADA HAJI,380,1273.49095589000,1+100,1+200,380,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4074 - JL. KUTILANG,393,159.41779441000,0+100,0+159,393,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4075 - JL. JL. MANYAR,395,587.81234804000,0+400,0+500,395,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4076 - JL. S. PARMAN,401,212.72821791000,0+100,0+200,401,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4077 - JL. PANJAITAN,404,608.25528260300,0+500,0+600,404,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4078 - JL. SUMATRA,411,197.59607567900,0+100,0+197,411,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4079 - JL. BALI,413,89.85126267840,0+000,0+089,413,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4080 - JL. KALIMANTAN,414,395.86291941400,0+200,0+300,414,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4081 - JL. MADURA,418,353.75838164800,0+200,0+300,418,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4082 - JL. SULAWESI,422,192.24043788000,0+100,0+192,422,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4083 - JL. FLORES,424,95.47079023120,0+000,0+095,424,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4084 - JL. SUMBAWA,425,212.44624901900,0+100,0+200,425,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
4085 - JL. CENDRAWASIH,428,385.05539182300,0+200,0+300,428,,,,,
4086 - JL. RAJAWALI,432,694.68675667100,0+500,0+600,432,,,,,
4087 - JL. MENUR,439,319.35300893800,0+200,0+300,439,,,,,
4088 - JL. NIAS,443,285.03591913600,0+100,0+200,443,,,,,
4089 - JL. KENARI,446,657.00116993000,0+500,0+600,446,,,,,
4090 - JL. PARKIT,453,291.26954464800,0+100,0+200,453,,,,,
4091 - JL. BETET,456,797.86521984500,0+600,0+700,456,,,,,
4092 - JL. SRITI,464,592.57136006800,0+400,0+500,464,,,,,
4094 - JL. CEMPAKA II,471,128.91534048900,0+100,0+128,471,,,,,
4095 - JL. CEMPAKA III,473,153.06134520100,0+100,0+153,473,,,,,
4097 - JL. ANGGREK II,475,197.97097587100,0+100,0+197,475,,,,,
4098 - JL. JUANDA,477,2348.19164622000,2+200,2+300,477,,,,,
4099 - JL. PROGO,501,678.32983934200,0+500,0+600,501,,,,,
4101 - JL. RUSUNAWA,508,286.27587689900,0+100,0+200,508,,,,,
4102 - JL. MERPATI (MEJAYAN),511,258.00740021800,0+100,0+200,511,,,,,
