Panjang;STA_AWAL;STA_AKHIR;No;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA
1075,22;0+500;0+600;53;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+600;0+700;54;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+700;0+800;55;4005 - JL. SINGOLUDRO;sedang;aspal;7
1075,22;0+800;0+900;56;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+900;1+000;47;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;1+000;1+075;57;4005 - JL. SINGOLUDRO;baik;aspal;7
695,28;0+000;0+100;59;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+100;0+200;60;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+200;0+300;61;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+300;0+400;62;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+400;0+500;63;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+500;0+600;58;4006 - JL. KOL. MARHADI;baik;aspal;7
695,28;0+600;0+695;64;4006 - JL. KOL. MARHADI;baik;aspal;7
1625,39;0+000;0+100;66;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+100;0+200;67;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+200;0+300;68;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+300;0+400;69;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+400;0+500;70;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+500;0+600;71;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+600;0+700;72;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+700;0+800;73;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+800;0+900;74;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;0+900;1+000;75;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+000;1+100;76;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+100;1+200;77;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+200;1+300;78;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+300;1+400;79;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+400;1+500;80;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+500;1+600;65;4007 - JL. MT. HARYONO;baik;aspal;10
1625,39;1+600;1+625;81;4007 - JL. MT. HARYONO;baik;aspal;10
696,67;0+000;0+100;83;4008 - JL. H. AGUS SALIM;baik;aspal;9
696,67;0+100;0+200;84;4008 - JL. H. AGUS SALIM;baik;aspal;9
696,67;0+200;0+300;85;4008 - JL. H. AGUS SALIM;baik;aspal;9
696,67;0+300;0+400;86;4008 - JL. H. AGUS SALIM;sedang;aspal;7
696,67;0+400;0+500;87;4008 - JL. H. AGUS SALIM;sedang;aspal;6
696,67;0+500;0+600;82;4008 - JL. H. AGUS SALIM;sedang;aspal;6
696,67;0+600;0+696;88;4008 - JL. H. AGUS SALIM;sedang;aspal;6
444,85;0+000;0+100;90;4009 - JL. FLAMBOYAN;baik;aspal;4
444,85;0+100;0+200;91;4009 - JL. FLAMBOYAN;baik;aspal;4
444,85;0+200;0+300;92;4009 - JL. FLAMBOYAN;baik;aspal;4
444,85;0+300;0+400;89;4009 - JL. FLAMBOYAN;baik;aspal;4
444,85;0+400;0+444;93;4009 - JL. FLAMBOYAN;baik;aspal;4
118,47;0+000;0+100;95;4010 - JL. DAHLIA;baik;aspal;4
118,47;0+100;0+118;94;4010 - JL. DAHLIA;baik;aspal;4
436,40;0+000;0+100;97;4011 - JL. NUSA INDAH;baik;aspal;6
436,40;0+100;0+200;98;4011 - JL. NUSA INDAH;baik;aspal;6
436,40;0+200;0+300;99;4011 - JL. NUSA INDAH;baik;aspal;6
436,40;0+300;0+400;96;4011 - JL. NUSA INDAH;baik;aspal;6
436,40;0+400;0+436;100;4011 - JL. NUSA INDAH;baik;aspal;6
430,17;0+000;0+100;102;4012 - JL. KENANGA;baik;aspal;5
430,17;0+100;0+200;103;4012 - JL. KENANGA;baik;aspal;5
430,17;0+200;0+300;104;4012 - JL. KENANGA;sedang;aspal;5
430,17;0+300;0+400;101;4012 - JL. KENANGA;sedang;aspal;5
430,17;0+400;0+430;105;4012 - JL. KENANGA;sedang;aspal;5
455,83;0+000;0+100;107;4013 - JL. ANGGREK;baik;aspal;5
455,83;0+100;0+200;108;4013 - JL. ANGGREK;baik;aspal;5
455,83;0+200;0+300;109;4013 - JL. ANGGREK;sedang;aspal;5
455,83;0+300;0+400;106;4013 - JL. ANGGREK;sedang;tanah;5
455,83;0+400;0+455;110;4013 - JL. ANGGREK;sedang;aspal;5
648,54;0+000;0+100;112;4014 - JL. CEMPAKA;baik;aspal;5
648,54;0+100;0+200;113;4014 - JL. CEMPAKA;baik;aspal;5
648,54;0+200;0+300;114;4014 - JL. CEMPAKA;baik;aspal;5
648,54;0+300;0+400;115;4014 - JL. CEMPAKA;sedang;aspal;5
648,54;0+400;0+500;116;4014 - JL. CEMPAKA;sedang;aspal;5
648,54;0+500;0+600;111;4014 - JL. CEMPAKA;sedang;aspal;5
648,54;0+600;0+648;117;4014 - JL. CEMPAKA;baik;aspal;5
205,79;0+000;0+100;119;4015 - JL. TANJUNG;baik;aspal;3
205,79;0+100;0+200;118;4015 - JL. TANJUNG;baik;aspal;3
205,79;0+200;0+205;120;4015 - JL. TANJUNG;baik;aspal;3
262,27;0+000;0+100;122;4016 - JL. MELATI;baik;aspal;3
262,27;0+100;0+200;121;4016 - JL. MELATI;baik;aspal;3
262,27;0+200;0+262;123;4016 - JL. MELATI;baik;aspal;3
553,07;0+000;0+100;125;4017 - JL. KEMUNING;baik;aspal;4
553,07;0+100;0+200;126;4017 - JL. KEMUNING;baik;aspal;4
553,07;0+200;0+300;127;4017 - JL. KEMUNING;baik;aspal;4
553,07;0+300;0+400;128;4017 - JL. KEMUNING;baik;aspal;4
553,07;0+400;0+500;124;4017 - JL. KEMUNING;sedang;aspal;4
553,07;0+500;0+553;129;4017 - JL. KEMUNING;sedang;aspal;4
386,65;0+000;0+100;131;4018 - JL. SERUNI;baik;aspal;5
386,65;0+100;0+200;132;4018 - JL. SERUNI;baik;aspal;5
386,65;0+200;0+300;130;4018 - JL. SERUNI;baik;aspal;5
386,65;0+300;0+386;133;4018 - JL. SERUNI;baik;aspal;5
161,77;0+000;0+100;135;4019 - JL. GARUDA;baik;aspal;5
161,77;0+100;0+161;134;4019 - JL. GARUDA;baik;aspal;5
665,14;0+000;0+100;137;4020 - JL. DR. SUTOMO;baik;aspal;6
665,14;0+100;0+200;138;4020 - JL. DR. SUTOMO;baik;aspal;6
665,14;0+200;0+300;139;4020 - JL. DR. SUTOMO;sedang;aspal;6
665,14;0+300;0+400;140;4020 - JL. DR. SUTOMO;baik;aspal;6
665,14;0+400;0+500;141;4020 - JL. DR. SUTOMO;sedang;aspal;6
665,14;0+500;0+600;136;4020 - JL. DR. SUTOMO;sedang;aspal;6
665,14;0+600;0+685;142;4020 - JL. DR. SUTOMO;sedang;aspal;6
234,48;0+000;0+100;144;4021 - JL. PENANGGUNGAN;baik;aspal;4
234,48;0+100;0+200;143;4021 - JL. PENANGGUNGAN;baik;aspal;4
234,48;0+200;0+234;145;4021 - JL. PENANGGUNGAN;baik;aspal;4
244,77;0+000;0+100;147;4022 - JL. PANDAN;sedang;aspal;5
244,77;0+100;0+200;146;4022 - JL. PANDAN;baik;aspal;5
244,77;0+200;0+244;148;4022 - JL. PANDAN;baik;aspal;5
270,75;0+000;0+100;150;4023 - JL. SEMERU;baik;aspal;4
270,75;0+100;0+200;149;4023 - JL. SEMERU;baik;aspal;4
270,75;0+200;0+270;151;4023 - JL. SEMERU;baik;aspal;4
205,56;0+000;0+100;153;4024 - JL. RINJANI;baik;aspal;5
205,56;0+100;0+200;152;4024 - JL. RINJANI;sedang;aspal;5
205,56;0+200;0+205;154;4024 - JL. RINJANI;sedang;aspal;5
375,21;0+000;0+100;156;4025 - JL. DIENG;baik;aspal;3
375,21;0+100;0+200;157;4025 - JL. DIENG;baik;aspal;3
375,21;0+200;0+300;155;4025 - JL. DIENG;sedang;aspal;3
375,21;0+300;0+375;158;4025 - JL. DIENG;baik;aspal;3
127,20;0+000;0+100;160;4026 - JL. SERAYU;sedang;aspal;3
127,20;0+100;0+127;159;4026 - JL. SERAYU;baik;aspal;3
122,91;0+000;0+100;162;4027 - JL. CISADANE;baik;aspal;3
122,91;0+100;0+122;161;4027 - JL. CISADANE;sedang;aspal;3
369,66;0+000;0+100;164;4028 - JL. MUSI;baik;aspal;3
369,66;0+100;0+200;165;4028 - JL. MUSI;baik;aspal;3
369,66;0+200;0+300;163;4028 - JL. MUSI;baik;aspal;3
369,66;0+300;0+369;166;4028 - JL. MUSI;baik;aspal;3
129,90;0+000;0+100;168;4029 - JL. CITARUM;baik;aspal;5
129,90;0+100;0+100;167;4029 - JL. CITARUM;baik;aspal;3
247,24;0+000;0+100;170;4030 - JL. ANJASMORO;baik;aspal;3
247,24;0+100;0+200;169;4030 - JL. ANJASMORO;baik;aspal;3
247,24;0+200;0+247;171;4030 - JL. ANJASMORO;sedang;aspal;3
377,67;0+000;0+100;173;4031 - JL. CILIWUNG;sedang;aspal;3
377,67;0+100;0+200;174;4031 - JL. CILIWUNG;sedang;aspal;3
377,67;0+200;0+300;172;4031 - JL. CILIWUNG;sedang;aspal;3
377,67;0+300;0+377;175;4031 - JL. CILIWUNG;sedang;aspal;3
599,56;0+000;0+100;177;4032 - JL. SINGOLUDRO II;baik;aspal;5
599,56;0+100;0+200;178;4032 - JL. SINGOLUDRO II;baik;aspal;5
599,56;0+200;0+300;179;4032 - JL. SINGOLUDRO II;baik;aspal;5
599,56;0+300;0+400;180;4032 - JL. SINGOLUDRO II;baik;aspal;5
599,56;0+400;0+500;176;4032 - JL. SINGOLUDRO II;baik;aspal;5
