Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,penanganan,Kondisi_Kini,Perke_Kini
Jl. Uteran-Batas Magetan,006,7.110,2+000,2+100,401,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+100,2+200,402,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+200,2+300,403,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+300,2+400,404,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+400,2+500,405,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+500,2+600,406,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+600,2+700,407,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+700,2+800,408,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+800,2+900,409,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,2+900,3+000,410,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+000,3+100,411,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+100,3+200,412,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+200,3+300,413,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+300,3+400,414,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+400,3+500,415,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+500,3+600,416,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+600,3+700,417,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+700,3+800,418,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+800,3+900,419,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,3+900,4+000,420,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+000,4+100,421,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+100,4+200,422,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+200,4+300,423,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+300,4+400,424,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+400,4+500,425,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+500,4+600,426,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+600,4+700,427,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+700,4+800,428,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+800,4+900,429,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,4+900,5+000,430,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+000,5+100,431,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
