Nm_Ruas;Kd_Inf;Panjang;STA_AWAL;STA_AKHIR;No;Kondisi;Tipe_Perke;Lebar_STA
Jl. Klitik-Dimong;001;8.100;4+800;4+900;50;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;4+900;5+000;51;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+000;5+100;52;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+100;5+200;53;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+200;5+300;54;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+300;5+400;55;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+400;5+500;56;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+500;5+600;57;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+600;5+700;58;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+700;5+800;59;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+800;5+900;60;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;5+900;6+000;61;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+000;6+100;62;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+100;6+200;63;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+200;6+300;64;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+300;6+400;65;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+400;6+500;66;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+500;6+600;67;baik;aspal;6
Jl. Klitik-Dimong;001;8.100;6+600;6+700;68;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+700;6+800;69;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+800;6+900;70;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;6+900;7+000;71;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+000;7+100;72;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+100;7+200;73;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+200;7+300;74;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+300;7+400;75;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+400;7+500;76;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+500;7+600;77;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+600;7+700;78;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+700;7+800;79;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+800;7+900;80;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+900;8+000;81;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;8+100;8+127;82;RR;aspal;6
