id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
211,19.080.001,Jembatan Mojorayung III,Wungu,8.8,6.5,1,Gelagar,7.631675,111.563884,1
212,19.080.002,Jembatan Mojorayung IV,Wungu,5.3,7.55,1,Gorong-Gorong Kotak,7.628945,111.556056,1
213,19.080.003,Jembatan Tempursari I,Wungu,4.95,7,1,Gelagar,7.627773,111.552845,2
214,19.081.001,Jembatan Bantengan III,Wungu,6.9,6.7,1,Gelagar Komposit,7.63619,111.55101,1
215,19.082.001,Jembatan Dempelan I,Madiun,7.3,4.1,1,Gelagar,7.61563,111.57238,1
216,19.083.001,Jembatan Tempursari II,Wungu,11,5.55,1,Gelagar Komposit,7.61928,111.55273,2
217,19.084.001,Jembatan Sumberejo I,Madiun,8.35,4,1,Gelagar Komposit,7.59171,111.56503,2
218,19.084.002,Jembatan Sumberejo II,Madiun,9.15,3.95,1,Gelagar Komposit,7.59476,111.56097,2
219,19.085.001,Jembatan Rejosari III,Sawahan,4,5,1,Plat,7.57558,111.51581,1
220,19.085.002,Jembatan Wayut I,Sawahan,8.3,4.4,1,Gelagar,7.60589,111.51161,1
221,19.086.001,Jembatan Mruwak I,Dagangan,5.5,7.2,1,Gelagar dan Plat,7.6989,111.58008,2
222,19.086.002,Jembatan Mruwak II,Dagangan,7.7,4.5,1,Gelagar,7.6966,111.58569,2
223,19.086.003,Jembatan Mruwak III,Dagangan,5.9,7,1,Gelagar dan Plat,7.69605,111.58708,2
224,19.086.004,Jembatan Mruwak IV,Dagangan,4,6,1,Plat,7.69337,111.58928,2
225,19.086.005,Jembatan Mruwak V,Dagangan,53,4,2,Rangka,7.69288,111.58951,2
226,19.086.006,Jembatan Brumbun I,Dagangan,4.5,6.1,1,Plat,7.69138,111.59962,2
227,19.086.007,Jembatan Brumbun II,Dagangan,6.4,6,1,Plat,7.69122,111.60184,2
228,19.086.008,Jembatan Brumbun III,Dagangan,5.2,5.5,1,Gelagar Komposit,7.68876,111.60504,2
229,19.087.001,Jembatan Dagangan III,Dagangan,30.15,7.2,2,Gelagar,7.70888,111.55589,2
230,19.088.001,Jembatan Sareng II,Dagangan,3.6,9.6,1,Gelagar dan Plat,7.73634,111.55324,1
231,19.090.001,Jembatan Segulung I,Dagangan,5.93,6,1,Gelagar,7.73923,111.59591,2
232,19.090.002,Jembatan Segulung II,Dagangan,24.65,6.6,1,Gelagar,7.74093,111.59496,2
233,19.090.003,Jembatan Tileng I,Dagangan,18.1,5.5,1,Gelagar,7.77905,111.61023,2
234,19.090.004,Jembatan Bader II,Dagangan,13.5,5.6,1,Gelagar,7.77905,111.61023,2
235,19.091.001,Jembatan Padas I,Dagangan,9,6.55,1,Gelagar,7.73975,111.60496,2
236,19.091.002,Jembatan Ngranget I,Dagangan,7.9,6.55,1,Gelagar,7.74718,111.62474,2
237,19.091.003,Jembatan Mruwak VI,Dagangan,12.85,4.6,1,Gelagar,7.70318,111.57462,2
238,19.091.004,Jembatan Jetis I,Dagangan,3,12.1,1,Gelagar,7.70288,111.57256,2
239,19.092.001,Jembatan Sareng III,Dagangan,13,6.6,1,Gelagar,7.74715,111.55641,2
240,19.092.002,Jembatan Ketandan I,Dagangan,7.3,5.9,1,Pelengkung dan Gelagar,7.75334,111.56138,2
241,19.093.001,Jembatan Teguhan IV,Jiwan,3.4,19,1,Plat,7.60469,111.476311,1
242,19.093.002,Jembatan Teguhan V,Jiwan,4.54,7.7,1,Plat,7.59591,111.48024,1
243,19.093.003,Jembatan Ngetrep I,Jiwan,4.05,6.8,1,Pelengkung dan Plat,7.591268,111.483204,1
244,19.093.004,Jembatan Bedoho I,Jiwan,3.3,7.1,1,Pelengkung dan Plat,7.58502,111.48488,1
245,19.094.001,Jembatan Grobogan II,Jiwan,25,4.8,2,Gelagar Komposit,7.60857,111.48392,1
246,19.095.001,Jembatan Bukur I,Jiwan,12,6.5,1,Gelagar Komposit,7.653032,111.485845,2
247,19.096.001,Jembatan Lebakayu I,Sawahan,3.8,9.95,1,Plat,7.56328,111.53281,1
248,19.096.002,Jembatan Sawahan I,Sawahan,4.4,7.4,1,Plat,7.55394,111.53688,1
249,19.097.001,Jembatan Cabean I,Sawahan,4.4,7.25,1,Plat,7.55548,111.5172,1
250,19.097.002,Jembatan Cabean II,Sawahan,5.3,6,1,Gelagar,7.55657,111.52115,1
