STA_AWAL,STA_AKHIR,Fungsi,Nm_Ruas,Panjang,No
0+800,0+900,Lingkungan Primer,KALIABU,1165,867
0+900,1+000,Lingkungan Primer,KALIABU,1165,868
1+000,1+100,Lingkungan Primer,KALIABU,1165,869
1+100,1+165,Lingkungan Primer,KALIABU,1165,870
0+000,0+100,Lokal Sekunder,KALIGUNTING,2057,871
0+100,0+200,Lokal Sekunder,KALIGUNTING,2057,872
0+200,0+300,Lokal Sekunder,KALIGUNTING,2057,873
0+300,0+400,Lokal Sekunder,KALIGUNTING,2057,874
0+400,0+500,Lokal Sekunder,KALIGUNTING,2057,875
0+500,0+600,Lokal Sekunder,KALIGUNTING,2057,876
0+600,0+700,Lokal Sekunder,KALIGUNTING,2057,877
0+700,0+800,Lokal Sekunder,KALIGUNTING,2057,878
0+800,0+900,Lokal Sekunder,KALIGUNTING,2057,879
0+900,1+000,Lokal Sekunder,KALIGUNTING,2057,880
1+000,1+100,Lokal Sekunder,KALIGUNTING,2057,881
1+100,1+200,Lokal Sekunder,KALIGUNTING,2057,882
1+200,1+300,Lokal Sekunder,KALIGUNTING,2057,883
1+300,1+400,Lokal Sekunder,KALIGUNTING,2057,884
1+400,1+500,Lokal Sekunder,KALIGUNTING,2057,885
1+500,1+600,Lokal Sekunder,KALIGUNTING,2057,886
1+600,1+700,Lokal Sekunder,KALIGUNTING,2057,887
1+700,1+800,Lokal Sekunder,KALIGUNTING,2057,888
1+800,1+900,Lokal Sekunder,KALIGUNTING,2057,889
2+000,2+056,Lokal Sekunder,KALIGUNTING,2057,890
1+900,2+000,Lokal Sekunder,KALIGUNTING,2057,891
0+000,0+100,Lingkungan Primer,KARANGREJO,672,410
0+100,0+200,Lingkungan Primer,KARANGREJO,672,411
0+200,0+300,Lingkungan Primer,KARANGREJO,672,412
0+300,0+400,Lingkungan Primer,KARANGREJO,672,413
0+400,0+500,Lingkungan Primer,KARANGREJO,672,414
0+500,0+600,Lingkungan Primer,KARANGREJO,672,415
0+600,0+671,Lingkungan Primer,KARANGREJO,672,416
0+000,0+100,Lingkungan Primer,KEBONAGUNG,1174,892
0+100,0+200,Lingkungan Primer,KEBONAGUNG,1174,893
0+200,0+300,Lingkungan Primer,KEBONAGUNG,1174,894
0+300,0+400,Lingkungan Primer,KEBONAGUNG,1174,895
0+400,0+500,Lingkungan Primer,KEBONAGUNG,1174,896
0+500,0+600,Lingkungan Primer,KEBONAGUNG,1174,897
0+600,0+700,Lingkungan Primer,KEBONAGUNG,1174,898
0+700,0+800,Lingkungan Primer,KEBONAGUNG,1174,899
0+800,0+844,Lingkungan Primer,KEBONAGUNG,1174,900
0+000,0+100,Lingkungan Primer,KEBONAGUNG,1174,1224
0+100,0+200,Lingkungan Primer,KEBONAGUNG,1174,1225
0+200,0+300,Lingkungan Primer,KEBONAGUNG,1174,1226
0+300,0+400,Lingkungan Primer,KEBONAGUNG,1174,1227
0+400,0+500,Lingkungan Primer,KEBONAGUNG,1174,1228
0+500,0+600,Lingkungan Primer,KEBONAGUNG,1174,1229
0+600,0+700,Lingkungan Primer,KEBONAGUNG,1174,1230
0+700,0+800,Lingkungan Primer,KEBONAGUNG,1174,1231
0+800,0+900,Lingkungan Primer,KEBONAGUNG,1174,1232
0+900,1+000,Lingkungan Primer,KEBONAGUNG,1174,1233
1+000,1+100,Lingkungan Primer,KEBONAGUNG,1174,1234
1+100,1+173,Lingkungan Primer,KEBONAGUNG,1174,1235
0+000,0+100,Lokal Primer,KEDONDONG,1514,843
0+100,0+200,Lokal Primer,KEDONDONG,1514,844
0+200,0+300,Lokal Primer,KEDONDONG,1514,845
0+300,0+400,Lokal Primer,KEDONDONG,1514,846
0+400,0+500,Lokal Primer,KEDONDONG,1514,847
0+500,0+600,Lokal Primer,KEDONDONG,1514,848
0+600,0+700,Lokal Primer,KEDONDONG,1514,849
0+700,0+800,Lokal Primer,KEDONDONG,1514,850
0+800,0+900,Lokal Primer,KEDONDONG,1514,851
0+900,1+000,Lokal Primer,KEDONDONG,1514,852
1+000,1+100,Lokal Primer,KEDONDONG,1514,853
1+100,1+200,Lokal Primer,KEDONDONG,1514,854
1+200,1+300,Lokal Primer,KEDONDONG,1514,855
1+300,1+400,Lokal Primer,KEDONDONG,1514,856
1+400,1+500,Lokal Primer,KEDONDONG,1514,857
1+500,1+513,Lokal Primer,KEDONDONG,1514,858
0+000,0+100,Lingkungan Primer,KEDUNGJATI,2197,1097
0+100,0+200,Lingkungan Primer,KEDUNGJATI,2197,1098
0+200,0+300,Lingkungan Primer,KEDUNGJATI,2197,1099
0+300,0+400,Lingkungan Primer,KEDUNGJATI,2197,1100
0+400,0+500,Lingkungan Primer,KEDUNGJATI,2197,1101
0+500,0+600,Lingkungan Primer,KEDUNGJATI,2197,1102
0+600,0+700,Lingkungan Primer,KEDUNGJATI,2197,1103
0+700,0+800,Lingkungan Primer,KEDUNGJATI,2197,1104
0+800,0+900,Lingkungan Primer,KEDUNGJATI,2197,1105
0+900,1+000,Lingkungan Primer,KEDUNGJATI,2197,1106
1+000,1+100,Lingkungan Primer,KEDUNGJATI,2197,1107
1+100,1+200,Lingkungan Primer,KEDUNGJATI,2197,1108
1+200,1+300,Lingkungan Primer,KEDUNGJATI,2197,1109
1+300,1+400,Lingkungan Primer,KEDUNGJATI,2197,1110
1+400,1+500,Lingkungan Primer,KEDUNGJATI,2197,1111
1+500,1+600,Lingkungan Primer,KEDUNGJATI,2197,1112
1+600,1+700,Lingkungan Primer,KEDUNGJATI,2197,1113
1+700,1+800,Lingkungan Primer,KEDUNGJATI,2197,1114
1+800,1+900,Lingkungan Primer,KEDUNGJATI,2197,1115
1+900,2+000,Lingkungan Primer,KEDUNGJATI,2197,1116
2+000,2+100,Lingkungan Primer,KEDUNGJATI,2197,1117
2+100,2+193,Lingkungan Primer,KEDUNGJATI,2197,1118
0+000,0+100,Lingkungan Primer,KEPET,1355,322
0+100,0+200,Lingkungan Primer,KEPET,1355,323
0+200,0+300,Lingkungan Primer,KEPET,1355,324
0+300,0+400,Lingkungan Primer,KEPET,1355,325
0+400,0+500,Lingkungan Primer,KEPET,1355,326
0+500,0+600,Lingkungan Primer,KEPET,1355,327
0+600,0+700,Lingkungan Primer,KEPET,1355,328
0+700,0+800,Lingkungan Primer,KEPET,1355,329
0+800,0+900,Lingkungan Primer,KEPET,1355,330
0+900,1+000,Lingkungan Primer,KEPET,1355,331
1+000,1+100,Lingkungan Primer,KEPET,1355,332
1+100,1+200,Lingkungan Primer,KEPET,1355,333
1+200,1+300,Lingkungan Primer,KEPET,1355,334
1+300,1+355,Lingkungan Primer,KEPET,1355,335
0+000,0+100,Lingkungan Primer,KERTOSARI,583,107
0+100,0+200,Lingkungan Primer,KERTOSARI,583,108
0+200,0+300,Lingkungan Primer,KERTOSARI,583,109
0+300,0+400,Lingkungan Primer,KERTOSARI,583,110
0+400,0+500,Lingkungan Primer,KERTOSARI,583,111
0+500,0+599,Lingkungan Primer,KERTOSARI,583,112
0+000,0+100,Lingkungan Primer,KETANDAN,3123,256
0+100,0+200,Lingkungan Primer,KETANDAN,3123,257
0+200,0+300,Lingkungan Primer,KETANDAN,3123,258
0+300,0+400,Lingkungan Primer,KETANDAN,3123,259
0+400,0+500,Lingkungan Primer,KETANDAN,3123,260
0+500,0+600,Lingkungan Primer,KETANDAN,3123,261
0+600,0+700,Lingkungan Primer,KETANDAN,3123,262
0+700,0+800,Lingkungan Primer,KETANDAN,3123,263
0+800,0+900,Lingkungan Primer,KETANDAN,3123,264
0+900,1+000,Lingkungan Primer,KETANDAN,3123,265
1+000,1+100,Lingkungan Primer,KETANDAN,3123,266
1+100,1+200,Lingkungan Primer,KETANDAN,3123,267
1+200,1+300,Lingkungan Primer,KETANDAN,3123,268
1+300,1+400,Lingkungan Primer,KETANDAN,3123,269
1+400,1+500,Lingkungan Primer,KETANDAN,3123,270
1+500,1+600,Lingkungan Primer,KETANDAN,3123,271
1+600,1+700,Lingkungan Primer,KETANDAN,3123,272
1+700,1+800,Lingkungan Primer,KETANDAN,3123,273
1+800,1+900,Lingkungan Primer,KETANDAN,3123,274
1+900,2+000,Lingkungan Primer,KETANDAN,3123,275
2+000,2+100,Lingkungan Primer,KETANDAN,3123,276
2+100,2+200,Lingkungan Primer,KETANDAN,3123,277
2+200,2+300,Lingkungan Primer,KETANDAN,3123,278
2+300,2+400,Lingkungan Primer,KETANDAN,3123,279
2+400,2+500,Lingkungan Primer,KETANDAN,3123,280
2+500,2+600,Lingkungan Primer,KETANDAN,3123,281
2+600,2+700,Lingkungan Primer,KETANDAN,3123,282
2+700,2+800,Lingkungan Primer,KETANDAN,3123,283
2+800,2+900,Lingkungan Primer,KETANDAN,3123,284
2+900,3+000,Lingkungan Primer,KETANDAN,3123,285
3+000,3+100,Lingkungan Primer,KETANDAN,3123,286
3+100,3+122,Lingkungan Primer,KETANDAN,3123,287
0+000,0+100,Lingkungan Primer,KINCANG WETAN,1503,30
0+100,0+200,Lingkungan Primer,KINCANG WETAN,1503,31
0+200,0+300,Lingkungan Primer,KINCANG WETAN,1503,32
0+300,0+400,Lingkungan Primer,KINCANG WETAN,1503,33
0+400,0+500,Lingkungan Primer,KINCANG WETAN,1503,34
0+500,0+600,Lingkungan Primer,KINCANG WETAN,1503,35
0+600,0+700,Lingkungan Primer,KINCANG WETAN,1503,36
0+700,0+800,Lingkungan Primer,KINCANG WETAN,1503,37
0+800,0+900,Lingkungan Primer,KINCANG WETAN,1503,38
0+900,1+000,Lingkungan Primer,KINCANG WETAN,1503,39
1+000,1+100,Lingkungan Primer,KINCANG WETAN,1503,40
1+100,1+200,Lingkungan Primer,KINCANG WETAN,1503,41
1+200,1+300,Lingkungan Primer,KINCANG WETAN,1503,42
1+300,1+400,Lingkungan Primer,KINCANG WETAN,1503,43
1+400,1+499,Lingkungan Primer,KINCANG WETAN,1503,44
0+000,0+100,Lingkungan Primer,KLANGON,1705,592
0+100,0+200,Lingkungan Primer,KLANGON,1705,593
0+200,0+300,Lingkungan Primer,KLANGON,1705,594
0+300,0+400,Lingkungan Primer,KLANGON,1705,595
0+400,0+500,Lingkungan Primer,KLANGON,1705,596
0+500,0+600,Lingkungan Primer,KLANGON,1705,597
0+600,0+700,Lingkungan Primer,KLANGON,1705,598
0+700,0+800,Lingkungan Primer,KLANGON,1705,599
0+800,0+900,Lingkungan Primer,KLANGON,1705,600
0+900,1+000,Lingkungan Primer,KLANGON,1705,601
1+000,1+100,Lingkungan Primer,KLANGON,1705,602
1+100,1+200,Lingkungan Primer,KLANGON,1705,603
1+200,1+300,Lingkungan Primer,KLANGON,1705,604
1+300,1+400,Lingkungan Primer,KLANGON,1705,605
1+400,1+500,Lingkungan Primer,KLANGON,1705,606
1+500,1+600,Lingkungan Primer,KLANGON,1705,607
1+600,1+700,Lingkungan Primer,KLANGON,1705,608
1+700,1+705,Lingkungan Primer,KLANGON,1705,609
0+300,0+400,Lingkungan Primer,KLOROGAN,371,12
0+000,0+100,Lingkungan Primer,KLOROGAN,371,13
0+100,0+200,Lingkungan Primer,KLOROGAN,371,14
0+200,0+300,Lingkungan Primer,KLOROGAN,371,15
0+400,0+440,Lingkungan Primer,KLOROGAN,371,16
0+000,0+100,Lingkungan Primer,KLUMPIT,506,1444
0+100,0+200,Lingkungan Primer,KLUMPIT,506,1445
0+200,0+300,Lingkungan Primer,KLUMPIT,506,1446
0+300,0+400,Lingkungan Primer,KLUMPIT,506,1447
0+400,0+500,Lingkungan Primer,KLUMPIT,506,1448
0+500,0+505,Lingkungan Primer,KLUMPIT,506,1449
0+000,0+100,Lokal Primer,KLUMUTAN,4052,610
0+100,0+200,Lokal Primer,KLUMUTAN,4052,611
0+200,0+300,Lokal Primer,KLUMUTAN,4052,612
0+300,0+400,Lokal Primer,KLUMUTAN,4052,613
0+400,0+500,Lokal Primer,KLUMUTAN,4052,614
0+500,0+600,Lokal Primer,KLUMUTAN,4052,615
0+600,0+700,Lokal Primer,KLUMUTAN,4052,616
0+700,0+800,Lokal Primer,KLUMUTAN,4052,617
0+800,0+900,Lokal Primer,KLUMUTAN,4052,618
0+900,1+000,Lokal Primer,KLUMUTAN,4052,619
1+000,1+100,Lokal Primer,KLUMUTAN,4052,620
1+100,1+200,Lokal Primer,KLUMUTAN,4052,621
1+200,1+300,Lokal Primer,KLUMUTAN,4052,622
1+300,1+400,Lokal Primer,KLUMUTAN,4052,623
1+400,1+500,Lokal Primer,KLUMUTAN,4052,624
1+500,1+600,Lokal Primer,KLUMUTAN,4052,625
1+600,1+700,Lokal Primer,KLUMUTAN,4052,626
1+700,1+800,Lokal Primer,KLUMUTAN,4052,627
1+800,1+900,Lokal Primer,KLUMUTAN,4052,628
1+900,2+000,Lokal Primer,KLUMUTAN,4052,629
2+000,2+100,Lokal Primer,KLUMUTAN,4052,630
2+100,2+200,Lokal Primer,KLUMUTAN,4052,631
2+200,2+300,Lokal Primer,KLUMUTAN,4052,632
2+300,2+400,Lokal Primer,KLUMUTAN,4052,633
2+400,2+500,Lokal Primer,KLUMUTAN,4052,634
2+500,2+600,Lokal Primer,KLUMUTAN,4052,635
2+600,2+700,Lokal Primer,KLUMUTAN,4052,636
2+700,2+800,Lokal Primer,KLUMUTAN,4052,637
2+800,2+900,Lokal Primer,KLUMUTAN,4052,638
2+900,3+000,Lokal Primer,KLUMUTAN,4052,639
3+000,3+100,Lokal Primer,KLUMUTAN,4052,640
3+100,3+200,Lokal Primer,KLUMUTAN,4052,641
3+200,3+300,Lokal Primer,KLUMUTAN,4052,642
3+300,3+400,Lokal Primer,KLUMUTAN,4052,643
3+400,3+500,Lokal Primer,KLUMUTAN,4052,644
3+500,3+600,Lokal Primer,KLUMUTAN,4052,645
3+600,3+700,Lokal Primer,KLUMUTAN,4052,646
3+700,3+800,Lokal Primer,KLUMUTAN,4052,647
3+800,3+900,Lokal Primer,KLUMUTAN,4052,648
3+900,4+000,Lokal Primer,KLUMUTAN,4052,649
4+000,4+100,Lokal Primer,KLUMUTAN,4052,650
4+100,4+200,Lokal Primer,KLUMUTAN,4052,651
4+200,4+300,Lokal Primer,KLUMUTAN,4052,652
4+300,4+400,Lokal Primer,KLUMUTAN,4052,653
4+400,4+500,Lokal Primer,KLUMUTAN,4052,654
4+500,4+600,Lokal Primer,KLUMUTAN,4052,655
4+600,4+700,Lokal Primer,KLUMUTAN,4052,656
4+700,4+800,Lokal Primer,KLUMUTAN,4052,657
4+800,4+900,Lokal Primer,KLUMUTAN,4052,658
4+900,5+000,Lokal Primer,KLUMUTAN,4052,659
5+000,5+100,Lokal Primer,KLUMUTAN,4052,660
5+100,5+200,Lokal Primer,KLUMUTAN,4052,661
5+200,5+300,Lokal Primer,KLUMUTAN,4052,662
5+300,5+340,Lokal Primer,KLUMUTAN,4052,663
0+000,0+100,Lingkungan Primer,KRADINAN,536,137
0+100,0+200,Lingkungan Primer,KRADINAN,536,138
0+200,0+300,Lingkungan Primer,KRADINAN,536,139
0+300,0+400,Lingkungan Primer,KRADINAN,536,140
0+400,0+500,Lingkungan Primer,KRADINAN,536,141
0+500,0+535,Lingkungan Primer,KRADINAN,536,142
0+000,0+100,Lingkungan Primer,KRANGGAN,1375,113
0+100,0+200,Lingkungan Primer,KRANGGAN,1375,114
0+200,0+300,Lingkungan Primer,KRANGGAN,1375,115
0+300,0+400,Lingkungan Primer,KRANGGAN,1375,116
0+400,0+500,Lingkungan Primer,KRANGGAN,1375,117
0+500,0+600,Lingkungan Primer,KRANGGAN,1375,118
0+600,0+700,Lingkungan Primer,KRANGGAN,1375,119
0+700,0+800,Lingkungan Primer,KRANGGAN,1375,120
0+800,0+900,Lingkungan Primer,KRANGGAN,1375,121
0+900,1+000,Lingkungan Primer,KRANGGAN,1375,122
1+000,1+100,Lingkungan Primer,KRANGGAN,1375,123
1+100,1+200,Lingkungan Primer,KRANGGAN,1375,124
1+200,1+300,Lingkungan Primer,KRANGGAN,1375,125
1+300,1+375,Lingkungan Primer,KRANGGAN,1375,126
0+000,0+100,Lingkungan Primer,KUWU I,1486,1236
0+100,0+200,Lingkungan Primer,KUWU I,1486,1237
0+200,0+300,Lingkungan Primer,KUWU I,1486,1238
0+300,0+400,Lingkungan Primer,KUWU I,1486,1239
0+400,0+500,Lingkungan Primer,KUWU I,1486,1240
0+500,0+600,Lingkungan Primer,KUWU I,1486,1241
0+600,0+700,Lingkungan Primer,KUWU I,1486,1242
0+700,0+800,Lingkungan Primer,KUWU I,1486,1243
0+800,0+900,Lingkungan Primer,KUWU I,1486,1244
0+900,1+000,Lingkungan Primer,KUWU I,1486,1245
1+000,1+100,Lingkungan Primer,KUWU I,1486,1246
1+100,1+200,Lingkungan Primer,KUWU I,1486,1247
1+200,1+300,Lingkungan Primer,KUWU I,1486,1248
1+300,1+400,Lingkungan Primer,KUWU I,1486,1249
1+400,1+486,Lingkungan Primer,KUWU I,1486,1250
0+000,0+100,Lingkungan Primer,KUWU II,1195,1251
0+100,0+200,Lingkungan Primer,KUWU II,1195,1252
0+200,0+300,Lingkungan Primer,KUWU II,1195,1253
0+300,0+400,Lingkungan Primer,KUWU II,1195,1254
0+400,0+500,Lingkungan Primer,KUWU II,1195,1255
0+500,0+600,Lingkungan Primer,KUWU II,1195,1256
0+600,0+700,Lingkungan Primer,KUWU II,1195,1257
0+700,0+800,Lingkungan Primer,KUWU II,1195,1258
0+800,0+900,Lingkungan Primer,KUWU II,1195,1259
0+900,1+000,Lingkungan Primer,KUWU II,1195,1260
1+000,1+100,Lingkungan Primer,KUWU II,1195,1261
1+100,1+195,Lingkungan Primer,KUWU II,1195,1262
0+000,0+100,Lingkungan Primer,KWANGSEN,1178,45
0+100,0+200,Lingkungan Primer,KWANGSEN,1178,46
0+200,0+300,Lingkungan Primer,KWANGSEN,1178,47
0+300,0+400,Lingkungan Primer,KWANGSEN,1178,48
0+400,0+500,Lingkungan Primer,KWANGSEN,1178,49
0+500,0+600,Lingkungan Primer,KWANGSEN,1178,50
0+600,0+700,Lingkungan Primer,KWANGSEN,1178,51
0+700,0+800,Lingkungan Primer,KWANGSEN,1178,52
0+800,0+900,Lingkungan Primer,KWANGSEN,1178,53
0+900,1+000,Lingkungan Primer,KWANGSEN,1178,54
1+000,1+100,Lingkungan Primer,KWANGSEN,1178,55
1+100,1+178,Lingkungan Primer,KWANGSEN,1178,56
0+000,0+100,Lingkungan Primer,LEMBAH,951,127
0+100,0+200,Lingkungan Primer,LEMBAH,951,128
0+200,0+300,Lingkungan Primer,LEMBAH,951,129
0+300,0+400,Lingkungan Primer,LEMBAH,951,130
0+400,0+500,Lingkungan Primer,LEMBAH,951,131
0+500,0+600,Lingkungan Primer,LEMBAH,951,132
0+600,0+700,Lingkungan Primer,LEMBAH,951,133
0+700,0+800,Lingkungan Primer,LEMBAH,951,134
0+800,0+900,Lingkungan Primer,LEMBAH,951,135
0+900,0+951,Lingkungan Primer,LEMBAH,951,136
0+000,0+100,Lingkungan Primer,LUWORO,1351,756
0+100,0+200,Lingkungan Primer,LUWORO,1351,757
0+200,0+300,Lingkungan Primer,LUWORO,1351,758
0+300,0+400,Lingkungan Primer,LUWORO,1351,759
0+400,0+500,Lingkungan Primer,LUWORO,1351,760
0+500,0+600,Lingkungan Primer,LUWORO,1351,761
0+600,0+700,Lingkungan Primer,LUWORO,1351,762
0+700,0+800,Lingkungan Primer,LUWORO,1351,763
0+800,0+900,Lingkungan Primer,LUWORO,1351,764
0+900,1+000,Lingkungan Primer,LUWORO,1351,765
1+000,1+100,Lingkungan Primer,LUWORO,1351,766
1+100,1+200,Lingkungan Primer,LUWORO,1351,767
1+200,1+300,Lingkungan Primer,LUWORO,1351,768
1+300,1+400,Lingkungan Primer,LUWORO,1351,769
1+400,1+500,Lingkungan Primer,LUWORO,1351,770
1+500,1+600,Lingkungan Primer,LUWORO,1351,771
1+600,1+700,Lingkungan Primer,LUWORO,1351,772
1+700,1+755,Lingkungan Primer,LUWORO,1351,773
0+000,0+100,Lingkungan Primer,MEJAYAN,1666,901
0+100,0+200,Lingkungan Primer,MEJAYAN,1666,902
0+200,0+300,Lingkungan Primer,MEJAYAN,1666,903
0+300,0+400,Lingkungan Primer,MEJAYAN,1666,904
0+400,0+500,Lingkungan Primer,MEJAYAN,1666,905
0+500,0+600,Lingkungan Primer,MEJAYAN,1666,906
0+600,0+700,Lingkungan Primer,MEJAYAN,1666,907
0+700,0+800,Lingkungan Primer,MEJAYAN,1666,908
0+800,0+900,Lingkungan Primer,MEJAYAN,1666,909
0+900,1+000,Lingkungan Primer,MEJAYAN,1666,910
1+000,1+100,Lingkungan Primer,MEJAYAN,1666,911
1+100,1+200,Lingkungan Primer,MEJAYAN,1666,912
1+200,1+300,Lingkungan Primer,MEJAYAN,1666,913
1+300,1+400,Lingkungan Primer,MEJAYAN,1666,914
1+400,1+500,Lingkungan Primer,MEJAYAN,1666,915
1+500,1+600,Lingkungan Primer,MEJAYAN,1666,916
1+600,1+666,Lingkungan Primer,MEJAYAN,1666,917
0+000,0+100,Lokal Primer,MENDAK,1652,363
0+100,0+200,Lokal Primer,MENDAK,1652,364
0+200,0+300,Lokal Primer,MENDAK,1652,365
0+300,0+400,Lokal Primer,MENDAK,1652,366
0+400,0+500,Lokal Primer,MENDAK,1652,367
0+500,0+600,Lokal Primer,MENDAK,1652,368
0+600,0+700,Lokal Primer,MENDAK,1652,369
0+700,0+800,Lokal Primer,MENDAK,1652,370
0+800,0+900,Lokal Primer,MENDAK,1652,371
0+900,1+000,Lokal Primer,MENDAK,1652,372
1+000,1+100,Lokal Primer,MENDAK,1652,373
1+100,1+200,Lokal Primer,MENDAK,1652,374
1+200,1+300,Lokal Primer,MENDAK,1652,375
1+300,1+400,Lokal Primer,MENDAK,1652,376
1+400,1+500,Lokal Primer,MENDAK,1652,377
1+500,1+600,Lokal Primer,MENDAK,1652,378
1+600,1+652,Lokal Primer,MENDAK,1652,379
0+000,0+100,Lingkungan Primer,MOJOPURNO,824,450
0+100,0+200,Lingkungan Primer,MOJOPURNO,824,451
0+200,0+300,Lingkungan Primer,MOJOPURNO,824,452
0+300,0+400,Lingkungan Primer,MOJOPURNO,824,453
0+400,0+500,Lingkungan Primer,MOJOPURNO,824,454
0+500,0+600,Lingkungan Primer,MOJOPURNO,824,455
0+600,0+700,Lingkungan Primer,MOJOPURNO,824,456
0+700,0+800,Lingkungan Primer,MOJOPURNO,824,457
0+800,0+900,Lingkungan Primer,MOJOPURNO,824,458
0+900,0+967,Lingkungan Primer,MOJOPURNO,824,459
0+000,0+100,Lingkungan Primer,MOJOREJO,662,466
0+100,0+200,Lingkungan Primer,MOJOREJO,662,467
0+200,0+300,Lingkungan Primer,MOJOREJO,662,468
0+300,0+400,Lingkungan Primer,MOJOREJO,662,469
0+400,0+500,Lingkungan Primer,MOJOREJO,662,470
0+500,0+600,Lingkungan Primer,MOJOREJO,662,471
0+600,0+700,Lingkungan Primer,MOJOREJO,662,472
0+700,0+800,Lingkungan Primer,MOJOREJO,662,473
0+800,0+822,Lingkungan Primer,MOJOREJO,662,474
0+000,0+100,Lingkungan Primer,NGADIREJO,2596,1037
0+100,0+200,Lingkungan Primer,NGADIREJO,2596,1038
0+200,0+300,Lingkungan Primer,NGADIREJO,2596,1039
0+300,0+400,Lingkungan Primer,NGADIREJO,2596,1040
0+400,0+500,Lingkungan Primer,NGADIREJO,2596,1041
0+500,0+600,Lingkungan Primer,NGADIREJO,2596,1042
0+600,0+700,Lingkungan Primer,NGADIREJO,2596,1043
0+700,0+800,Lingkungan Primer,NGADIREJO,2596,1044
0+800,0+900,Lingkungan Primer,NGADIREJO,2596,1045
0+900,1+000,Lingkungan Primer,NGADIREJO,2596,1046
1+000,1+100,Lingkungan Primer,NGADIREJO,2596,1047
1+100,1+200,Lingkungan Primer,NGADIREJO,2596,1048
1+200,1+300,Lingkungan Primer,NGADIREJO,2596,1049
1+300,1+351,Lingkungan Primer,NGADIREJO,2596,1050
0+000,0+100,Lingkungan Primer,NGADIREJO,2596,1051
0+100,0+200,Lingkungan Primer,NGADIREJO,2596,1052
0+200,0+300,Lingkungan Primer,NGADIREJO,2596,1053
0+300,0+400,Lingkungan Primer,NGADIREJO,2596,1054
0+400,0+500,Lingkungan Primer,NGADIREJO,2596,1055
0+500,0+600,Lingkungan Primer,NGADIREJO,2596,1056
0+600,0+700,Lingkungan Primer,NGADIREJO,2596,1057
0+700,0+800,Lingkungan Primer,NGADIREJO,2596,1058
0+800,0+900,Lingkungan Primer,NGADIREJO,2596,1059
0+900,1+000,Lingkungan Primer,NGADIREJO,2596,1060
1+000,1+100,Lingkungan Primer,NGADIREJO,2596,1061
1+100,1+200,Lingkungan Primer,NGADIREJO,2596,1062
1+200,1+243,Lingkungan Primer,NGADIREJO,2596,1063
0+000,0+100,Lingkungan Primer,NGLAMBANGAN I,609,417
0+100,0+200,Lingkungan Primer,NGLAMBANGAN I,609,418
0+200,0+300,Lingkungan Primer,NGLAMBANGAN I,609,419
0+300,0+400,Lingkungan Primer,NGLAMBANGAN I,609,420
0+400,0+500,Lingkungan Primer,NGLAMBANGAN I,609,421
0+500,0+600,Lingkungan Primer,NGLAMBANGAN I,609,422
0+600,0+608,Lingkungan Primer,NGLAMBANGAN I,609,423
0+000,0+100,Lingkungan Primer,NGLAMBANGAN II,870,424
0+100,0+200,Lingkungan Primer,NGLAMBANGAN II,870,425
0+200,0+300,Lingkungan Primer,NGLAMBANGAN II,870,426
0+300,0+400,Lingkungan Primer,NGLAMBANGAN II,870,427
0+400,0+500,Lingkungan Primer,NGLAMBANGAN II,870,428
0+500,0+600,Lingkungan Primer,NGLAMBANGAN II,870,429
0+600,0+700,Lingkungan Primer,NGLAMBANGAN II,870,430
0+700,0+800,Lingkungan Primer,NGLAMBANGAN II,870,431
0+800,0+900,Lingkungan Primer,NGLAMBANGAN II,870,432
0+900,0+985,Lingkungan Primer,NGLAMBANGAN II,870,433
0+000,0+100,Lingkungan Primer,NGLAMBANGAN III,1543,434
0+100,0+200,Lingkungan Primer,NGLAMBANGAN III,1543,435
0+200,0+300,Lingkungan Primer,NGLAMBANGAN III,1543,436
0+300,0+400,Lingkungan Primer,NGLAMBANGAN III,1543,437
0+400,0+500,Lingkungan Primer,NGLAMBANGAN III,1543,438
0+500,0+600,Lingkungan Primer,NGLAMBANGAN III,1543,439
0+600,0+700,Lingkungan Primer,NGLAMBANGAN III,1543,440
0+700,0+800,Lingkungan Primer,NGLAMBANGAN III,1543,441
0+800,0+900,Lingkungan Primer,NGLAMBANGAN III,1543,442
0+900,1+000,Lingkungan Primer,NGLAMBANGAN III,1543,443
1+000,1+100,Lingkungan Primer,NGLAMBANGAN III,1543,444
1+100,1+200,Lingkungan Primer,NGLAMBANGAN III,1543,445
1+200,1+300,Lingkungan Primer,NGLAMBANGAN III,1543,446
1+300,1+400,Lingkungan Primer,NGLAMBANGAN III,1543,447
1+400,1+500,Lingkungan Primer,NGLAMBANGAN III,1543,448
1+500,1+542,Lingkungan Primer,NGLAMBANGAN III,1543,449
0+000,0+100,Lingkungan Primer,NGLANDUK,578,460
0+100,0+200,Lingkungan Primer,NGLANDUK,578,461
0+200,0+300,Lingkungan Primer,NGLANDUK,578,462
0+300,0+400,Lingkungan Primer,NGLANDUK,578,463
0+400,0+500,Lingkungan Primer,NGLANDUK,578,464
0+500,0+500,Lingkungan Primer,NGLANDUK,578,465
0+000,0+100,Lingkungan Primer,PACINAN,1558,1263
0+100,0+200,Lingkungan Primer,PACINAN,1558,1264
0+200,0+300,Lingkungan Primer,PACINAN,1558,1265
0+300,0+400,Lingkungan Primer,PACINAN,1558,1266
0+400,0+500,Lingkungan Primer,PACINAN,1558,1267
0+500,0+600,Lingkungan Primer,PACINAN,1558,1268
