STA_AWAL,STA_AKHIR,Fungsi,Nm_Ruas,Panjang,No
1+600,1+700,Lingkungan Primer,BANJARSARI KULON,3026,230
1+700,1+800,Lingkungan Primer,BANJARSARI KULON,3026,231
1+800,1+900,Lingkungan Primer,BANJARSARI KULON,3026,232
1+900,2+000,Lingkungan Primer,BANJARSARI KULON,3026,233
2+000,2+100,Lingkungan Primer,BANJARSARI KULON,3026,234
2+100,2+200,Lingkungan Primer,BANJARSARI KULON,3026,235
2+200,2+300,Lingkungan Primer,BANJARSARI KULON,3026,236
2+300,2+400,Lingkungan Primer,BANJARSARI KULON,3026,237
2+400,2+500,Lingkungan Primer,BANJARSARI KULON,3026,238
2+500,2+600,Lingkungan Primer,BANJARSARI KULON,3026,239
2+600,2+700,Lingkungan Primer,BANJARSARI KULON,3026,240
2+700,2+800,Lingkungan Primer,BANJARSARI KULON,3026,241
2+800,2+900,Lingkungan Primer,BANJARSARI KULON,3026,242
2+900,3+000,Lingkungan Primer,BANJARSARI KULON,3026,243
3+000,3+026,Lingkungan Primer,BANJARSARI KULON,3026,244
0+000,0+100,Lingkungan Primer,BANJARSARI WETAN,1055,245
0+100,0+200,Lingkungan Primer,BANJARSARI WETAN,1055,246
0+200,0+300,Lingkungan Primer,BANJARSARI WETAN,1055,247
0+300,0+400,Lingkungan Primer,BANJARSARI WETAN,1055,248
0+400,0+500,Lingkungan Primer,BANJARSARI WETAN,1055,249
0+500,0+600,Lingkungan Primer,BANJARSARI WETAN,1055,250
0+600,0+700,Lingkungan Primer,BANJARSARI WETAN,1055,251
0+700,0+800,Lingkungan Primer,BANJARSARI WETAN,1055,252
0+800,0+900,Lingkungan Primer,BANJARSARI WETAN,1055,253
0+900,1+000,Lingkungan Primer,BANJARSARI WETAN,1055,254
1+000,1+055,Lingkungan Primer,BANJARSARI WETAN,1055,255
0+000,0+100,Lingkungan Primer,BANYUKAMBANG,726,939
0+100,0+200,Lingkungan Primer,BANYUKAMBANG,726,940
0+200,0+300,Lingkungan Primer,BANYUKAMBANG,726,941
0+300,0+400,Lingkungan Primer,BANYUKAMBANG,726,942
0+400,0+500,Lingkungan Primer,BANYUKAMBANG,726,943
0+500,0+600,Lingkungan Primer,BANYUKAMBANG,726,944
0+600,0+700,Lingkungan Primer,BANYUKAMBANG,726,945
0+700,0+725,Lingkungan Primer,BANYUKAMBANG,726,946
0+000,0+100,Lingkungan Primer,BENER,1418,556
0+100,0+200,Lingkungan Primer,BENER,1418,557
0+200,0+300,Lingkungan Primer,BENER,1418,558
0+300,0+400,Lingkungan Primer,BENER,1418,559
0+400,0+500,Lingkungan Primer,BENER,1418,560
0+500,0+600,Lingkungan Primer,BENER,1418,561
0+600,0+700,Lingkungan Primer,BENER,1418,562
0+700,0+800,Lingkungan Primer,BENER,1418,563
0+800,0+900,Lingkungan Primer,BENER,1418,564
0+900,1+000,Lingkungan Primer,BENER,1418,565
1+000,1+100,Lingkungan Primer,BENER,1418,566
1+100,1+200,Lingkungan Primer,BENER,1418,567
1+200,1+300,Lingkungan Primer,BENER,1418,568
1+300,1+400,Lingkungan Primer,BENER,1418,569
