Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Dolopo-Mojorejo,007,7.800,7+700,7+800,449,Lokal Primer
Jl. Pagotan-Klorogan,157,4.010,3+800,3+900,7301,Lokal Sekunder
Jl. Pagotan-Nglandung,012,2.470,2+300,2+400,846,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,"6+700
",6+800,380,Lokal Primer
Jl. Sidorejo-Tanjungrejo,161,2.780,2+600,2+700,7444,Lokal Sekunder
Jl. Ngujur-Batas Ponorogo,021,9.300,9+100,9+200,1332,Lokal Primer
Jl. Rejosari-Sidorejo,160,2.640,2+400,2+500,7418,Lokal Sekunder
Jl. Balerejo-Gantrung,159,4.260,4+100,4+200,7375,Lokal Sekunder
Jl. Kebonsari-Nglandung,025,2.910,2+800,2+900,1674,Lokal Primer
Jl. Kaibon-Nglandung,013,4.380,4+200,4+300,871,Lokal Primer
Jl. Sangen-Putat,069,3.860,3+700,3+800,3607,Lokal Sekunder
Jl. Nglandung-Sambirejo,156,1.710,1+600,1+700,7283,Lokal Sekunder
Jl. Jiwan-Sambirejo,033,5.450,5+300,"5+400
",2054,Lokal Sekunder
Jl. Metesih-Batas Magetan,095,1.090,1+200,1+300,4859,Lokal Sekunder
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+400,1+500,1515,Lokal Primer
Jl. Kincang-Batas Magetan,047,2.010,1+900,2+000,2726,Lokal Sekunder
Jl. Nglames-Batas Kota,039,0.480,0+300,"0+400
",2309,Lokal Sekunder
Jl. Gunungsari-Banjarsari,065,2.030,1+900,2+000,3423,Lokal Sekunder
Jl. Garon-Tanjungrejo,063,2.750,2+600,2+700,3358,Lokal Sekunder
Jl. Balerejo-Tanjungrejo,062,2.250,2+100,2+200,3335,Lokal Sekunder
Jl. Kertosari-Sukosari,068,3.360,2+800,2+900,3577,Lokal Sekunder
Jl. Kaibon-Ngujur,067,11.430,11+300,11+400,3462,Lokal Sekunder
Jl. Ngrobyong-Sumberejo,072,1.200,1+100,1+200,3736,Lokal Sekunder
Jl. Slambur-Singgahan,073,3.040,2+900,3+000,3749,Lokal Sekunder
Jl. Glonggong-Bader,075,4.000,3+800,3+900,3828,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+700,6+800,4203,Lokal Sekunder
Jl. Golan-Cabean,097,2.870,2+700,2+800,4919,Lokal Sekunder
Jl. Sidomulyo-Kanung,102,1.600,1+500,1+600,5029,Lokal Sekunder
Jl. Sumbergandu-Bulu,112,1.710,1+600,1+700,5421,Lokal Sekunder
Jl. Palur-Batas Magetan,162,0.700,0+400,0+400,7472,Lokal Sekunder
Jl. Dolopo-Tambakmas,042,8.920,8+800,8+900,2431,Lokal Sekunder
Jl. Lemahbang-Klino,048,11.980,12+600,12+700,2747,Lokal Sekunder
Jl. Kare-Randualas,150,3.430,3+300,3+400,6871,Lokal Sekunder
Jl. Dungus-Batas Kota,009,8.700,8+600,8+700,650,Lokal Primer
Jl. Brumbun-Kresek,142,1.970,1+800,1+900,6383,Lokal Sekunder
Jl. Dungus-Bodag,143,7.230,7+000,7+100,6403,Lokal Sekunder
Jl. Katregan-Kepel,147,7.840,7+700,7+800,6662,Lokal Sekunder
Jl. Dungus-Kare,016,9.740,9+600,9+700,1030,Lokal Primer
Jl. Kare-Plosorejo,148,4.710,4+600,4+700,6741,Lokal Sekunder
Jl. Plosorejo-Batas Ponorogo,149,8.380,8+000,8+100,6789,Lokal Sekunder
Jl. Bodag-Kepel,145,6.690,6+500,6+600,6541,Lokal Sekunder
Jl. Kepel-Kare,146,3.140,5+100,5+200,6609,Lokal Sekunder
Jl. Kresek-Bodag,144,6.590,6+400,6+500,6475,Lokal Sekunder
Jl. Segulung-Mruwak,091,12.240,11+700,11+800,4649,Lokal Sekunder
Jl. Klitik-Dimong,001,8.100,0+000,0+100,2,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+100,0+200,3,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+200,0+300,4,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+300,0+400,5,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+400,0+500,6,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+500,0+600,7,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+600,0+700,8,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+700,0+800,9,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+800,0+900,10,Lokal Primer
Jl. Klitik-Dimong,001,8.100,0+900,1+000,11,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+000,1+100,12,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+100,1+200,13,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+200,1+300,14,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+300,1+400,15,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+400,1+500,16,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+500,1+600,17,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+600,1+700,18,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+700,1+800,19,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+800,1+900,20,Lokal Primer
Jl. Klitik-Dimong,001,8.100,1+900,2+000,21,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+000,2+100,22,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+100,2+200,23,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+200,2+300,24,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+300,2+400,25,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+400,2+500,26,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+500,2+600,27,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+600,2+700,28,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+700,2+800,29,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+800,2+900,30,Lokal Primer
Jl. Klitik-Dimong,001,8.100,2+900,3+000,31,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+000,3+100,32,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+100,3+200,33,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+200,3+300,34,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+300,3+400,35,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+400,3+500,36,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+500,3+600,37,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+600,3+700,38,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+700,3+800,39,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+800,3+900,40,Lokal Primer
Jl. Klitik-Dimong,001,8.100,3+900,4+000,41,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+000,4+100,42,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+100,4+200,43,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+200,4+300,44,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+300,4+400,45,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+400,4+500,46,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+500,4+600,47,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+600,4+700,48,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+700,4+800,49,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+800,4+900,50,Lokal Primer
Jl. Klitik-Dimong,001,8.100,4+900,5+000,51,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+000,5+100,52,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+100,5+200,53,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+200,5+300,54,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+300,5+400,55,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+400,5+500,56,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+500,5+600,57,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+600,5+700,58,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+700,5+800,59,Lokal Primer
