Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Rejosari-Batas Kota,085,3.840,0+600,0+700,4168,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,0+700,0+800,4169,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,0+800,0+900,4170,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,0+900,1+000,4171,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+000,1+100,4172,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+100,1+200,4173,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+200,1+300,4174,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+300,1+400,4175,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+400,1+500,4176,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+500,1+600,4177,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+600,1+700,4178,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+700,1+800,4179,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+800,1+900,4180,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,1+900,2+000,4181,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+000,2+100,4182,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+100,2+200,4183,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+200,2+300,4184,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+300,2+400,4185,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+400,2+500,4186,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+500,2+600,4187,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+600,2+700,4188,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+700,2+800,4189,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+800,2+900,4190,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,2+900,3+000,4191,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+000,3+100,4192,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+100,3+200,4193,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+200,3+300,4194,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+300,3+400,4195,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+400,3+500,4196,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+500,3+600,4197,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+600,3+700,4198,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+700,3+800,4199,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+800,3+900,4200,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,3+900,4+000,4201,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,4+100,4+107,4202,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+000,0+100,4204,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+100,0+200,4205,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+200,0+300,4206,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+300,0+400,4207,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+400,0+500,4208,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+500,0+600,4209,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+600,0+700,4210,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+700,0+800,4211,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+800,0+900,4212,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,0+900,1+000,4213,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+000,1+100,4214,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+100,1+200,4215,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+200,1+300,4216,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+300,1+400,4217,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+400,1+500,4218,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+500,1+600,4219,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+600,1+700,4220,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+700,1+800,4221,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+800,1+900,4222,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,1+900,2+000,4223,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+000,2+100,4224,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+100,2+200,4225,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+200,2+300,4226,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+300,2+400,4227,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+400,2+500,4228,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+500,2+600,4229,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+600,2+700,4230,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+700,2+800,4231,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+800,2+900,4232,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,2+900,3+000,4233,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+000,3+100,4234,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+100,3+200,4235,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+200,3+300,4236,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+300,3+400,4237,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+400,3+500,4238,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+500,3+600,4239,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+600,3+700,4240,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+700,3+800,4241,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+800,3+900,4242,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,3+900,4+000,4243,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+000,4+100,4244,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+100,4+200,4245,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+200,4+300,4246,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+300,4+400,4247,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+400,4+500,4248,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+500,4+600,4249,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+600,4+700,4250,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+700,4+800,4251,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+800,4+900,4252,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,4+900,5+000,4253,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+000,5+100,4254,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+100,5+200,4255,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+200,5+300,4256,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+300,5+400,4257,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+400,5+500,4258,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+500,5+600,4259,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+600,5+700,4260,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+700,5+800,4261,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+800,5+900,4262,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,5+900,6+000,4263,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+000,6+100,4264,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+100,6+200,4265,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+200,6+300,4266,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+300,6+400,4267,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+400,6+500,4268,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+500,6+600,4269,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+600,6+700,4270,Lokal Sekunder
Jl. Jetis-Dungus,086,6.640,6+800,6+818,4271,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+000,0+100,4273,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+100,0+200,4274,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+200,0+300,4275,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+300,0+400,4276,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+400,0+500,4277,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+500,0+600,4278,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+600,0+700,4279,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+700,0+800,4280,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+800,0+900,4281,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,0+900,1+000,4282,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+000,1+100,4283,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+100,1+200,4284,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+200,1+300,4285,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+300,1+400,4286,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+400,1+500,4287,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+500,1+600,4288,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+600,1+700,4289,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+700,1+800,4290,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+800,1+900,4291,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,1+900,2+000,4292,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+000,2+100,4293,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+100,2+200,4294,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+200,2+300,4295,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+300,2+400,4296,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+400,2+500,4297,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+500,2+600,4298,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+600,2+700,4299,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+700,2+800,4300,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+800,2+900,4301,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,2+900,3+000,4302,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+000,3+100,4303,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+100,3+200,4304,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+200,3+300,4305,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+300,3+400,4306,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+400,3+500,4307,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+500,3+600,4308,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+600,3+700,4309,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+700,3+800,4310,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+800,3+900,4311,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,3+900,4+000,4312,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+000,4+100,4313,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+100,4+200,4314,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+200,4+300,4315,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+300,4+400,4316,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+400,4+500,4317,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+500,4+600,4318,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+600,4+700,4319,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+700,4+800,4320,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+800,4+900,4321,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,4+900,5+000,4322,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+000,5+100,4323,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+100,5+200,4324,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+200,5+300,4325,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+300,5+400,4326,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+400,5+500,4327,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+500,5+600,4328,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+600,5+700,4329,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+700,5+800,4330,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+800,5+900,4331,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,5+900,6+000,4332,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+000,6+100,4333,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+100,6+200,4334,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+200,6+300,4335,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+300,6+400,4336,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+400,6+500,4337,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+500,6+600,4338,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+600,6+700,4339,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+700,6+800,4340,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+800,6+900,4341,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,6+900,7+000,4342,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+000,7+100,4343,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+100,7+200,4344,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+200,7+300,4345,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+300,7+400,4346,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+400,7+500,4347,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+500,7+600,4348,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+600,7+700,4349,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+700,7+800,4350,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+800,7+900,4351,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,7+900,8+000,4352,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+000,8+100,4353,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+100,8+200,4354,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+200,8+300,4355,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+300,8+400,4356,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+400,8+500,4357,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+500,8+600,4358,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+600,8+700,4359,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+700,8+800,4360,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+800,8+900,4361,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,8+900,9+000,4362,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+000,9+100,4363,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+100,9+200,4364,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+200,9+300,4365,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+300,9+400,4366,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+400,9+500,4367,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+500,9+600,4368,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+600,9+700,4369,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+700,9+800,4370,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+800,9+900,4371,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,9+900,10+000,4372,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+000,10+100,4373,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+100,10+200,4374,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+200,10+300,4375,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+300,10+400,4376,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+400,10+500,4377,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+500,10+600,4378,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+600,10+700,4379,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+700,10+800,4380,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+800,10+900,4381,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,10+900,11+000,4382,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,11+000,11+100,4383,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,11+100,11+200,4384,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,11+200,11+300,4385,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,11+300,11+400,4386,Lokal Sekunder
Jl. Dagangan-Pesanggrahan,087,11.500,11+500,11+517,4387,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+000,0+100,4389,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+100,0+200,4390,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+200,0+300,4391,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+300,0+400,4392,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+400,0+500,4393,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+500,0+600,4394,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+600,0+700,4395,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+700,0+800,4396,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+800,0+900,4397,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,0+900,1+000,4398,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+000,1+100,4399,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+100,1+200,4400,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+200,1+300,4401,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+300,1+400,4402,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+400,1+500,4403,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+500,1+600,4404,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+600,1+700,4405,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+700,1+800,4406,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+800,1+900,4407,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,1+900,2+000,4408,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+000,2+100,4409,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+100,2+200,4410,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+200,2+300,4411,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+300,2+400,4412,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+400,2+500,4413,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+500,2+600,4414,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+600,2+700,4415,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+700,2+800,4416,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+800,2+900,4417,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,2+900,3+000,4418,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+000,3+100,4419,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+100,3+200,4420,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+200,3+300,4421,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+300,3+400,4422,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+400,3+500,4423,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+500,3+600,4424,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+600,3+700,4425,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+700,3+800,4426,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+900,3+903,4427,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+000,0+100,4429,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+100,0+200,4430,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+200,0+300,4431,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+300,0+400,4432,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+400,0+500,4433,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+500,0+600,4434,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+600,0+700,4435,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+700,0+800,4436,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+800,0+900,4437,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,0+900,1+000,4438,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+000,1+100,4439,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+100,1+200,4440,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+200,1+300,4441,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+300,1+400,4442,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+400,1+500,4443,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+500,1+600,4444,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+600,1+700,4445,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+700,1+800,4446,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+800,1+900,4447,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,1+900,2+000,4448,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+000,2+100,4449,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+100,2+200,4450,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+200,2+300,4451,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+300,2+400,4452,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+400,2+500,4453,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+500,2+600,4454,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+600,2+700,4455,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+700,2+800,4456,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+800,2+900,4457,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,2+900,3+000,4458,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+000,3+100,4459,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+100,3+200,4460,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+200,3+300,4461,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+300,3+400,4462,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+400,3+500,4463,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+500,3+600,4464,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+600,3+700,4465,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+700,3+800,4466,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+800,3+900,4467,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,3+900,4+000,4468,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+000,4+100,4469,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+100,4+200,4470,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+200,4+300,4471,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+300,4+400,4472,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+400,4+500,4473,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+500,4+600,4474,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+600,4+700,4475,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+700,4+800,4476,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+800,4+900,4477,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,4+900,5+000,4478,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+000,5+100,4479,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+100,5+200,4480,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+200,5+300,4481,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+300,5+400,4482,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+400,5+500,4483,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+500,5+600,4484,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+600,5+700,4485,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+700,5+800,4486,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+800,5+900,4487,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,5+900,6+000,4488,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,6+000,6+100,4489,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,6+100,6+200,4490,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,6+200,6+300,4491,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,6+300,6+400,4492,Lokal Sekunder
