Panjang,STA_AWAL,STA_AKHIR,Fungsi,No,Nm_Ruas
1300,0+100,0+200,Lokal Sekunder,825,4244 - JL. AGUS SALIM
1300,0+200,0+300,Lokal Sekunder,826,4244 - JL. AGUS SALIM
1300,0+300,0+400,Lokal Sekunder,827,4244 - JL. AGUS SALIM
1300,0+400,0+500,Lokal Sekunder,828,4244 - JL. AGUS SALIM
1300,0+500,0+600,Lokal Sekunder,829,4244 - JL. AGUS SALIM
1300,0+600,0+700,Lokal Sekunder,83,4244 - JL. AGUS SALIM
1300,0+700,0+800,Lokal Sekunder,830,4244 - JL. AGUS SALIM
1300,0+800,0+900,Lokal Sekunder,831,4244 - JL. AGUS SALIM
1300,0+900,1+000,Lokal Sekunder,832,4244 - JL. AGUS SALIM
1300,1+000,1+100,Lokal Sekunder,833,4244 - JL. AGUS SALIM
1300,1+100,1+200,Lokal Sekunder,834,4244 - JL. AGUS SALIM
1300,1+200,1+300,Lokal Sekunder,835,4244 - JL. AGUS SALIM
1300,1+400,1+497,Lokal Sekunder,836,4244 - JL. AGUS SALIM
2500,1+400,1+500,Lokal Sekunder,837,4217 - JL. TEGAL ARUM
2500,0+000,0+100,Lokal Sekunder,838,4217 - JL. TEGAL ARUM
2500,0+100,0+200,Lokal Sekunder,839,4217 - JL. TEGAL ARUM
2500,0+200,0+300,Lokal Sekunder,84,4217 - JL. TEGAL ARUM
2500,0+300,0+400,Lokal Sekunder,840,4217 - JL. TEGAL ARUM
2500,0+400,0+500,Lokal Sekunder,841,4217 - JL. TEGAL ARUM
2500,0+500,0+600,Lokal Sekunder,842,4217 - JL. TEGAL ARUM
2500,0+600,0+700,Lokal Sekunder,843,4217 - JL. TEGAL ARUM
2500,0+700,0+800,Lokal Sekunder,844,4217 - JL. TEGAL ARUM
2500,0+800,0+900,Lokal Sekunder,845,4217 - JL. TEGAL ARUM
2500,0+900,1+000,Lokal Sekunder,846,4217 - JL. TEGAL ARUM
2500,1+000,1+100,Lokal Sekunder,847,4217 - JL. TEGAL ARUM
2500,1+100,1+200,Lokal Sekunder,848,4217 - JL. TEGAL ARUM
2500,1+200,1+300,Lokal Sekunder,849,4217 - JL. TEGAL ARUM
2500,1+300,1+400,Lokal Sekunder,85,4217 - JL. TEGAL ARUM
2500,1+500,1+552,Lokal Sekunder,850,4217 - JL. TEGAL ARUM
1650,1+400,1+500,Lokal Primer,851,4003 - JL. S. TENDEAN
1650,0+000,0+100,Lokal Primer,852,4003 - JL. S. TENDEAN
1650,0+100,0+200,Lokal Primer,853,4003 - JL. S. TENDEAN
1650,0+200,0+300,Lokal Primer,854,4003 - JL. S. TENDEAN
1650,0+300,0+400,Lokal Primer,855,4003 - JL. S. TENDEAN
1650,0+400,0+500,Lokal Primer,856,4003 - JL. S. TENDEAN
1650,0+500,0+600,Lokal Primer,857,4003 - JL. S. TENDEAN
1650,0+600,0+700,Lokal Primer,858,4003 - JL. S. TENDEAN
1650,0+700,0+800,Lokal Primer,859,4003 - JL. S. TENDEAN
1650,0+800,0+900,Lokal Primer,86,4003 - JL. S. TENDEAN
1650,0+900,1+000,Lokal Primer,860,4003 - JL. S. TENDEAN
1650,1+000,1+100,Lokal Primer,861,4003 - JL. S. TENDEAN
1650,1+100,1+200,Lokal Primer,862,4003 - JL. S. TENDEAN
1650,1+200,1+300,Lokal Primer,863,4003 - JL. S. TENDEAN
1650,1+300,1+400,Lokal Primer,864,4003 - JL. S. TENDEAN
1650,1+500,1+577,Lokal Primer,865,4003 - JL. S. TENDEAN
2100,1+500,1+600,Lokal Primer,866,4007 - JL. MT. HARYONO
2100,0+000,0+100,Lokal Primer,867,4007 - JL. MT. HARYONO
2100,0+100,0+200,Lokal Primer,868,4007 - JL. MT. HARYONO
2100,0+200,0+300,Lokal Primer,869,4007 - JL. MT. HARYONO
2100,0+300,0+400,Lokal Primer,87,4007 - JL. MT. HARYONO
2100,0+400,0+500,Lokal Primer,870,4007 - JL. MT. HARYONO
2100,0+500,0+600,Lokal Primer,871,4007 - JL. MT. HARYONO
2100,0+600,0+700,Lokal Primer,872,4007 - JL. MT. HARYONO
2100,0+700,0+800,Lokal Primer,873,4007 - JL. MT. HARYONO
2100,0+800,0+900,Lokal Primer,874,4007 - JL. MT. HARYONO
2100,0+900,1+000,Lokal Primer,875,4007 - JL. MT. HARYONO
2100,1+000,1+100,Lokal Primer,876,4007 - JL. MT. HARYONO
2100,1+100,1+200,Lokal Primer,877,4007 - JL. MT. HARYONO
2100,1+200,1+300,Lokal Primer,878,4007 - JL. MT. HARYONO
2100,1+300,1+400,Lokal Primer,879,4007 - JL. MT. HARYONO
2100,1+400,1+500,Lokal Primer,88,4007 - JL. MT. HARYONO
2100,1+600,1+625,Lokal Primer,880,4007 - JL. MT. HARYONO
1900,1+700,1+800,Lokal Sekunder,881,4203 - JL. SEDAH
1900,0+000,0+100,Lokal Sekunder,882,4203 - JL. SEDAH
1900,0+100,0+200,Lokal Sekunder,883,4203 - JL. SEDAH
1900,0+200,0+300,Lokal Sekunder,884,4203 - JL. SEDAH
1900,0+300,0+400,Lokal Sekunder,885,4203 - JL. SEDAH
1900,0+400,0+500,Lokal Sekunder,886,4203 - JL. SEDAH
1900,0+500,0+600,Lokal Sekunder,887,4203 - JL. SEDAH
1900,0+600,0+700,Lokal Sekunder,888,4203 - JL. SEDAH
1900,0+700,0+800,Lokal Sekunder,889,4203 - JL. SEDAH
1900,0+800,0+900,Lokal Sekunder,89,4203 - JL. SEDAH
1900,0+900,1+000,Lokal Sekunder,890,4203 - JL. SEDAH
1900,1+000,1+100,Lokal Sekunder,891,4203 - JL. SEDAH
1900,1+100,1+200,Lokal Sekunder,892,4203 - JL. SEDAH
1900,1+200,1+300,Lokal Sekunder,893,4203 - JL. SEDAH
1900,1+300,1+400,Lokal Sekunder,894,4203 - JL. SEDAH
1900,1+400,1+500,Lokal Sekunder,895,4203 - JL. SEDAH
1900,1+500,1+600,Lokal Sekunder,896,4203 - JL. SEDAH
1900,1+600,1+700,Lokal Sekunder,897,4203 - JL. SEDAH
1900,1+800,1+862,Lokal Sekunder,898,4203 - JL. SEDAH
1900,1+900,2+000,Lokal Sekunder,899,4039 - JL. KUNTO
1900,0+000,0+100,Lokal Sekunder,9,4039 - JL. KUNTO
1900,0+100,0+200,Lokal Sekunder,90,4039 - JL. KUNTO
1900,0+200,0+300,Lokal Sekunder,900,4039 - JL. KUNTO
1900,0+300,0+400,Lokal Sekunder,901,4039 - JL. KUNTO
1900,0+400,0+500,Lokal Sekunder,902,4039 - JL. KUNTO
1900,0+500,0+600,Lokal Sekunder,903,4039 - JL. KUNTO
1900,0+600,0+700,Lokal Sekunder,904,4039 - JL. KUNTO
1900,0+700,0+800,Lokal Sekunder,905,4039 - JL. KUNTO
1900,0+800,0+900,Lokal Sekunder,906,4039 - JL. KUNTO
1900,0+900,1+000,Lokal Sekunder,907,4039 - JL. KUNTO
1900,1+000,1+100,Lokal Sekunder,908,4039 - JL. KUNTO
1900,1+100,1+200,Lokal Sekunder,909,4039 - JL. KUNTO
1900,1+200,1+300,Lokal Sekunder,91,4039 - JL. KUNTO
1900,1+300,1+400,Lokal Sekunder,910,4039 - JL. KUNTO
1900,1+400,1+500,Lokal Sekunder,911,4039 - JL. KUNTO
1900,1+500,1+600,Lokal Sekunder,912,4039 - JL. KUNTO
1900,1+600,1+700,Lokal Sekunder,913,4039 - JL. KUNTO
1900,1+700,1+800,Lokal Sekunder,914,4039 - JL. KUNTO
1900,1+800,1+900,Lokal Sekunder,915,4039 - JL. KUNTO
1900,2+000,2+048,Lokal Sekunder,916,4039 - JL. KUNTO
2100,1+900,2+000,Lokal Sekunder,917,4214 - JL. PANJANG PUNJUNG
2100,0+000,0+100,Lokal Sekunder,918,4214 - JL. PANJANG PUNJUNG
2100,0+100,0+200,Lokal Sekunder,919,4214 - JL. PANJANG PUNJUNG
2100,0+200,0+300,Lokal Sekunder,92,4214 - JL. PANJANG PUNJUNG
2100,0+300,0+400,Lokal Sekunder,920,4214 - JL. PANJANG PUNJUNG
2100,0+400,0+500,Lokal Sekunder,921,4214 - JL. PANJANG PUNJUNG
2100,0+500,0+600,Lokal Sekunder,922,4214 - JL. PANJANG PUNJUNG
2100,0+600,0+700,Lokal Sekunder,923,4214 - JL. PANJANG PUNJUNG
2100,0+700,0+800,Lokal Sekunder,924,4214 - JL. PANJANG PUNJUNG
2100,0+800,0+900,Lokal Sekunder,925,4214 - JL. PANJANG PUNJUNG
2100,0+900,1+000,Lokal Sekunder,926,4214 - JL. PANJANG PUNJUNG
2100,1+000,1+100,Lokal Sekunder,927,4214 - JL. PANJANG PUNJUNG
2100,1+100,1+200,Lokal Sekunder,928,4214 - JL. PANJANG PUNJUNG
2100,1+200,1+300,Lokal Sekunder,929,4214 - JL. PANJANG PUNJUNG
2100,1+300,1+400,Lokal Sekunder,93,4214 - JL. PANJANG PUNJUNG
2100,1+400,1+500,Lokal Sekunder,930,4214 - JL. PANJANG PUNJUNG
2100,1+500,1+600,Lokal Sekunder,931,4214 - JL. PANJANG PUNJUNG
2100,1+600,1+700,Lokal Sekunder,932,4214 - JL. PANJANG PUNJUNG
2100,1+700,1+800,Lokal Sekunder,933,4214 - JL. PANJANG PUNJUNG
2100,1+800,1+900,Lokal Sekunder,934,4214 - JL. PANJANG PUNJUNG
2100,2+000,2+074,Lokal Sekunder,935,4214 - JL. PANJANG PUNJUNG
2000,2+100,2+200,Lokal Sekunder,936,4230 - JL. WAHID HASYIM
2000,0+000,0+100,Lokal Sekunder,937,4230 - JL. WAHID HASYIM
2000,0+100,0+200,Lokal Sekunder,938,4230 - JL. WAHID HASYIM
2000,0+200,0+300,Lokal Sekunder,939,4230 - JL. WAHID HASYIM
2000,0+300,0+400,Lokal Sekunder,94,4230 - JL. WAHID HASYIM
2000,0+400,0+500,Lokal Sekunder,940,4230 - JL. WAHID HASYIM
2000,0+500,0+600,Lokal Sekunder,941,4230 - JL. WAHID HASYIM
2000,0+600,0+700,Lokal Sekunder,942,4230 - JL. WAHID HASYIM
2000,0+700,0+800,Lokal Sekunder,943,4230 - JL. WAHID HASYIM
2000,0+800,0+900,Lokal Sekunder,944,4230 - JL. WAHID HASYIM
2000,0+900,1+000,Lokal Sekunder,945,4230 - JL. WAHID HASYIM
2000,1+000,1+100,Lokal Sekunder,946,4230 - JL. WAHID HASYIM
2000,1+100,1+200,Lokal Sekunder,947,4230 - JL. WAHID HASYIM
2000,1+200,1+300,Lokal Sekunder,948,4230 - JL. WAHID HASYIM
2000,1+300,1+400,Lokal Sekunder,949,4230 - JL. WAHID HASYIM
2000,1+400,1+500,Lokal Sekunder,95,4230 - JL. WAHID HASYIM
2000,1+500,1+600,Lokal Sekunder,950,4230 - JL. WAHID HASYIM
2000,1+600,1+700,Lokal Sekunder,951,4230 - JL. WAHID HASYIM
2000,1+700,1+800,Lokal Sekunder,952,4230 - JL. WAHID HASYIM
2000,1+800,1+900,Lokal Sekunder,953,4230 - JL. WAHID HASYIM
2000,1+900,2+000,Lokal Sekunder,954,4230 - JL. WAHID HASYIM
2000,2+000,2+100,Lokal Sekunder,955,4230 - JL. WAHID HASYIM
2000,2+200,2+271,Lokal Sekunder,956,4230 - JL. WAHID HASYIM
2500,2+200,2+300,Lokal Sekunder,957,4207 - JL. TEGALREJO
2500,0+000,0+100,Lokal Sekunder,958,4207 - JL. TEGALREJO
2500,0+100,0+200,Lokal Sekunder,959,4207 - JL. TEGALREJO
2500,0+200,0+300,Lokal Sekunder,96,4207 - JL. TEGALREJO
2500,0+300,0+400,Lokal Sekunder,960,4207 - JL. TEGALREJO
2500,0+400,0+500,Lokal Sekunder,961,4207 - JL. TEGALREJO
2500,0+500,0+600,Lokal Sekunder,962,4207 - JL. TEGALREJO
2500,0+600,0+700,Lokal Sekunder,963,4207 - JL. TEGALREJO
2500,0+700,0+800,Lokal Sekunder,964,4207 - JL. TEGALREJO
2500,0+800,0+900,Lokal Sekunder,965,4207 - JL. TEGALREJO
2500,0+900,1+000,Lokal Sekunder,966,4207 - JL. TEGALREJO
2500,1+000,1+100,Lokal Sekunder,967,4207 - JL. TEGALREJO
2500,1+100,1+200,Lokal Sekunder,968,4207 - JL. TEGALREJO
2500,1+200,1+300,Lokal Sekunder,969,4207 - JL. TEGALREJO
2500,1+300,1+400,Lokal Sekunder,97,4207 - JL. TEGALREJO
2500,1+400,1+500,Lokal Sekunder,970,4207 - JL. TEGALREJO
2500,1+500,1+600,Lokal Sekunder,971,4207 - JL. TEGALREJO
2500,1+600,1+700,Lokal Sekunder,972,4207 - JL. TEGALREJO
2500,1+700,1+800,Lokal Sekunder,973,4207 - JL. TEGALREJO
2500,1+800,1+900,Lokal Sekunder,974,4207 - JL. TEGALREJO
2500,1+900,2+000,Lokal Sekunder,975,4207 - JL. TEGALREJO
2500,2+000,2+100,Lokal Sekunder,976,4207 - JL. TEGALREJO
2500,2+100,2+200,Lokal Sekunder,977,4207 - JL. TEGALREJO
2500,2+300,2+332,Lokal Sekunder,978,4207 - JL. TEGALREJO
2000,2+200,2+300,Lokal Sekunder,979,4098 - JL. JUANDA
2000,0+000,0+100,Lokal Sekunder,98,4098 - JL. JUANDA
2000,0+100,0+200,Lokal Sekunder,980,4098 - JL. JUANDA
2000,0+200,0+300,Lokal Sekunder,981,4098 - JL. JUANDA
2000,0+300,0+400,Lokal Sekunder,982,4098 - JL. JUANDA
2000,0+400,0+500,Lokal Sekunder,983,4098 - JL. JUANDA
2000,0+500,0+600,Lokal Sekunder,984,4098 - JL. JUANDA
2000,0+600,0+700,Lokal Sekunder,985,4098 - JL. JUANDA
2000,0+700,0+800,Lokal Sekunder,986,4098 - JL. JUANDA
2000,0+800,0+900,Lokal Sekunder,987,4098 - JL. JUANDA
2000,0+900,1+000,Lokal Sekunder,988,4098 - JL. JUANDA
2000,1+000,1+100,Lokal Sekunder,989,4098 - JL. JUANDA
2000,1+100,1+200,Lokal Sekunder,99,4098 - JL. JUANDA
2000,1+200,1+300,Lokal Sekunder,990,4098 - JL. JUANDA
2000,1+300,1+400,Lokal Sekunder,991,4098 - JL. JUANDA
2000,1+400,1+500,Lokal Sekunder,992,4098 - JL. JUANDA
2000,1+500,1+600,Lokal Sekunder,993,4098 - JL. JUANDA
2000,1+600,1+700,Lokal Sekunder,994,4098 - JL. JUANDA
2000,1+700,1+800,Lokal Sekunder,995,4098 - JL. JUANDA
2000,1+800,1+900,Lokal Sekunder,996,4098 - JL. JUANDA
2000,1+900,2+000,Lokal Sekunder,997,4098 - JL. JUANDA
2000,2+000,2+100,Lokal Sekunder,998,4098 - JL. JUANDA
2000,2+100,2+200,Lokal Sekunder,999,4098 - JL. JUANDA
2000,2+300,2+348,Lokal Sekunder,No,4098 - JL. JUANDA
