FID;Name;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
61;4061 - JL. MARKISA RAJA;609,96038908600;0+500;0+600;baik ;aspal;6
62;4062 - JL. APEL RAJA;212,59714887300;0+100;0+200;baik ;aspal;6
63;4063 - JL. PEPAYA RAJA;211,57021953000;0+100;0+200;baik ;aspal;6
64;4065 - JL. SAWO RAJA;176,87391026000;0+100;0+176;baik ;aspal;6
65;4067 - JL. KAKAK TUA;980,38845641400;0+800;0+900;baik ;aspal;6
66;4068 - JL. KARANGLO I;1278,61304597000;1+100;1+200;baik ;aspal;6
67;4069 - JL. KARANGLO II;128,62837824100;0+100;0+128;baik ;aspal;6
68;4071 - JL. SEMBADA;283,70035586800;0+100;0+200;baik ;aspal;6
69;4072 - JL. KYAI SERANG;241,21844653400;0+100;0+200;baik ;aspal;6
70;4073 - JL SUHADA HAJI;1273,49095589000;1+100;1+200;baik ;aspal;6
71;4074 - JL. KUTILANG;159,41779441000;0+100;0+159;baik ;aspal;6
72;4075 - JL. JL. MANYAR;587,81234804000;0+400;0+500;baik ;aspal;6
73;4076 - JL. S. PARMAN;212,72821791000;0+100;0+200;baik ;aspal;6
74;4077 - JL. PANJAITAN;608,25528260300;0+500;0+600;baik ;aspal;6
75;4078 - JL. SUMATRA;197,59607567900;0+100;0+197;baik ;aspal;6
76;4079 - JL. BALI;89,85126267840;0+000;0+089;baik ;aspal;6
77;4080 - JL. KALIMANTAN;395,86291941400;0+200;0+300;baik ;aspal;6
78;4081 - JL. MADURA;353,75838164800;0+200;0+300;baik ;aspal;6
79;4082 - JL. SULAWESI;192,24043788000;0+100;0+192;baik ;aspal;6
80;4083 - JL. FLORES;95,47079023120;0+000;0+095;baik ;aspal;6
81;4084 - JL. SUMBAWA;212,44624901900;0+100;0+200;baik ;aspal;6
82;4085 - JL. CENDRAWASIH;385,05539182300;0+200;0+300;baik ;aspal;6
83;4086 - JL. RAJAWALI;694,68675667100;0+500;0+600;baik ;aspal;6
84;4087 - JL. MENUR;319,35300893800;0+200;0+300;baik ;aspal;6
85;4088 - JL. NIAS;285,03591913600;0+100;0+200;baik ;aspal;6
86;4089 - JL. KENARI;657,00116993000;0+500;0+600;baik ;aspal;6
87;4090 - JL. PARKIT;291,26954464800;0+100;0+200;baik ;aspal;6
88;4091 - JL. BETET;797,86521984500;0+600;0+700;baik ;aspal;6
89;4092 - JL. SRITI;592,57136006800;0+400;0+500;baik ;aspal;6
90;4094 - JL. CEMPAKA II;128,91534048900;0+100;0+128;baik ;aspal;6
91;4095 - JL. CEMPAKA III;153,06134520100;0+100;0+153;baik ;aspal;6
92;4097 - JL. ANGGREK II;197,97097587100;0+100;0+197;baik ;aspal;6
93;4098 - JL. JUANDA;2348,19164622000;2+200;2+300;baik ;aspal;6
94;4099 - JL. PROGO;678,32983934200;0+500;0+600;baik ;aspal;6
95;4101 - JL. RUSUNAWA;286,27587689900;0+100;0+200;baik ;aspal;6
96;4102 - JL. MERPATI (MEJAYAN);258,00740021800;0+100;0+200;baik ;aspal;6
97;4103 - JL. IRIAN JAYA;439,90107498900;0+300;0+400;baik ;aspal;6
98;4104 - JL. PRAWIRO DIPURAN;360,67387664600;0+200;0+300;baik ;aspal;6
99;4105 - JL. KURMA RAJA;466,72191802300;0+300;0+400;baik ;aspal;6
100;4201 - JL. NGAGEL;1325,85497889000;1+200;1+300;baik ;aspal;6
101;4202 - JL. JANOKO;1132,68715871000;1+000;1+100;baik ;aspal;6
102;4203 - JL. SEDAH;1862,65725332000;1+700;1+800;sedang;aspal;6
103;4204 - JL. SASONO LOYO;521,67098022900;0+400;0+500;sedang;aspal;6
104;4205 - JL. KEBODALEM;531,35360653700;0+400;0+500;sedang;aspal;6
105;4206 - JL. SIDODADI;462,79544994400;0+300;0+400;sedang;aspal;6
106;4207 - JL. TEGALREJO;2332,83407444000;2+200;2+300;sedang;aspal;6
107;4208 - JL. NGRAWAN II;1413,45276358000;1+300;1+400;sedang;aspal;6
108;4209 - JL. KEMANTREN;826,44605615700;0+700;0+800;sedang;aspal;6
